,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
83995,commons-io.commons-io,0.1,2005-11-08,https://repo1.maven.org/maven2/commons-io/commons-io/0.1/commons-io-0.1.jar,,,,,,,,1.0
83994,commons-io.commons-io,1.0,2005-11-24,https://repo1.maven.org/maven2/commons-io/commons-io/1.0/commons-io-1.0.jar,,,,,,,,1.1
83993,commons-io.commons-io,1.1,2005-11-24,https://repo1.maven.org/maven2/commons-io/commons-io/1.1/commons-io-1.1.jar,,,,,,,,1.2
83992,commons-io.commons-io,1.2,2006-03-20,https://repo1.maven.org/maven2/commons-io/commons-io/1.2/commons-io-1.2.jar,,,,,,,,1.3
83936,commons-io.commons-io,1.3,2007-01-30,https://repo1.maven.org/maven2/commons-io/commons-io/1.3/commons-io-1.3.jar,1,,,,,,,1.3.1
83935,commons-io.commons-io,1.3.1,2007-02-13,https://repo1.maven.org/maven2/commons-io/commons-io/1.3.1/commons-io-1.3.1.jar,1,0,0,0,0,0,0,1.3.2
83934,commons-io.commons-io,1.3.2,2008-01-01,https://repo1.maven.org/maven2/commons-io/commons-io/1.3.2/commons-io-1.3.2.jar,1,0,0,0,0,0,0,1.4
83908,commons-io.commons-io,1.4,2008-01-20,https://repo1.maven.org/maven2/commons-io/commons-io/1.4/commons-io-1.4.jar,29,19,0,0,0,9,0,2.0
83854,commons-io.commons-io,2.0,2010-10-18,https://repo1.maven.org/maven2/commons-io/commons-io/2.0/commons-io-2.0.jar,36,0,0,0,0,7,0,2.0.1
83853,commons-io.commons-io,2.0.1,2010-12-26,https://repo1.maven.org/maven2/commons-io/commons-io/2.0.1/commons-io-2.0.1.jar,36,0,0,0,0,0,0,2.1
83852,commons-io.commons-io,2.1,2011-10-03,https://repo1.maven.org/maven2/commons-io/commons-io/2.1/commons-io-2.1.jar,36,0,0,0,0,0,0,2.2
83851,commons-io.commons-io,2.2,2012-03-26,https://repo1.maven.org/maven2/commons-io/commons-io/2.2/commons-io-2.2.jar,36,0,0,0,0,0,0,2.3
83850,commons-io.commons-io,2.3,2012-04-10,https://repo1.maven.org/maven2/commons-io/commons-io/2.3/commons-io-2.3.jar,36,0,0,0,0,0,0,2.4
83849,commons-io.commons-io,2.4,2012-06-12,https://repo1.maven.org/maven2/commons-io/commons-io/2.4/commons-io-2.4.jar,36,0,0,0,0,0,0,2.5
83848,commons-io.commons-io,2.5,2016-04-22,https://repo1.maven.org/maven2/commons-io/commons-io/2.5/commons-io-2.5.jar,36,0,0,0,0,0,0,2.6
83847,commons-io.commons-io,2.6,2017-10-15,https://repo1.maven.org/maven2/commons-io/commons-io/2.6/commons-io-2.6.jar,36,0,0,0,0,0,0,2.7
83846,commons-io.commons-io,2.7,2020-05-27,https://repo1.maven.org/maven2/commons-io/commons-io/2.7/commons-io-2.7.jar,36,0,1,0,0,1,0,2.8.0
83845,commons-io.commons-io,2.8.0,2020-09-09,https://repo1.maven.org/maven2/commons-io/commons-io/2.8.0/commons-io-2.8.0.jar,36,0,0,0,0,1,1,2.9.0
83844,commons-io.commons-io,2.9.0,2021-05-25,https://repo1.maven.org/maven2/commons-io/commons-io/2.9.0/commons-io-2.9.0.jar,36,0,0,0,0,0,0,2.10.0
83843,commons-io.commons-io,2.10.0,2021-06-13,https://repo1.maven.org/maven2/commons-io/commons-io/2.10.0/commons-io-2.10.0.jar,36,0,0,0,0,0,0,2.11.0
83842,commons-io.commons-io,2.11.0,2021-07-13,https://repo1.maven.org/maven2/commons-io/commons-io/2.11.0/commons-io-2.11.0.jar,37,0,0,0,0,1,0,2.12.0
83841,commons-io.commons-io,2.12.0,2023-05-16,https://repo1.maven.org/maven2/commons-io/commons-io/2.12.0/commons-io-2.12.0.jar,38,0,0,0,0,1,0,2.13.0
83840,commons-io.commons-io,2.13.0,2023-06-07,https://repo1.maven.org/maven2/commons-io/commons-io/2.13.0/commons-io-2.13.0.jar,38,0,0,0,0,0,0,2.14.0
83855,commons-io.commons-io,2.14.0,2023-09-29,https://repo1.maven.org/maven2/commons-io/commons-io/2.14.0/commons-io-2.14.0.jar,38,0,0,0,0,0,0,2.15.0
83856,commons-io.commons-io,2.15.0,2023-10-25,https://repo1.maven.org/maven2/commons-io/commons-io/2.15.0/commons-io-2.15.0.jar,38,0,0,0,0,0,0,2.15.1
83857,commons-io.commons-io,2.15.1,2023-11-29,https://repo1.maven.org/maven2/commons-io/commons-io/2.15.1/commons-io-2.15.1.jar,38,0,0,0,0,0,0,2.16.0
83858,commons-io.commons-io,2.16.0,2024-03-28,https://repo1.maven.org/maven2/commons-io/commons-io/2.16.0/commons-io-2.16.0.jar,38,0,0,0,0,0,0,2.16.1
83873,commons-io.commons-io,2.16.1,2024-04-08,https://repo1.maven.org/maven2/commons-io/commons-io/2.16.1/commons-io-2.16.1.jar,38,0,0,0,0,0,0,2.17.0
83872,commons-io.commons-io,2.17.0,2024-09-15,https://repo1.maven.org/maven2/commons-io/commons-io/2.17.0/commons-io-2.17.0.jar,38,0,0,0,0,0,0,2.18.0
83871,commons-io.commons-io,2.18.0,2024-11-19,https://repo1.maven.org/maven2/commons-io/commons-io/2.18.0/commons-io-2.18.0.jar,: 38,0,0,0,0,0,0,
