,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
26474,commons-validator.commons-validator,1.0,2005-11-24,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.0/commons-validator-1.0.jar,15,,,,,,,1.0.1
26475,commons-validator.commons-validator,1.0.1,2005-11-24,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.0.1/commons-validator-1.0.1.jar,16,1,0,0,0,0,0,1.0.2
26476,commons-validator.commons-validator,1.0.2,2005-11-24,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.0.2/commons-validator-1.0.2.jar,16,0,0,0,0,0,0,1.1.0
26477,commons-validator.commons-validator,1.1.0,2005-11-08,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.1.0/commons-validator-1.1.0.jar,17,0,1,0,0,2,0,1.1.1
26478,commons-validator.commons-validator,1.1.1,2005-11-08,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.1.1/commons-validator-1.1.1.jar,17,0,0,0,0,0,0,1.1.3
26479,commons-validator.commons-validator,1.1.3,2005-11-08,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.1.3/commons-validator-1.1.3.jar,17,0,0,0,0,0,0,1.1.4
26480,commons-validator.commons-validator,1.1.4,2005-11-08,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.1.4/commons-validator-1.1.4.jar,17,0,0,0,0,0,0,1.2.0
26481,commons-validator.commons-validator,1.2.0,2005-12-20,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.2.0/commons-validator-1.2.0.jar,16,0,0,0,0,0,1,1.3.0
26482,commons-validator.commons-validator,1.3.0,2006-03-24,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.3.0/commons-validator-1.3.0.jar,32,0,0,0,0,16,0,1.3.1
26483,commons-validator.commons-validator,1.3.1,2006-12-02,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.3.1/commons-validator-1.3.1.jar,32,0,0,0,0,0,0,1.4.0
26484,commons-validator.commons-validator,1.4.0,2012-01-29,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.4.0/commons-validator-1.4.0.jar,51,0,0,0,0,19,0,1.4.1
26485,commons-validator.commons-validator,1.4.1,2015-01-10,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.4.1/commons-validator-1.4.1.jar,51,0,0,0,0,0,0,1.5.0
26486,commons-validator.commons-validator,1.5.0,2015-11-19,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.5.0/commons-validator-1.5.0.jar,53,0,0,0,0,2,0,1.5.1
26487,commons-validator.commons-validator,1.5.1,2016-04-25,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.5.1/commons-validator-1.5.1.jar,53,0,0,0,0,0,0,1.6
26488,commons-validator.commons-validator,1.6,2017-02-16,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.6/commons-validator-1.6.jar,55,0,0,0,0,2,0,1.7
26489,commons-validator.commons-validator,1.7,2020-08-07,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.7/commons-validator-1.7.jar,56,0,0,0,0,1,0,1.8.0
26490,commons-validator.commons-validator,1.8.0,2023-12-07,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.8.0/commons-validator-1.8.0.jar,56,0,0,0,0,0,0,1.9.0
26491,commons-validator.commons-validator,1.9.0,2024-05-29,https://repo1.maven.org/maven2/commons-validator/commons-validator/1.9.0/commons-validator-1.9.0.jar,: 58,0,0,0,0,2,0,
