,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
29235,de.cronn.reflection-util,1.0,2017-11-03,https://repo1.maven.org/maven2/de/cronn/reflection-util/1.0/reflection-util-1.0.jar,,,,,,,,1.1
29236,de.cronn.reflection-util,1.1,2017-11-03,https://repo1.maven.org/maven2/de/cronn/reflection-util/1.1/reflection-util-1.1.jar,,,,,,,,1.2
29237,de.cronn.reflection-util,1.2,2017-11-06,https://repo1.maven.org/maven2/de/cronn/reflection-util/1.2/reflection-util-1.2.jar,,,,,,,,1.3
29238,de.cronn.reflection-util,1.3,2018-02-02,https://repo1.maven.org/maven2/de/cronn/reflection-util/1.3/reflection-util-1.3.jar,,,,,,,,1.5
29239,de.cronn.reflection-util,1.5,2018-02-27,https://repo1.maven.org/maven2/de/cronn/reflection-util/1.5/reflection-util-1.5.jar,,,,,,,,1.6
29240,de.cronn.reflection-util,1.6,2018-03-05,https://repo1.maven.org/maven2/de/cronn/reflection-util/1.6/reflection-util-1.6.jar,,,,,,,,1.6.1
29241,de.cronn.reflection-util,1.6.1,2018-03-27,https://repo1.maven.org/maven2/de/cronn/reflection-util/1.6.1/reflection-util-1.6.1.jar,,,,,,,,1.6.2
29242,de.cronn.reflection-util,1.6.2,2018-03-27,https://repo1.maven.org/maven2/de/cronn/reflection-util/1.6.2/reflection-util-1.6.2.jar,,,,,,,,1.6.3
29243,de.cronn.reflection-util,1.6.3,2018-03-30,https://repo1.maven.org/maven2/de/cronn/reflection-util/1.6.3/reflection-util-1.6.3.jar,,,,,,,,1.7.0
29244,de.cronn.reflection-util,1.7.0,2018-04-16,https://repo1.maven.org/maven2/de/cronn/reflection-util/1.7.0/reflection-util-1.7.0.jar,,,,,,,,1.7.1
29245,de.cronn.reflection-util,1.7.1,2018-04-30,https://repo1.maven.org/maven2/de/cronn/reflection-util/1.7.1/reflection-util-1.7.1.jar,,,,,,,,1.8.0
29246,de.cronn.reflection-util,1.8.0,2018-06-18,https://repo1.maven.org/maven2/de/cronn/reflection-util/1.8.0/reflection-util-1.8.0.jar,,,,,,,,1.8.1
29247,de.cronn.reflection-util,1.8.1,2018-07-04,https://repo1.maven.org/maven2/de/cronn/reflection-util/1.8.1/reflection-util-1.8.1.jar,,,,,,,,2.0.0
29248,de.cronn.reflection-util,2.0.0,2018-07-04,https://repo1.maven.org/maven2/de/cronn/reflection-util/2.0.0/reflection-util-2.0.0.jar,,,,,,,,2.0.1
29249,de.cronn.reflection-util,2.0.1,2018-07-05,https://repo1.maven.org/maven2/de/cronn/reflection-util/2.0.1/reflection-util-2.0.1.jar,,,,,,,,2.0.2
29250,de.cronn.reflection-util,2.0.2,2018-07-05,https://repo1.maven.org/maven2/de/cronn/reflection-util/2.0.2/reflection-util-2.0.2.jar,,,,,,,,2.0.3
29251,de.cronn.reflection-util,2.0.3,2018-08-06,https://repo1.maven.org/maven2/de/cronn/reflection-util/2.0.3/reflection-util-2.0.3.jar,,,,,,,,2.1.0
29252,de.cronn.reflection-util,2.1.0,2018-10-11,https://repo1.maven.org/maven2/de/cronn/reflection-util/2.1.0/reflection-util-2.1.0.jar,,,,,,,,2.2.0
29253,de.cronn.reflection-util,2.2.0,2018-12-07,https://repo1.maven.org/maven2/de/cronn/reflection-util/2.2.0/reflection-util-2.2.0.jar,,,,,,,,2.3.0
29231,de.cronn.reflection-util,2.3.0,2019-03-17,https://repo1.maven.org/maven2/de/cronn/reflection-util/2.3.0/reflection-util-2.3.0.jar,3,,,,,,,2.4.0
29254,de.cronn.reflection-util,2.4.0,2019-03-18,https://repo1.maven.org/maven2/de/cronn/reflection-util/2.4.0/reflection-util-2.4.0.jar,5,0,0,0,0,2,0,2.4.1
29230,de.cronn.reflection-util,2.4.1,2019-03-22,https://repo1.maven.org/maven2/de/cronn/reflection-util/2.4.1/reflection-util-2.4.1.jar,5,0,0,0,0,0,0,2.5.0
29228,de.cronn.reflection-util,2.5.0,2019-12-09,https://repo1.maven.org/maven2/de/cronn/reflection-util/2.5.0/reflection-util-2.5.0.jar,5,0,0,0,0,0,0,2.6.0
29206,de.cronn.reflection-util,2.6.0,2020-03-19,https://repo1.maven.org/maven2/de/cronn/reflection-util/2.6.0/reflection-util-2.6.0.jar,5,0,0,0,0,0,0,2.7.0
