,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
14029,dnsjava.dnsjava,1.2.3,2005-11-08,https://repo1.maven.org/maven2/dnsjava/dnsjava/1.2.3/dnsjava-1.2.3.jar,,,,,,,,1.3.2
14030,dnsjava.dnsjava,1.3.2,2005-11-08,https://repo1.maven.org/maven2/dnsjava/dnsjava/1.3.2/dnsjava-1.3.2.jar,,,,,,,,2.0.1
14031,dnsjava.dnsjava,2.0.1,2006-05-10,https://repo1.maven.org/maven2/dnsjava/dnsjava/2.0.1/dnsjava-2.0.1.jar,,,,,,,,2.0.6
14032,dnsjava.dnsjava,2.0.6,2009-10-23,https://repo1.maven.org/maven2/dnsjava/dnsjava/2.0.6/dnsjava-2.0.6.jar,,,,,,,,2.0.7
14033,dnsjava.dnsjava,2.0.7,2009-10-23,https://repo1.maven.org/maven2/dnsjava/dnsjava/2.0.7/dnsjava-2.0.7.jar,65,,,,,,,2.0.8
14034,dnsjava.dnsjava,2.0.8,2010-02-24,https://repo1.maven.org/maven2/dnsjava/dnsjava/2.0.8/dnsjava-2.0.8.jar,65,0,0,0,0,0,0,2.1.0
14035,dnsjava.dnsjava,2.1.0,2010-11-01,https://repo1.maven.org/maven2/dnsjava/dnsjava/2.1.0/dnsjava-2.1.0.jar,70,0,0,0,0,5,0,2.1.1
14036,dnsjava.dnsjava,2.1.1,2011-02-15,https://repo1.maven.org/maven2/dnsjava/dnsjava/2.1.1/dnsjava-2.1.1.jar,70,0,0,0,0,0,0,2.1.6
14037,dnsjava.dnsjava,2.1.6,2014-02-25,https://repo1.maven.org/maven2/dnsjava/dnsjava/2.1.6/dnsjava-2.1.6.jar,66,0,0,0,0,1,5,2.1.7
14014,dnsjava.dnsjava,2.1.7,2015-02-17,https://repo1.maven.org/maven2/dnsjava/dnsjava/2.1.7/dnsjava-2.1.7.jar,67,0,0,0,0,1,0,2.1.8
14038,dnsjava.dnsjava,2.1.8,2017-01-08,https://repo1.maven.org/maven2/dnsjava/dnsjava/2.1.8/dnsjava-2.1.8.jar,70,0,0,0,0,3,0,2.1.9
14013,dnsjava.dnsjava,2.1.9,2019-05-25,https://repo1.maven.org/maven2/dnsjava/dnsjava/2.1.9/dnsjava-2.1.9.jar,72,0,0,0,0,2,0,3.0.0
13990,dnsjava.dnsjava,3.0.0,2020-02-15,https://repo1.maven.org/maven2/dnsjava/dnsjava/3.0.0/dnsjava-3.0.0.jar,5,0,1,0,66,0,0,3.0.1
13991,dnsjava.dnsjava,3.0.1,2020-02-23,https://repo1.maven.org/maven2/dnsjava/dnsjava/3.0.1/dnsjava-3.0.1.jar,5,0,0,0,0,0,0,3.0.2
13992,dnsjava.dnsjava,3.0.2,2020-03-19,https://repo1.maven.org/maven2/dnsjava/dnsjava/3.0.2/dnsjava-3.0.2.jar,5,0,0,0,0,0,0,3.1.0
13993,dnsjava.dnsjava,3.1.0,2020-05-15,https://repo1.maven.org/maven2/dnsjava/dnsjava/3.1.0/dnsjava-3.1.0.jar,5,0,0,0,0,0,0,3.2.0
13994,dnsjava.dnsjava,3.2.0,2020-06-22,https://repo1.maven.org/maven2/dnsjava/dnsjava/3.2.0/dnsjava-3.2.0.jar,5,0,0,0,0,0,0,3.2.1
13995,dnsjava.dnsjava,3.2.1,2020-06-22,https://repo1.maven.org/maven2/dnsjava/dnsjava/3.2.1/dnsjava-3.2.1.jar,5,0,0,0,0,0,0,3.2.2
13996,dnsjava.dnsjava,3.2.2,2020-07-11,https://repo1.maven.org/maven2/dnsjava/dnsjava/3.2.2/dnsjava-3.2.2.jar,5,0,0,0,0,0,0,3.3.0
13997,dnsjava.dnsjava,3.3.0,2020-09-27,https://repo1.maven.org/maven2/dnsjava/dnsjava/3.3.0/dnsjava-3.3.0.jar,5,0,0,0,0,0,0,3.3.1
