,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
44326,edu.stanford.nlp.stanford-corenlp,1.2.0,2011-09-26,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/1.2.0/stanford-corenlp-1.2.0.jar,363,,,,,,,1.3.0
44327,edu.stanford.nlp.stanford-corenlp,1.3.0,2012-01-11,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/1.3.0/stanford-corenlp-1.3.0.jar,365,3,1,1,0,15,16,1.3.1
44328,edu.stanford.nlp.stanford-corenlp,1.3.1,2012-05-09,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/1.3.1/stanford-corenlp-1.3.1.jar,369,3,0,0,0,4,3,1.3.2
44329,edu.stanford.nlp.stanford-corenlp,1.3.2,2012-06-10,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/1.3.2/stanford-corenlp-1.3.2.jar,383,0,0,1,0,18,5,1.3.3
44330,edu.stanford.nlp.stanford-corenlp,1.3.3,2012-07-20,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/1.3.3/stanford-corenlp-1.3.3.jar,380,0,0,0,0,8,11,1.3.4
44331,edu.stanford.nlp.stanford-corenlp,1.3.4,2012-12-17,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/1.3.4/stanford-corenlp-1.3.4.jar,413,2,0,20,0,12,1,1.3.5
44332,edu.stanford.nlp.stanford-corenlp,1.3.5,2013-04-17,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/1.3.5/stanford-corenlp-1.3.5.jar,469,2,0,38,0,21,6,3.2.0
44333,edu.stanford.nlp.stanford-corenlp,3.2.0,2013-07-09,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/3.2.0/stanford-corenlp-3.2.0.jar,476,0,0,0,0,8,1,3.3.0
44334,edu.stanford.nlp.stanford-corenlp,3.3.0,2013-11-16,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/3.3.0/stanford-corenlp-3.3.0.jar,506,1,0,1,0,32,1,3.3.1
44335,edu.stanford.nlp.stanford-corenlp,3.3.1,2014-01-14,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/3.3.1/stanford-corenlp-3.3.1.jar,506,0,0,0,0,4,4,3.4
44336,edu.stanford.nlp.stanford-corenlp,3.4,2014-07-10,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/3.4/stanford-corenlp-3.4.jar,534,1,0,0,0,30,3,3.4.1
44337,edu.stanford.nlp.stanford-corenlp,3.4.1,2014-09-04,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/3.4.1/stanford-corenlp-3.4.1.jar,577,0,1,0,0,48,2,3.5.0
44338,edu.stanford.nlp.stanford-corenlp,3.5.0,2014-10-31,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/3.5.0/stanford-corenlp-3.5.0.jar,568,0,0,0,13,23,18,3.5.1
44339,edu.stanford.nlp.stanford-corenlp,3.5.1,2015-02-09,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/3.5.1/stanford-corenlp-3.5.1.jar,579,1,0,0,0,17,6,3.5.2
44340,edu.stanford.nlp.stanford-corenlp,3.5.2,2015-05-04,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/3.5.2/stanford-corenlp-3.5.2.jar,658,3,0,29,0,68,0,3.6.0
44341,edu.stanford.nlp.stanford-corenlp,3.6.0,2016-01-21,https://repo1.maven.org/maven2/edu/stanford/nlp/stanford-corenlp/3.6.0/stanford-corenlp-3.6.0.jar,671,0,0,0,0,29,37,3.7.0
