,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
82002,io.airlift.aircompressor,0.3,2016-03-08,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.3/aircompressor-0.3.jar,,,,,,,,0.4
82000,io.airlift.aircompressor,0.4,2016-11-03,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.4/aircompressor-0.4.jar,,,,,,,,0.5
81981,io.airlift.aircompressor,0.5,2017-03-14,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.5/aircompressor-0.5.jar,,,,,,,,0.6
81982,io.airlift.aircompressor,0.6,2017-04-26,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.6/aircompressor-0.6.jar,,,,,,,,0.7
81983,io.airlift.aircompressor,0.7,2017-05-16,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.7/aircompressor-0.7.jar,,,,,,,,0.8
81984,io.airlift.aircompressor,0.8,2017-07-17,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.8/aircompressor-0.8.jar,,,,,,,,0.9
81985,io.airlift.aircompressor,0.9,2017-09-07,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.9/aircompressor-0.9.jar,,,,,,,,0.10
81986,io.airlift.aircompressor,0.10,2018-04-27,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.10/aircompressor-0.10.jar,,,,,,,,0.11
81987,io.airlift.aircompressor,0.11,2018-05-04,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.11/aircompressor-0.11.jar,,,,,,,,0.12
81988,io.airlift.aircompressor,0.12,2018-09-24,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.12/aircompressor-0.12.jar,,,,,,,,0.13
81989,io.airlift.aircompressor,0.13,2018-10-25,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.13/aircompressor-0.13.jar,,,,,,,,0.14
81990,io.airlift.aircompressor,0.14,2019-06-05,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.14/aircompressor-0.14.jar,,,,,,,,0.15
81991,io.airlift.aircompressor,0.15,2019-06-07,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.15/aircompressor-0.15.jar,,,,,,,,0.16
81992,io.airlift.aircompressor,0.16,2019-10-15,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.16/aircompressor-0.16.jar,,,,,,,,0.17
81993,io.airlift.aircompressor,0.17,2020-08-13,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.17/aircompressor-0.17.jar,,,,,,,,0.18
81994,io.airlift.aircompressor,0.18,2021-01-14,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.18/aircompressor-0.18.jar,,,,,,,,0.19
81995,io.airlift.aircompressor,0.19,2021-06-18,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.19/aircompressor-0.19.jar,,,,,,,,0.20
81996,io.airlift.aircompressor,0.20,2021-08-12,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.20/aircompressor-0.20.jar,,,,,,,,0.21
81997,io.airlift.aircompressor,0.21,2021-08-31,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.21/aircompressor-0.21.jar,,,,,,,,0.22
81998,io.airlift.aircompressor,0.22,2023-03-05,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.22/aircompressor-0.22.jar,,,,,,,,0.23
81999,io.airlift.aircompressor,0.23,2023-03-07,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.23/aircompressor-0.23.jar,,,,,,,,0.24
82001,io.airlift.aircompressor,0.24,2023-03-07,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.24/aircompressor-0.24.jar,,,,,,,,0.25
82023,io.airlift.aircompressor,0.25,2023-07-13,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.25/aircompressor-0.25.jar,,,,,,,,0.26
82044,io.airlift.aircompressor,0.26,2024-02-08,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.26/aircompressor-0.26.jar,,,,,,,,0.27
82024,io.airlift.aircompressor,0.27,2024-05-20,https://repo1.maven.org/maven2/io/airlift/aircompressor/0.27/aircompressor-0.27.jar,,,,,,,,2.0
82047,io.airlift.aircompressor,2.0,2024-08-12,https://repo1.maven.org/maven2/io/airlift/aircompressor/2.0/aircompressor-2.0.jar,,,,,,,,2.0.1
82048,io.airlift.aircompressor,2.0.1,2024-08-17,https://repo1.maven.org/maven2/io/airlift/aircompressor/2.0.1/aircompressor-2.0.1.jar,,,,,,,,2.0.2
82049,io.airlift.aircompressor,2.0.2,2024-08-17,https://repo1.maven.org/maven2/io/airlift/aircompressor/2.0.2/aircompressor-2.0.2.jar,,,,,,,,
