,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
1842,io.airlift.json,0.65,2012-06-20,https://repo1.maven.org/maven2/io/airlift/json/0.65/json-0.65.jar,,,,,,,,0.66
1843,io.airlift.json,0.66,2012-07-27,https://repo1.maven.org/maven2/io/airlift/json/0.66/json-0.66.jar,,,,,,,,0.67
1844,io.airlift.json,0.67,2012-12-14,https://repo1.maven.org/maven2/io/airlift/json/0.67/json-0.67.jar,,,,,,,,0.68
1845,io.airlift.json,0.68,2013-01-04,https://repo1.maven.org/maven2/io/airlift/json/0.68/json-0.68.jar,,,,,,,,0.69
1846,io.airlift.json,0.69,2013-01-31,https://repo1.maven.org/maven2/io/airlift/json/0.69/json-0.69.jar,,,,,,,,0.70
1847,io.airlift.json,0.70,2013-02-20,https://repo1.maven.org/maven2/io/airlift/json/0.70/json-0.70.jar,,,,,,,,0.71
1848,io.airlift.json,0.71,2013-03-06,https://repo1.maven.org/maven2/io/airlift/json/0.71/json-0.71.jar,,,,,,,,0.72
1849,io.airlift.json,0.72,2013-03-14,https://repo1.maven.org/maven2/io/airlift/json/0.72/json-0.72.jar,,,,,,,,0.73
1850,io.airlift.json,0.73,2013-03-18,https://repo1.maven.org/maven2/io/airlift/json/0.73/json-0.73.jar,,,,,,,,0.74
1851,io.airlift.json,0.74,2013-03-25,https://repo1.maven.org/maven2/io/airlift/json/0.74/json-0.74.jar,,,,,,,,0.75
1852,io.airlift.json,0.75,2013-04-03,https://repo1.maven.org/maven2/io/airlift/json/0.75/json-0.75.jar,,,,,,,,0.76
1853,io.airlift.json,0.76,2013-05-21,https://repo1.maven.org/maven2/io/airlift/json/0.76/json-0.76.jar,,,,,,,,0.77
1854,io.airlift.json,0.77,2013-06-17,https://repo1.maven.org/maven2/io/airlift/json/0.77/json-0.77.jar,,,,,,,,0.78
1856,io.airlift.json,0.78,2013-07-26,https://repo1.maven.org/maven2/io/airlift/json/0.78/json-0.78.jar,,,,,,,,0.79
1879,io.airlift.json,0.79,2013-08-30,https://repo1.maven.org/maven2/io/airlift/json/0.79/json-0.79.jar,,,,,,,,0.80
1905,io.airlift.json,0.80,2013-09-12,https://repo1.maven.org/maven2/io/airlift/json/0.80/json-0.80.jar,,,,,,,,0.81
1880,io.airlift.json,0.81,2013-09-25,https://repo1.maven.org/maven2/io/airlift/json/0.81/json-0.81.jar,,,,,,,,0.82
1908,io.airlift.json,0.82,2013-10-01,https://repo1.maven.org/maven2/io/airlift/json/0.82/json-0.82.jar,,,,,,,,0.83
