,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
26461,io.airlift.units,0.65,2012-06-20,https://repo1.maven.org/maven2/io/airlift/units/0.65/units-0.65.jar,,,,,,,,0.66
26462,io.airlift.units,0.66,2012-07-27,https://repo1.maven.org/maven2/io/airlift/units/0.66/units-0.66.jar,,,,,,,,0.67
26463,io.airlift.units,0.67,2012-12-14,https://repo1.maven.org/maven2/io/airlift/units/0.67/units-0.67.jar,,,,,,,,0.68
26464,io.airlift.units,0.68,2013-01-04,https://repo1.maven.org/maven2/io/airlift/units/0.68/units-0.68.jar,,,,,,,,0.69
26465,io.airlift.units,0.69,2013-01-31,https://repo1.maven.org/maven2/io/airlift/units/0.69/units-0.69.jar,,,,,,,,0.70
26466,io.airlift.units,0.70,2013-02-20,https://repo1.maven.org/maven2/io/airlift/units/0.70/units-0.70.jar,,,,,,,,0.71
26467,io.airlift.units,0.71,2013-03-06,https://repo1.maven.org/maven2/io/airlift/units/0.71/units-0.71.jar,,,,,,,,0.72
26468,io.airlift.units,0.72,2013-03-14,https://repo1.maven.org/maven2/io/airlift/units/0.72/units-0.72.jar,,,,,,,,0.73
26459,io.airlift.units,0.73,2013-03-18,https://repo1.maven.org/maven2/io/airlift/units/0.73/units-0.73.jar,,,,,,,,0.74
26469,io.airlift.units,0.74,2013-03-25,https://repo1.maven.org/maven2/io/airlift/units/0.74/units-0.74.jar,,,,,,,,0.75
26458,io.airlift.units,0.75,2013-04-03,https://repo1.maven.org/maven2/io/airlift/units/0.75/units-0.75.jar,,,,,,,,0.76
26456,io.airlift.units,0.76,2013-05-21,https://repo1.maven.org/maven2/io/airlift/units/0.76/units-0.76.jar,,,,,,,,0.77
26433,io.airlift.units,0.77,2013-06-17,https://repo1.maven.org/maven2/io/airlift/units/0.77/units-0.77.jar,,,,,,,,0.78
26434,io.airlift.units,0.78,2013-07-26,https://repo1.maven.org/maven2/io/airlift/units/0.78/units-0.78.jar,,,,,,,,0.79
26435,io.airlift.units,0.79,2013-08-30,https://repo1.maven.org/maven2/io/airlift/units/0.79/units-0.79.jar,,,,,,,,0.80
26436,io.airlift.units,0.80,2013-09-12,https://repo1.maven.org/maven2/io/airlift/units/0.80/units-0.80.jar,,,,,,,,0.81
26437,io.airlift.units,0.81,2013-09-25,https://repo1.maven.org/maven2/io/airlift/units/0.81/units-0.81.jar,,,,,,,,0.82
26438,io.airlift.units,0.82,2013-10-01,https://repo1.maven.org/maven2/io/airlift/units/0.82/units-0.82.jar,,,,,,,,0.83
26439,io.airlift.units,0.83,2013-10-15,https://repo1.maven.org/maven2/io/airlift/units/0.83/units-0.83.jar,,,,,,,,0.84
