,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
106802,io.atlassian.fugue.fugue,1.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/1.0/fugue-1.0.jar,,,,,,,,1.0.1
106803,io.atlassian.fugue.fugue,1.0.1,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/1.0.1/fugue-1.0.1.jar,,,,,,,,1.1
106804,io.atlassian.fugue.fugue,1.1,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/1.1/fugue-1.1.jar,,,,,,,,1.2.0
106816,io.atlassian.fugue.fugue,1.2.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/1.2.0/fugue-1.2.0.jar,,,,,,,,2.0.0
106815,io.atlassian.fugue.fugue,2.0.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/2.0.0/fugue-2.0.0.jar,,,,,,,,2.1.0
106814,io.atlassian.fugue.fugue,2.1.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/2.1.0/fugue-2.1.0.jar,7,,,,,,,2.2.0
106813,io.atlassian.fugue.fugue,2.2.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/2.2.0/fugue-2.2.0.jar,7,0,0,0,0,0,0,2.2.1
106812,io.atlassian.fugue.fugue,2.2.1,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/2.2.1/fugue-2.2.1.jar,8,0,0,0,0,1,0,2.3.0
106811,io.atlassian.fugue.fugue,2.3.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/2.3.0/fugue-2.3.0.jar,8,0,0,0,0,0,0,2.3.1
106817,io.atlassian.fugue.fugue,2.3.1,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/2.3.1/fugue-2.3.1.jar,8,0,0,0,0,0,0,2.4.0
106810,io.atlassian.fugue.fugue,2.4.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/2.4.0/fugue-2.4.0.jar,8,0,0,0,0,0,0,2.5.0
106809,io.atlassian.fugue.fugue,2.5.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/2.5.0/fugue-2.5.0.jar,8,0,0,0,0,0,0,2.6.0
106808,io.atlassian.fugue.fugue,2.6.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/2.6.0/fugue-2.6.0.jar,8,0,0,0,0,0,0,2.6.1
106807,io.atlassian.fugue.fugue,2.6.1,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/2.6.1/fugue-2.6.1.jar,8,0,0,0,0,0,0,2.6.2
106806,io.atlassian.fugue.fugue,2.6.2,2020-01-30,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/2.6.2/fugue-2.6.2.jar,8,0,0,0,0,0,0,2.7.0
106805,io.atlassian.fugue.fugue,2.7.0,2019-04-01,https://maven.artifacts.atlassian.com/com/atlassian/fugue/fugue/2.7.0/fugue-2.7.0.jar,8,0,0,0,0,0,0,3.0.0
19119,io.atlassian.fugue.fugue,3.0.0,2015-09-12,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/3.0.0/fugue-3.0.0.jar,8,0,0,0,0,8,8,3.1.0
19097,io.atlassian.fugue.fugue,3.1.0,2015-11-16,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/3.1.0/fugue-3.1.0.jar,8,0,0,0,0,0,0,4.0.0
19120,io.atlassian.fugue.fugue,4.0.0,2016-07-26,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.0.0/fugue-4.0.0.jar,8,0,0,0,0,0,0,4.0.1
19096,io.atlassian.fugue.fugue,4.0.1,2016-08-02,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.0.1/fugue-4.0.1.jar,8,0,0,0,0,0,0,4.1.0
19094,io.atlassian.fugue.fugue,4.1.0,2016-08-05,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.1.0/fugue-4.1.0.jar,8,0,0,0,0,0,0,4.2.0
19074,io.atlassian.fugue.fugue,4.2.0,2016-08-05,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.2.0/fugue-4.2.0.jar,9,0,0,0,0,1,0,4.2.1
19075,io.atlassian.fugue.fugue,4.2.1,2016-08-09,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.2.1/fugue-4.2.1.jar,9,0,0,0,0,0,0,4.2.2
19076,io.atlassian.fugue.fugue,4.2.2,2016-08-09,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.2.2/fugue-4.2.2.jar,9,0,0,0,0,0,0,4.3.0
19077,io.atlassian.fugue.fugue,4.3.0,2016-08-17,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.3.0/fugue-4.3.0.jar,9,0,0,0,0,0,0,4.3.1
19078,io.atlassian.fugue.fugue,4.3.1,2016-09-26,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.3.1/fugue-4.3.1.jar,9,0,0,0,0,0,0,4.4.0
19079,io.atlassian.fugue.fugue,4.4.0,2016-12-12,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.4.0/fugue-4.4.0.jar,9,0,0,0,0,0,0,4.5.0
19080,io.atlassian.fugue.fugue,4.5.0,2017-04-08,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.5.0/fugue-4.5.0.jar,9,0,0,0,0,0,0,4.5.1
19081,io.atlassian.fugue.fugue,4.5.1,2017-12-07,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.5.1/fugue-4.5.1.jar,9,0,0,0,0,0,0,4.6.1
19082,io.atlassian.fugue.fugue,4.6.1,2018-05-17,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.6.1/fugue-4.6.1.jar,9,0,0,0,0,0,0,4.6.2
19083,io.atlassian.fugue.fugue,4.6.2,2018-05-31,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.6.2/fugue-4.6.2.jar,9,0,0,0,0,0,0,4.7.0
19084,io.atlassian.fugue.fugue,4.7.0,2018-07-19,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.7.0/fugue-4.7.0.jar,13,1,0,3,0,0,0,4.7.1
19085,io.atlassian.fugue.fugue,4.7.1,2018-07-19,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.7.1/fugue-4.7.1.jar,13,0,0,0,0,0,0,4.7.2
19086,io.atlassian.fugue.fugue,4.7.2,2018-09-18,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/4.7.2/fugue-4.7.2.jar,13,0,0,0,0,0,0,5.0.0
19087,io.atlassian.fugue.fugue,5.0.0,2022-02-10,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/5.0.0/fugue-5.0.0.jar,13,0,0,0,0,0,0,5.0.1
19088,io.atlassian.fugue.fugue,5.0.1,2024-05-23,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/5.0.1/fugue-5.0.1.jar,13,0,0,0,0,0,0,6.0.1
19089,io.atlassian.fugue.fugue,6.0.1,2024-07-12,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/6.0.1/fugue-6.0.1.jar,13,0,0,0,0,0,0,6.1.0
19090,io.atlassian.fugue.fugue,6.1.0,2024-07-15,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/6.1.0/fugue-6.1.0.jar,13,0,0,0,0,0,0,6.1.1
19091,io.atlassian.fugue.fugue,6.1.1,2025-02-03,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/6.1.1/fugue-6.1.1.jar,13,0,0,0,0,0,0,6.1.2
19092,io.atlassian.fugue.fugue,6.1.2,2025-02-06,https://repo1.maven.org/maven2/io/atlassian/fugue/fugue/6.1.2/fugue-6.1.2.jar,: 13,0,0,0,0,0,0,
