,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
100228,io.atlassian.util.concurrent.atlassian-util-concurrent,0.0.1,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/0.0.1/atlassian-util-concurrent-0.0.1.jar,3,,,,,,,0.0.2
100229,io.atlassian.util.concurrent.atlassian-util-concurrent,0.0.2,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/0.0.2/atlassian-util-concurrent-0.0.2.jar,3,0,0,0,0,0,0,0.0.3
100230,io.atlassian.util.concurrent.atlassian-util-concurrent,0.0.3,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/0.0.3/atlassian-util-concurrent-0.0.3.jar,3,0,0,0,0,0,0,0.0.4
100231,io.atlassian.util.concurrent.atlassian-util-concurrent,0.0.4,2024-07-24,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/0.0.4/atlassian-util-concurrent-0.0.4.jar,11,0,0,0,0,12,0,0.0.5
100235,io.atlassian.util.concurrent.atlassian-util-concurrent,0.0.5,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/0.0.5/atlassian-util-concurrent-0.0.5.jar,11,0,0,0,0,0,0,0.0.6
100236,io.atlassian.util.concurrent.atlassian-util-concurrent,0.0.6,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/0.0.6/atlassian-util-concurrent-0.0.6.jar,11,0,0,0,0,12,12,0.0.7
100237,io.atlassian.util.concurrent.atlassian-util-concurrent,0.0.7,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/0.0.7/atlassian-util-concurrent-0.0.7.jar,11,0,0,0,0,12,12,0.0.8
100238,io.atlassian.util.concurrent.atlassian-util-concurrent,0.0.8,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/0.0.8/atlassian-util-concurrent-0.0.8.jar,12,1,0,0,0,0,0,0.0.9
100252,io.atlassian.util.concurrent.atlassian-util-concurrent,0.0.9,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/0.0.9/atlassian-util-concurrent-0.0.9.jar,12,0,0,0,0,0,0,0.0.10
100253,io.atlassian.util.concurrent.atlassian-util-concurrent,0.0.10,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/0.0.10/atlassian-util-concurrent-0.0.10.jar,12,0,0,0,0,0,0,0.0.11
100254,io.atlassian.util.concurrent.atlassian-util-concurrent,0.0.11,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/0.0.11/atlassian-util-concurrent-0.0.11.jar,12,0,0,0,0,0,0,0.0.12
100255,io.atlassian.util.concurrent.atlassian-util-concurrent,0.0.12,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/0.0.12/atlassian-util-concurrent-0.0.12.jar,10,0,0,0,0,5,7,0.0.13
100256,io.atlassian.util.concurrent.atlassian-util-concurrent,0.0.13,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/0.0.13/atlassian-util-concurrent-0.0.13.jar,10,0,0,0,0,0,0,1.0.0
100257,io.atlassian.util.concurrent.atlassian-util-concurrent,1.0.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/1.0.0/atlassian-util-concurrent-1.0.0.jar,10,0,0,0,0,0,0,1.1.0
100258,io.atlassian.util.concurrent.atlassian-util-concurrent,1.1.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/1.1.0/atlassian-util-concurrent-1.1.0.jar,10,0,0,0,0,0,0,2.0.0
100259,io.atlassian.util.concurrent.atlassian-util-concurrent,2.0.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/2.0.0/atlassian-util-concurrent-2.0.0.jar,10,0,0,0,0,0,0,2.1.0
100260,io.atlassian.util.concurrent.atlassian-util-concurrent,2.1.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/2.1.0/atlassian-util-concurrent-2.1.0.jar,10,0,0,0,0,0,0,2.2.0
100261,io.atlassian.util.concurrent.atlassian-util-concurrent,2.2.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/2.2.0/atlassian-util-concurrent-2.2.0.jar,10,0,0,0,0,0,0,2.3.0
100262,io.atlassian.util.concurrent.atlassian-util-concurrent,2.3.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/2.3.0/atlassian-util-concurrent-2.3.0.jar,10,0,0,0,0,0,0,2.4.0
100239,io.atlassian.util.concurrent.atlassian-util-concurrent,2.4.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/2.4.0/atlassian-util-concurrent-2.4.0.jar,10,0,0,0,0,0,0,2.4.1
100240,io.atlassian.util.concurrent.atlassian-util-concurrent,2.4.1,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/2.4.1/atlassian-util-concurrent-2.4.1.jar,10,0,0,0,0,0,0,2.4.2
100241,io.atlassian.util.concurrent.atlassian-util-concurrent,2.4.2,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/2.4.2/atlassian-util-concurrent-2.4.2.jar,10,0,0,0,0,0,0,2.5.0
100242,io.atlassian.util.concurrent.atlassian-util-concurrent,2.5.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/2.5.0/atlassian-util-concurrent-2.5.0.jar,10,0,0,0,0,0,0,2.6.0
100243,io.atlassian.util.concurrent.atlassian-util-concurrent,2.6.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/2.6.0/atlassian-util-concurrent-2.6.0.jar,10,0,0,0,0,0,0,2.6.1
100244,io.atlassian.util.concurrent.atlassian-util-concurrent,2.6.1,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/2.6.1/atlassian-util-concurrent-2.6.1.jar,10,0,0,0,0,0,0,2.6.2
100245,io.atlassian.util.concurrent.atlassian-util-concurrent,2.6.2,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/2.6.2/atlassian-util-concurrent-2.6.2.jar,10,0,0,0,0,0,0,2.6.3
100246,io.atlassian.util.concurrent.atlassian-util-concurrent,2.6.3,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/2.6.3/atlassian-util-concurrent-2.6.3.jar,10,0,0,0,0,0,0,3.0.0
100247,io.atlassian.util.concurrent.atlassian-util-concurrent,3.0.0,2017-10-31,https://maven.artifacts.atlassian.com/com/atlassian/util/concurrent/atlassian-util-concurrent/3.0.0/atlassian-util-concurrent-3.0.0.jar,10,0,0,0,0,0,0,4.0.0
81359,io.atlassian.util.concurrent.atlassian-util-concurrent,4.0.0,2015-09-21,https://repo1.maven.org/maven2/io/atlassian/util/concurrent/atlassian-util-concurrent/4.0.0/atlassian-util-concurrent-4.0.0.jar,10,0,0,0,0,10,10,4.0.1
81360,io.atlassian.util.concurrent.atlassian-util-concurrent,4.0.1,2016-05-11,https://repo1.maven.org/maven2/io/atlassian/util/concurrent/atlassian-util-concurrent/4.0.1/atlassian-util-concurrent-4.0.1.jar,: 10,0,0,0,0,0,0,
