,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
2268,io.circe.circe-core,0.1.0,2015-08-10,https://repo1.maven.org/maven2/io/circe/circe-core_2.11/0.1.0/circe-core_2.11-0.1.0.jar,,,,,,,,0.1.1
2269,io.circe.circe-core,0.1.1,2015-08-10,https://repo1.maven.org/maven2/io/circe/circe-core_2.11/0.1.1/circe-core_2.11-0.1.1.jar,,,,,,,,0.1.2
2255,io.circe.circe-core,0.1.2,2015-11-04,https://repo1.maven.org/maven2/io/circe/circe-core_2.11/0.1.2/circe-core_2.11-0.1.2.jar,,,,,,,,0.2.0
2270,io.circe.circe-core,0.2.0,2015-11-05,https://repo1.maven.org/maven2/io/circe/circe-core_2.11/0.2.0/circe-core_2.11-0.2.0.jar,,,,,,,,0.2.1
2254,io.circe.circe-core,0.2.1,2015-11-16,https://repo1.maven.org/maven2/io/circe/circe-core_2.11/0.2.1/circe-core_2.11-0.2.1.jar,,,,,,,,0.3.0
2253,io.circe.circe-core,0.3.0,2016-02-14,https://repo1.maven.org/maven2/io/circe/circe-core_2.11/0.3.0/circe-core_2.11-0.3.0.jar,,,,,,,,0.4.0
2238,io.circe.circe-core,0.4.0,2016-04-11,https://repo1.maven.org/maven2/io/circe/circe-core_2.11/0.4.0/circe-core_2.11-0.4.0.jar,,,,,,,,0.4.1
2239,io.circe.circe-core,0.4.1,2016-04-15,https://repo1.maven.org/maven2/io/circe/circe-core_2.11/0.4.1/circe-core_2.11-0.4.1.jar,,,,,,,,0.5.0
2240,io.circe.circe-core,0.5.0,2016-08-31,https://repo1.maven.org/maven2/io/circe/circe-core_2.11/0.5.0/circe-core_2.11-0.5.0.jar,,,,,,,,0.5.1
2241,io.circe.circe-core,0.5.1,2016-09-04,https://repo1.maven.org/maven2/io/circe/circe-core_2.11/0.5.1/circe-core_2.11-0.5.1.jar,,,,,,,,0.5.2
2242,io.circe.circe-core,0.5.2,2016-09-17,https://repo1.maven.org/maven2/io/circe/circe-core_2.11/0.5.2/circe-core_2.11-0.5.2.jar,,,,,,,,0.5.3
2243,io.circe.circe-core,0.5.3,2016-10-07,https://repo1.maven.org/maven2/io/circe/circe-core_2.11/0.5.3/circe-core_2.11-0.5.3.jar,,,,,,,,0.5.4
2244,io.circe.circe-core,0.5.4,2016-10-17,https://repo1.maven.org/maven2/io/circe/circe-core_2.11/0.5.4/circe-core_2.11-0.5.4.jar,,,,,,,,0.6.0
2245,io.circe.circe-core,0.6.0,2016-11-10,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.6.0/circe-core_2.12-0.6.0.jar,,,,,,,,0.6.1
2246,io.circe.circe-core,0.6.1,2016-11-20,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.6.1/circe-core_2.12-0.6.1.jar,,,,,,,,0.7.0
2247,io.circe.circe-core,0.7.0,2017-01-17,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.7.0/circe-core_2.12-0.7.0.jar,,,,,,,,0.7.1
2248,io.circe.circe-core,0.7.1,2017-04-04,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.7.1/circe-core_2.12-0.7.1.jar,,,,,,,,0.8.0
2249,io.circe.circe-core,0.8.0,2017-05-09,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.8.0/circe-core_2.12-0.8.0.jar,,,,,,,,0.9.0
2250,io.circe.circe-core,0.9.0,2018-01-01,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.9.0/circe-core_2.12-0.9.0.jar,284,,,,,,,0.9.1
2251,io.circe.circe-core,0.9.1,2018-01-19,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.9.1/circe-core_2.12-0.9.1.jar,284,0,0,0,0,0,0,0.9.2
2252,io.circe.circe-core,0.9.2,2018-03-13,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.9.2/circe-core_2.12-0.9.2.jar,284,0,0,0,0,0,0,0.9.3
2200,io.circe.circe-core,0.9.3,2018-03-28,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.9.3/circe-core_2.12-0.9.3.jar,284,0,0,0,0,0,0,0.10.0
2154,io.circe.circe-core,0.10.0,2018-09-24,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.10.0/circe-core_2.12-0.10.0.jar,327,0,0,1,1,46,3,0.10.1
2143,io.circe.circe-core,0.10.1,2018-10-30,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.10.1/circe-core_2.12-0.10.1.jar,327,0,0,0,0,0,0,0.11.0
2144,io.circe.circe-core,0.11.0,2018-12-18,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.11.0/circe-core_2.12-0.11.0.jar,329,0,0,5,4,10,9,0.11.1
2145,io.circe.circe-core,0.11.1,2019-01-15,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.11.1/circe-core_2.12-0.11.1.jar,329,0,0,0,0,0,0,0.11.2
2146,io.circe.circe-core,0.11.2,2019-11-15,https://repo1.maven.org/maven2/io/circe/circe-core_2.12/0.11.2/circe-core_2.12-0.11.2.jar,329,0,0,0,0,0,0,0.12.0
2147,io.circe.circe-core,0.12.0,2019-09-10,https://repo1.maven.org/maven2/io/circe/circe-core_2.13/0.12.0/circe-core_2.13-0.12.0.jar,413,43,1,1,0,201,71,0.12.1
2148,io.circe.circe-core,0.12.1,2019-09-10,https://repo1.maven.org/maven2/io/circe/circe-core_2.13/0.12.1/circe-core_2.13-0.12.1.jar,413,0,0,0,0,0,0,0.12.2
2149,io.circe.circe-core,0.12.2,2019-10-07,https://repo1.maven.org/maven2/io/circe/circe-core_2.13/0.12.2/circe-core_2.13-0.12.2.jar,414,0,0,1,0,2,2,0.12.3
2150,io.circe.circe-core,0.12.3,2019-10-22,https://repo1.maven.org/maven2/io/circe/circe-core_2.13/0.12.3/circe-core_2.13-0.12.3.jar,414,0,0,0,0,0,0,0.13.0
2151,io.circe.circe-core,0.13.0,2020-02-08,https://repo1.maven.org/maven2/io/circe/circe-core_2.13/0.13.0/circe-core_2.13-0.13.0.jar,416,0,0,0,2,17,13,0.14.0
2152,io.circe.circe-core,0.14.0,2021-05-26,https://repo1.maven.org/maven2/io/circe/circe-core_3/0.14.0/circe-core_3-0.14.0.jar,420,7,0,5,8,47,30,0.14.1
2142,io.circe.circe-core,0.14.1,2021-05-26,https://repo1.maven.org/maven2/io/circe/circe-core_3/0.14.1/circe-core_3-0.14.1.jar,420,0,0,0,0,0,0,0.14.2
2153,io.circe.circe-core,0.14.2,2022-05-20,https://repo1.maven.org/maven2/io/circe/circe-core_3/0.14.2/circe-core_3-0.14.2.jar,431,0,0,6,6,12,0,0.14.3
2141,io.circe.circe-core,0.14.3,2022-09-15,https://repo1.maven.org/maven2/io/circe/circe-core_3/0.14.3/circe-core_3-0.14.3.jar,440,0,0,0,0,43,34,0.14.4
2140,io.circe.circe-core,0.14.4,2023-02-09,https://repo1.maven.org/maven2/io/circe/circe-core_3/0.14.4/circe-core_3-0.14.4.jar,456,0,0,0,2,24,0,0.14.5
2134,io.circe.circe-core,0.14.5,2023-03-03,https://repo1.maven.org/maven2/io/circe/circe-core_3/0.14.5/circe-core_3-0.14.5.jar,458,0,0,2,0,0,0,0.14.6
2135,io.circe.circe-core,0.14.6,2023-08-31,https://repo1.maven.org/maven2/io/circe/circe-core_3/0.14.6/circe-core_3-0.14.6.jar,458,0,0,0,0,0,0,0.14.7
2136,io.circe.circe-core,0.14.7,2024-04-26,https://repo1.maven.org/maven2/io/circe/circe-core_3/0.14.7/circe-core_3-0.14.7.jar,537,0,0,4,4,320,6,0.14.8
2137,io.circe.circe-core,0.14.8,2024-06-17,https://repo1.maven.org/maven2/io/circe/circe-core_3/0.14.8/circe-core_3-0.14.8.jar,538,0,0,1,1,1,0,0.14.9
2138,io.circe.circe-core,0.14.9,2024-07-01,https://repo1.maven.org/maven2/io/circe/circe-core_3/0.14.9/circe-core_3-0.14.9.jar,542,0,0,4,6,12,6,0.14.10
2139,io.circe.circe-core,0.14.10,2024-09-06,https://repo1.maven.org/maven2/io/circe/circe-core_3/0.14.10/circe-core_3-0.14.10.jar,: 551,0,0,0,0,42,0,
