,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
3817,io.dropwizard.dropwizard-client,0.7.0,2014-04-04,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/0.7.0/dropwizard-client-0.7.0.jar,,,,,,,,0.7.1
3792,io.dropwizard.dropwizard-client,0.7.1,2014-06-18,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/0.7.1/dropwizard-client-0.7.1.jar,,,,,,,,0.8.0
3820,io.dropwizard.dropwizard-client,0.8.0,2015-03-05,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/0.8.0/dropwizard-client-0.8.0.jar,,,,,,,,0.8.1
3821,io.dropwizard.dropwizard-client,0.8.1,2015-04-07,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/0.8.1/dropwizard-client-0.8.1.jar,,,,,,,,0.8.2
3822,io.dropwizard.dropwizard-client,0.8.2,2015-07-06,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/0.8.2/dropwizard-client-0.8.2.jar,,,,,,,,0.8.3
3823,io.dropwizard.dropwizard-client,0.8.3,2015-08-24,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/0.8.3/dropwizard-client-0.8.3.jar,,,,,,,,0.8.4
3824,io.dropwizard.dropwizard-client,0.8.4,2015-08-26,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/0.8.4/dropwizard-client-0.8.4.jar,,,,,,,,0.8.5
3825,io.dropwizard.dropwizard-client,0.8.5,2015-11-03,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/0.8.5/dropwizard-client-0.8.5.jar,,,,,,,,0.9.0
3826,io.dropwizard.dropwizard-client,0.9.0,2015-10-28,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/0.9.0/dropwizard-client-0.9.0.jar,,,,,,,,0.9.1
3827,io.dropwizard.dropwizard-client,0.9.1,2015-11-03,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/0.9.1/dropwizard-client-0.9.1.jar,,,,,,,,0.9.2
3828,io.dropwizard.dropwizard-client,0.9.2,2016-01-20,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/0.9.2/dropwizard-client-0.9.2.jar,,,,,,,,0.9.3
3829,io.dropwizard.dropwizard-client,0.9.3,2016-06-20,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/0.9.3/dropwizard-client-0.9.3.jar,,,,,,,,1.0.0
3830,io.dropwizard.dropwizard-client,1.0.0,2016-07-26,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.0.0/dropwizard-client-1.0.0.jar,,,,,,,,1.0.1
3831,io.dropwizard.dropwizard-client,1.0.1,2016-09-21,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.0.1/dropwizard-client-1.0.1.jar,,,,,,,,1.0.2
3832,io.dropwizard.dropwizard-client,1.0.2,2016-09-23,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.0.2/dropwizard-client-1.0.2.jar,,,,,,,,1.0.3
3833,io.dropwizard.dropwizard-client,1.0.3,2016-10-28,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.0.3/dropwizard-client-1.0.3.jar,,,,,,,,1.0.4
3834,io.dropwizard.dropwizard-client,1.0.4,2016-11-14,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.0.4/dropwizard-client-1.0.4.jar,,,,,,,,1.0.5
3835,io.dropwizard.dropwizard-client,1.0.5,2016-11-18,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.0.5/dropwizard-client-1.0.5.jar,,,,,,,,1.0.6
3836,io.dropwizard.dropwizard-client,1.0.6,2017-01-30,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.0.6/dropwizard-client-1.0.6.jar,,,,,,,,1.0.7
3837,io.dropwizard.dropwizard-client,1.0.7,2017-03-20,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.0.7/dropwizard-client-1.0.7.jar,,,,,,,,1.0.8
3838,io.dropwizard.dropwizard-client,1.0.8,2017-06-27,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.0.8/dropwizard-client-1.0.8.jar,,,,,,,,1.0.9
3839,io.dropwizard.dropwizard-client,1.0.9,2017-07-31,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.0.9/dropwizard-client-1.0.9.jar,,,,,,,,1.1.0
3840,io.dropwizard.dropwizard-client,1.1.0,2017-03-21,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.1.0/dropwizard-client-1.1.0.jar,,,,,,,,1.1.1
3841,io.dropwizard.dropwizard-client,1.1.1,2017-05-19,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.1.1/dropwizard-client-1.1.1.jar,,,,,,,,1.1.2
3842,io.dropwizard.dropwizard-client,1.1.2,2017-06-27,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.1.2/dropwizard-client-1.1.2.jar,,,,,,,,1.1.3
3819,io.dropwizard.dropwizard-client,1.1.3,2017-07-31,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.1.3/dropwizard-client-1.1.3.jar,,,,,,,,1.1.4
3843,io.dropwizard.dropwizard-client,1.1.4,2017-08-24,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.1.4/dropwizard-client-1.1.4.jar,,,,,,,,1.1.5
3818,io.dropwizard.dropwizard-client,1.1.5,2017-10-17,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.1.5/dropwizard-client-1.1.5.jar,,,,,,,,1.1.6
3816,io.dropwizard.dropwizard-client,1.1.6,2017-11-02,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.1.6/dropwizard-client-1.1.6.jar,,,,,,,,1.1.7
3793,io.dropwizard.dropwizard-client,1.1.7,2018-02-11,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.1.7/dropwizard-client-1.1.7.jar,,,,,,,,1.1.8
3794,io.dropwizard.dropwizard-client,1.1.8,2018-06-24,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.1.8/dropwizard-client-1.1.8.jar,,,,,,,,1.2.0
3795,io.dropwizard.dropwizard-client,1.2.0,2017-10-06,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.2.0/dropwizard-client-1.2.0.jar,,,,,,,,1.2.1
3796,io.dropwizard.dropwizard-client,1.2.1,2017-11-22,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.2.1/dropwizard-client-1.2.1.jar,,,,,,,,1.2.2
3797,io.dropwizard.dropwizard-client,1.2.2,2017-11-27,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.2.2/dropwizard-client-1.2.2.jar,,,,,,,,1.2.3
3798,io.dropwizard.dropwizard-client,1.2.3,2018-01-22,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.2.3/dropwizard-client-1.2.3.jar,,,,,,,,1.2.4
3799,io.dropwizard.dropwizard-client,1.2.4,2018-02-11,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.2.4/dropwizard-client-1.2.4.jar,,,,,,,,1.2.5
3800,io.dropwizard.dropwizard-client,1.2.5,2018-04-04,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.2.5/dropwizard-client-1.2.5.jar,,,,,,,,1.2.6
3801,io.dropwizard.dropwizard-client,1.2.6,2018-05-06,https://repo1.maven.org/maven2/io/dropwizard/dropwizard-client/1.2.6/dropwizard-client-1.2.6.jar,,,,,,,,1.2.7
