,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
102958,io.github.oshai.kotlin-logging,1.3.2,2016-08-30,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.3.2/kotlin-logging-1.3.2.jar,,,,,,,,1.3.3
102957,io.github.oshai.kotlin-logging,1.3.3,2016-09-22,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.3.3/kotlin-logging-1.3.3.jar,,,,,,,,1.4
102956,io.github.oshai.kotlin-logging,1.4,2016-10-19,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.4/kotlin-logging-1.4.jar,,,,,,,,1.4.1
102955,io.github.oshai.kotlin-logging,1.4.1,2017-01-10,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.4.1/kotlin-logging-1.4.1.jar,,,,,,,,1.4.2
102954,io.github.oshai.kotlin-logging,1.4.2,2017-02-11,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.4.2/kotlin-logging-1.4.2.jar,,,,,,,,1.4.3
102953,io.github.oshai.kotlin-logging,1.4.3,2017-03-01,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.4.3/kotlin-logging-1.4.3.jar,,,,,,,,1.4.4
102952,io.github.oshai.kotlin-logging,1.4.4,2017-03-22,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.4.4/kotlin-logging-1.4.4.jar,,,,,,,,1.4.5
102951,io.github.oshai.kotlin-logging,1.4.5,2017-06-20,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.4.5/kotlin-logging-1.4.5.jar,,,,,,,,1.4.6
102950,io.github.oshai.kotlin-logging,1.4.6,2017-07-15,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.4.6/kotlin-logging-1.4.6.jar,,,,,,,,1.4.7
102949,io.github.oshai.kotlin-logging,1.4.7,2017-12-07,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.4.7/kotlin-logging-1.4.7.jar,,,,,,,,1.4.8
102948,io.github.oshai.kotlin-logging,1.4.8,2017-12-12,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.4.8/kotlin-logging-1.4.8.jar,,,,,,,,1.4.9
102947,io.github.oshai.kotlin-logging,1.4.9,2017-12-30,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.4.9/kotlin-logging-1.4.9.jar,,,,,,,,1.5.3
102946,io.github.oshai.kotlin-logging,1.5.3,2018-01-18,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.5.3/kotlin-logging-1.5.3.jar,,,,,,,,1.5.4
102945,io.github.oshai.kotlin-logging,1.5.4,2018-03-16,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.5.4/kotlin-logging-1.5.4.jar,,,,,,,,1.5.5
102959,io.github.oshai.kotlin-logging,1.5.5,2018-07-28,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.5.5/kotlin-logging-1.5.5.jar,,,,,,,,1.5.6
102961,io.github.oshai.kotlin-logging,1.5.6,2018-07-29,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.5.6/kotlin-logging-1.5.6.jar,,,,,,,,1.5.7
102977,io.github.oshai.kotlin-logging,1.5.7,2018-07-31,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.5.7/kotlin-logging-1.5.7.jar,,,,,,,,1.5.8
102962,io.github.oshai.kotlin-logging,1.5.8,2018-07-31,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.5.8/kotlin-logging-1.5.8.jar,,,,,,,,1.5.9
102976,io.github.oshai.kotlin-logging,1.5.9,2018-08-07,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.5.9/kotlin-logging-1.5.9.jar,,,,,,,,1.6.0
102975,io.github.oshai.kotlin-logging,1.6.0,2018-09-02,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.6.0/kotlin-logging-1.6.0.jar,,,,,,,,1.6.10
102974,io.github.oshai.kotlin-logging,1.6.10,2018-09-02,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.6.10/kotlin-logging-1.6.10.jar,,,,,,,,1.6.20
102973,io.github.oshai.kotlin-logging,1.6.20,2018-11-06,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.6.20/kotlin-logging-1.6.20.jar,,,,,,,,1.6.22
102972,io.github.oshai.kotlin-logging,1.6.22,2018-11-24,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.6.22/kotlin-logging-1.6.22.jar,,,,,,,,1.6.23
102971,io.github.oshai.kotlin-logging,1.6.23,2019-02-03,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.6.23/kotlin-logging-1.6.23.jar,,,,,,,,1.6.24
102970,io.github.oshai.kotlin-logging,1.6.24,2019-02-14,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.6.24/kotlin-logging-1.6.24.jar,,,,,,,,1.6.25
102969,io.github.oshai.kotlin-logging,1.6.25,2019-02-17,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.6.25/kotlin-logging-1.6.25.jar,,,,,,,,1.6.26
102968,io.github.oshai.kotlin-logging,1.6.26,2019-04-02,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.6.26/kotlin-logging-1.6.26.jar,,,,,,,,1.7.1
102967,io.github.oshai.kotlin-logging,1.7.1,2019-07-24,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.7.1/kotlin-logging-1.7.1.jar,,,,,,,,1.7.2
102966,io.github.oshai.kotlin-logging,1.7.2,2019-07-26,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.7.2/kotlin-logging-1.7.2.jar,,,,,,,,1.7.3
102965,io.github.oshai.kotlin-logging,1.7.3,2019-08-07,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.7.3/kotlin-logging-1.7.3.jar,,,,,,,,1.7.4
102964,io.github.oshai.kotlin-logging,1.7.4,2019-08-08,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.7.4/kotlin-logging-1.7.4.jar,,,,,,,,1.7.5
102963,io.github.oshai.kotlin-logging,1.7.5,2019-08-15,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.7.5/kotlin-logging-1.7.5.jar,,,,,,,,1.7.6
102944,io.github.oshai.kotlin-logging,1.7.6,2019-08-19,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.7.6/kotlin-logging-1.7.6.jar,,,,,,,,1.7.7
102943,io.github.oshai.kotlin-logging,1.7.7,2019-11-15,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.7.7/kotlin-logging-1.7.7.jar,,,,,,,,1.7.8
102942,io.github.oshai.kotlin-logging,1.7.8,2019-11-17,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.7.8/kotlin-logging-1.7.8.jar,,,,,,,,1.7.9
102941,io.github.oshai.kotlin-logging,1.7.9,2020-03-19,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.7.9/kotlin-logging-1.7.9.jar,,,,,,,,1.7.10
102921,io.github.oshai.kotlin-logging,1.7.10,2020-06-10,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.7.10/kotlin-logging-1.7.10.jar,,,,,,,,1.8.0.1
102920,io.github.oshai.kotlin-logging,1.8.0.1,2020-06-24,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.8.0.1/kotlin-logging-1.8.0.1.jar,,,,,,,,1.8.3
102919,io.github.oshai.kotlin-logging,1.8.3,2020-07-14,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.8.3/kotlin-logging-1.8.3.jar,,,,,,,,1.10.0
102918,io.github.oshai.kotlin-logging,1.10.0,2020-09-13,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.10.0/kotlin-logging-1.10.0.jar,,,,,,,,1.10.1
102917,io.github.oshai.kotlin-logging,1.10.1,2020-09-11,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.10.1/kotlin-logging-1.10.1.jar,,,,,,,,1.10.2
102916,io.github.oshai.kotlin-logging,1.10.2,2020-09-11,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.10.2/kotlin-logging-1.10.2.jar,,,,,,,,1.10.3
102922,io.github.oshai.kotlin-logging,1.10.3,2020-09-11,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.10.3/kotlin-logging-1.10.3.jar,,,,,,,,1.10.4
102915,io.github.oshai.kotlin-logging,1.10.4,2020-09-13,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.10.4/kotlin-logging-1.10.4.jar,,,,,,,,1.10.6
102913,io.github.oshai.kotlin-logging,1.10.6,2020-09-11,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.10.6/kotlin-logging-1.10.6.jar,,,,,,,,1.10.7
102912,io.github.oshai.kotlin-logging,1.10.7,2020-09-11,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.10.7/kotlin-logging-1.10.7.jar,,,,,,,,1.10.11
102911,io.github.oshai.kotlin-logging,1.10.11,2020-09-12,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.10.11/kotlin-logging-1.10.11.jar,,,,,,,,1.11.0
102910,io.github.oshai.kotlin-logging,1.11.0,2020-09-12,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.11.0/kotlin-logging-1.11.0.jar,,,,,,,,1.11.1
102909,io.github.oshai.kotlin-logging,1.11.1,2020-09-13,https://repo1.maven.org/maven2/io/github/microutils/kotlin-logging/1.11.1/kotlin-logging-1.11.1.jar,,,,,,,,1.11.2
