,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
45609,io.grpc.grpc-protobuf,0.7.0,2015-05-26,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/0.7.0/grpc-protobuf-0.7.0.jar,,,,,,,,0.7.1
45585,io.grpc.grpc-protobuf,0.7.1,2015-06-05,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/0.7.1/grpc-protobuf-0.7.1.jar,,,,,,,,0.7.2
45583,io.grpc.grpc-protobuf,0.7.2,2015-07-13,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/0.7.2/grpc-protobuf-0.7.2.jar,,,,,,,,0.8.0
45562,io.grpc.grpc-protobuf,0.8.0,2015-08-13,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/0.8.0/grpc-protobuf-0.8.0.jar,,,,,,,,0.9.0
45563,io.grpc.grpc-protobuf,0.9.0,2015-09-17,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/0.9.0/grpc-protobuf-0.9.0.jar,,,,,,,,0.9.1
45564,io.grpc.grpc-protobuf,0.9.1,2016-01-22,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/0.9.1/grpc-protobuf-0.9.1.jar,,,,,,,,0.12.0
45565,io.grpc.grpc-protobuf,0.12.0,2016-01-23,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/0.12.0/grpc-protobuf-0.12.0.jar,,,,,,,,0.13.0
45566,io.grpc.grpc-protobuf,0.13.0,2016-02-17,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/0.13.0/grpc-protobuf-0.13.0.jar,,,,,,,,0.13.1
45567,io.grpc.grpc-protobuf,0.13.1,2016-02-23,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/0.13.1/grpc-protobuf-0.13.1.jar,,,,,,,,0.13.2
45568,io.grpc.grpc-protobuf,0.13.2,2016-03-10,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/0.13.2/grpc-protobuf-0.13.2.jar,,,,,,,,0.14.0
45569,io.grpc.grpc-protobuf,0.14.0,2016-05-02,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/0.14.0/grpc-protobuf-0.14.0.jar,,,,,,,,0.14.1
45570,io.grpc.grpc-protobuf,0.14.1,2016-06-16,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/0.14.1/grpc-protobuf-0.14.1.jar,,,,,,,,0.15.0
45571,io.grpc.grpc-protobuf,0.15.0,2016-07-07,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/0.15.0/grpc-protobuf-0.15.0.jar,,,,,,,,1.0.0
45572,io.grpc.grpc-protobuf,1.0.0,2016-08-18,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/1.0.0/grpc-protobuf-1.0.0.jar,,,,,,,,1.0.1
45573,io.grpc.grpc-protobuf,1.0.1,2016-09-14,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/1.0.1/grpc-protobuf-1.0.1.jar,,,,,,,,1.0.2
45574,io.grpc.grpc-protobuf,1.0.2,2016-11-28,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/1.0.2/grpc-protobuf-1.0.2.jar,,,,,,,,1.0.3
45575,io.grpc.grpc-protobuf,1.0.3,2016-12-22,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/1.0.3/grpc-protobuf-1.0.3.jar,,,,,,,,1.1.1
45576,io.grpc.grpc-protobuf,1.1.1,2017-01-31,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/1.1.1/grpc-protobuf-1.1.1.jar,,,,,,,,1.1.2
45577,io.grpc.grpc-protobuf,1.1.2,2017-02-07,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/1.1.2/grpc-protobuf-1.1.2.jar,,,,,,,,1.2.0
45578,io.grpc.grpc-protobuf,1.2.0,2017-03-15,https://repo1.maven.org/maven2/io/grpc/grpc-protobuf/1.2.0/grpc-protobuf-1.2.0.jar,,,,,,,,1.3.0
