,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
13300,io.grpc.grpc-stub,0.7.0,2015-05-26,https://repo1.maven.org/maven2/io/grpc/grpc-stub/0.7.0/grpc-stub-0.7.0.jar,,,,,,,,0.7.1
13301,io.grpc.grpc-stub,0.7.1,2015-06-05,https://repo1.maven.org/maven2/io/grpc/grpc-stub/0.7.1/grpc-stub-0.7.1.jar,,,,,,,,0.7.2
13302,io.grpc.grpc-stub,0.7.2,2015-07-13,https://repo1.maven.org/maven2/io/grpc/grpc-stub/0.7.2/grpc-stub-0.7.2.jar,,,,,,,,0.8.0
13303,io.grpc.grpc-stub,0.8.0,2015-08-13,https://repo1.maven.org/maven2/io/grpc/grpc-stub/0.8.0/grpc-stub-0.8.0.jar,,,,,,,,0.9.0
13304,io.grpc.grpc-stub,0.9.0,2015-09-17,https://repo1.maven.org/maven2/io/grpc/grpc-stub/0.9.0/grpc-stub-0.9.0.jar,,,,,,,,0.9.1
13305,io.grpc.grpc-stub,0.9.1,2016-01-22,https://repo1.maven.org/maven2/io/grpc/grpc-stub/0.9.1/grpc-stub-0.9.1.jar,,,,,,,,0.12.0
13306,io.grpc.grpc-stub,0.12.0,2016-01-23,https://repo1.maven.org/maven2/io/grpc/grpc-stub/0.12.0/grpc-stub-0.12.0.jar,,,,,,,,0.13.0
13307,io.grpc.grpc-stub,0.13.0,2016-02-17,https://repo1.maven.org/maven2/io/grpc/grpc-stub/0.13.0/grpc-stub-0.13.0.jar,,,,,,,,0.13.1
13309,io.grpc.grpc-stub,0.13.1,2016-02-23,https://repo1.maven.org/maven2/io/grpc/grpc-stub/0.13.1/grpc-stub-0.13.1.jar,,,,,,,,0.13.2
13337,io.grpc.grpc-stub,0.13.2,2016-03-10,https://repo1.maven.org/maven2/io/grpc/grpc-stub/0.13.2/grpc-stub-0.13.2.jar,,,,,,,,0.14.0
13363,io.grpc.grpc-stub,0.14.0,2016-05-02,https://repo1.maven.org/maven2/io/grpc/grpc-stub/0.14.0/grpc-stub-0.14.0.jar,,,,,,,,0.14.1
13338,io.grpc.grpc-stub,0.14.1,2016-06-16,https://repo1.maven.org/maven2/io/grpc/grpc-stub/0.14.1/grpc-stub-0.14.1.jar,,,,,,,,0.15.0
