,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
90819,io.jooby.jooby,0.1.0,2014-11-10,https://repo1.maven.org/maven2/org/jooby/jooby/0.1.0/jooby-0.1.0.jar,3,,,,,,,0.2.0
90820,io.jooby.jooby,0.2.0,2014-11-25,https://repo1.maven.org/maven2/org/jooby/jooby/0.2.0/jooby-0.2.0.jar,3,0,0,0,0,0,0,0.2.1
90821,io.jooby.jooby,0.2.1,2014-11-28,https://repo1.maven.org/maven2/org/jooby/jooby/0.2.1/jooby-0.2.1.jar,3,0,0,0,0,0,0,0.3.0
90822,io.jooby.jooby,0.3.0,2014-12-17,https://repo1.maven.org/maven2/org/jooby/jooby/0.3.0/jooby-0.3.0.jar,,0,0,0,0,0,0,0.4.0
90830,io.jooby.jooby,0.4.0,2015-01-14,https://repo1.maven.org/maven2/org/jooby/jooby/0.4.0/jooby-0.4.0.jar,,,,,,,,0.4.1
90823,io.jooby.jooby,0.4.1,2015-01-14,https://repo1.maven.org/maven2/org/jooby/jooby/0.4.1/jooby-0.4.1.jar,,,,,,,,0.4.2
90824,io.jooby.jooby,0.4.2,2015-01-19,https://repo1.maven.org/maven2/org/jooby/jooby/0.4.2/jooby-0.4.2.jar,,,,,,,,0.4.2.1
90825,io.jooby.jooby,0.4.2.1,2015-01-20,https://repo1.maven.org/maven2/org/jooby/jooby/0.4.2.1/jooby-0.4.2.1.jar,,,,,,,,0.5.0
90826,io.jooby.jooby,0.5.0,2015-04-06,https://repo1.maven.org/maven2/org/jooby/jooby/0.5.0/jooby-0.5.0.jar,,,,,,,,0.5.1
90827,io.jooby.jooby,0.5.1,2015-04-16,https://repo1.maven.org/maven2/org/jooby/jooby/0.5.1/jooby-0.5.1.jar,,,,,,,,0.5.2
90828,io.jooby.jooby,0.5.2,2015-04-23,https://repo1.maven.org/maven2/org/jooby/jooby/0.5.2/jooby-0.5.2.jar,,,,,,,,0.5.3
90829,io.jooby.jooby,0.5.3,2015-04-27,https://repo1.maven.org/maven2/org/jooby/jooby/0.5.3/jooby-0.5.3.jar,,,,,,,,0.6.0
90818,io.jooby.jooby,0.6.0,2015-06-12,https://repo1.maven.org/maven2/org/jooby/jooby/0.6.0/jooby-0.6.0.jar,,,,,,,,0.6.1
90817,io.jooby.jooby,0.6.1,2015-06-16,https://repo1.maven.org/maven2/org/jooby/jooby/0.6.1/jooby-0.6.1.jar,,,,,,,,0.6.2
90816,io.jooby.jooby,0.6.2,2015-06-19,https://repo1.maven.org/maven2/org/jooby/jooby/0.6.2/jooby-0.6.2.jar,,,,,,,,0.6.3
90815,io.jooby.jooby,0.6.3,2015-06-21,https://repo1.maven.org/maven2/org/jooby/jooby/0.6.3/jooby-0.6.3.jar,,,,,,,,0.6.4
90800,io.jooby.jooby,0.6.4,2015-06-22,https://repo1.maven.org/maven2/org/jooby/jooby/0.6.4/jooby-0.6.4.jar,,,,,,,,0.7.0
90801,io.jooby.jooby,0.7.0,2015-06-30,https://repo1.maven.org/maven2/org/jooby/jooby/0.7.0/jooby-0.7.0.jar,,,,,,,,0.8.0
90802,io.jooby.jooby,0.8.0,2015-07-13,https://repo1.maven.org/maven2/org/jooby/jooby/0.8.0/jooby-0.8.0.jar,,,,,,,,0.8.1
90803,io.jooby.jooby,0.8.1,2015-07-14,https://repo1.maven.org/maven2/org/jooby/jooby/0.8.1/jooby-0.8.1.jar,,,,,,,,0.8.2
90804,io.jooby.jooby,0.8.2,2015-07-15,https://repo1.maven.org/maven2/org/jooby/jooby/0.8.2/jooby-0.8.2.jar,,,,,,,,0.9.0
90805,io.jooby.jooby,0.9.0,2015-07-26,https://repo1.maven.org/maven2/org/jooby/jooby/0.9.0/jooby-0.9.0.jar,,,,,,,,0.9.1
