,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
104140,io.jsonwebtoken.jjwt-api,0.1,2014-09-20,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt/0.1/jjwt-0.1.jar,,,,,,,,0.2
104139,io.jsonwebtoken.jjwt-api,0.2,2014-09-27,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt/0.2/jjwt-0.2.jar,,,,,,,,0.3
104138,io.jsonwebtoken.jjwt-api,0.3,2014-10-29,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt/0.3/jjwt-0.3.jar,,,,,,,,0.4
104137,io.jsonwebtoken.jjwt-api,0.4,2014-11-20,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt/0.4/jjwt-0.4.jar,,,,,,,,0.5
104136,io.jsonwebtoken.jjwt-api,0.5,2015-05-13,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt/0.5/jjwt-0.5.jar,,,,,,,,0.5.1
104135,io.jsonwebtoken.jjwt-api,0.5.1,2015-06-26,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt/0.5.1/jjwt-0.5.1.jar,,,,,,,,0.6.0
104134,io.jsonwebtoken.jjwt-api,0.6.0,2015-10-14,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt/0.6.0/jjwt-0.6.0.jar,,,,,,,,0.7.0
104133,io.jsonwebtoken.jjwt-api,0.7.0,2016-09-12,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt/0.7.0/jjwt-0.7.0.jar,,,,,,,,0.8.0
104132,io.jsonwebtoken.jjwt-api,0.8.0,2017-09-26,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt/0.8.0/jjwt-0.8.0.jar,,,,,,,,0.9.0
104117,io.jsonwebtoken.jjwt-api,0.9.0,2017-10-10,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt/0.9.0/jjwt-0.9.0.jar,,,,,,,,0.9.1
104145,io.jsonwebtoken.jjwt-api,0.9.1,2018-07-05,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt/0.9.1/jjwt-0.9.1.jar,,,,,,,,0.10.0
11282,io.jsonwebtoken.jjwt-api,0.10.0,2018-08-01,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.10.0/jjwt-api-0.10.0.jar,,,,,,,,0.10.1
11283,io.jsonwebtoken.jjwt-api,0.10.1,2018-08-02,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.10.1/jjwt-api-0.10.1.jar,,,,,,,,0.10.2
11284,io.jsonwebtoken.jjwt-api,0.10.2,2018-08-07,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.10.2/jjwt-api-0.10.2.jar,,,,,,,,0.10.3
11285,io.jsonwebtoken.jjwt-api,0.10.3,2018-08-14,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.10.3/jjwt-api-0.10.3.jar,,,,,,,,0.10.4
11286,io.jsonwebtoken.jjwt-api,0.10.4,2018-08-14,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.10.4/jjwt-api-0.10.4.jar,,,,,,,,0.10.5
11287,io.jsonwebtoken.jjwt-api,0.10.5,2018-08-15,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.10.5/jjwt-api-0.10.5.jar,,,,,,,,0.10.6
11288,io.jsonwebtoken.jjwt-api,0.10.6,2019-02-26,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.10.6/jjwt-api-0.10.6.jar,,,,,,,,0.10.7
11289,io.jsonwebtoken.jjwt-api,0.10.7,2019-07-12,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.10.7/jjwt-api-0.10.7.jar,,,,,,,,0.10.8
11290,io.jsonwebtoken.jjwt-api,0.10.8,2020-02-05,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.10.8/jjwt-api-0.10.8.jar,,,,,,,,0.11.0
11291,io.jsonwebtoken.jjwt-api,0.11.0,2020-02-05,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.11.0/jjwt-api-0.11.0.jar,,,,,,,,0.11.1
11292,io.jsonwebtoken.jjwt-api,0.11.1,2020-03-12,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.11.1/jjwt-api-0.11.1.jar,,,,,,,,0.11.2
11270,io.jsonwebtoken.jjwt-api,0.11.2,2020-06-11,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.11.2/jjwt-api-0.11.2.jar,,,,,,,,0.11.3
11293,io.jsonwebtoken.jjwt-api,0.11.3,2022-04-22,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.11.3/jjwt-api-0.11.3.jar,,,,,,,,0.11.4
11269,io.jsonwebtoken.jjwt-api,0.11.4,2022-04-26,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.11.4/jjwt-api-0.11.4.jar,,,,,,,,0.11.5
11267,io.jsonwebtoken.jjwt-api,0.11.5,2022-04-28,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.11.5/jjwt-api-0.11.5.jar,,,,,,,,0.12.0
11245,io.jsonwebtoken.jjwt-api,0.12.0,2023-10-03,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.12.0/jjwt-api-0.12.0.jar,,,,,,,,0.12.1
11246,io.jsonwebtoken.jjwt-api,0.12.1,2023-10-05,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.12.1/jjwt-api-0.12.1.jar,,,,,,,,0.12.2
11247,io.jsonwebtoken.jjwt-api,0.12.2,2023-10-06,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.12.2/jjwt-api-0.12.2.jar,,,,,,,,0.12.3
11248,io.jsonwebtoken.jjwt-api,0.12.3,2023-10-15,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.12.3/jjwt-api-0.12.3.jar,,,,,,,,0.12.4
11249,io.jsonwebtoken.jjwt-api,0.12.4,2024-01-29,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.12.4/jjwt-api-0.12.4.jar,,,,,,,,0.12.5
11250,io.jsonwebtoken.jjwt-api,0.12.5,2024-02-01,https://repo1.maven.org/maven2/io/jsonwebtoken/jjwt-api/0.12.5/jjwt-api-0.12.5.jar,,,,,,,,0.12.6
