,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
35184,io.ktor.ktor-client-core,1.0.0,2018-11-19,https://repo1.maven.org/maven2/io/ktor/ktor-client-core/1.0.0/ktor-client-core-1.0.0.jar,,,,,,,,
35185,io.ktor.ktor-client-core,1.0.1,2018-12-04,https://repo1.maven.org/maven2/io/ktor/ktor-client-core/1.0.1/ktor-client-core-1.0.1.jar,,,,,,,,
35186,io.ktor.ktor-client-core,1.1.0,2018-12-24,https://repo1.maven.org/maven2/io/ktor/ktor-client-core/1.1.0/ktor-client-core-1.1.0.jar,,,,,,,,
35214,io.ktor.ktor-client-core,1.1.1,2018-12-26,https://repo1.maven.org/maven2/io/ktor/ktor-client-core/1.1.1/ktor-client-core-1.1.1.jar,,,,,,,,
35215,io.ktor.ktor-client-core,1.1.2,2019-01-24,https://repo1.maven.org/maven2/io/ktor/ktor-client-core/1.1.2/ktor-client-core-1.1.2.jar,,,,,,,,
35216,io.ktor.ktor-client-core,1.1.3,2019-02-21,https://repo1.maven.org/maven2/io/ktor/ktor-client-core/1.1.3/ktor-client-core-1.1.3.jar,,,,,,,,
35217,io.ktor.ktor-client-core,1.1.4,2019-04-15,https://repo1.maven.org/maven2/io/ktor/ktor-client-core/1.1.4/ktor-client-core-1.1.4.jar,,,,,,,,
35218,io.ktor.ktor-client-core,1.1.5,2019-04-24,https://repo1.maven.org/maven2/io/ktor/ktor-client-core/1.1.5/ktor-client-core-1.1.5.jar,,,,,,,,
35219,io.ktor.ktor-client-core,1.2.0,2019-05-14,https://repo1.maven.org/maven2/io/ktor/ktor-client-core/1.2.0/ktor-client-core-1.2.0.jar,,,,,,,,
35220,io.ktor.ktor-client-core,1.2.1,2019-05-27,https://repo1.maven.org/maven2/io/ktor/ktor-client-core/1.2.1/ktor-client-core-1.2.1.jar,,,,,,,,
35221,io.ktor.ktor-client-core,1.2.2,2019-06-20,https://repo1.maven.org/maven2/io/ktor/ktor-client-core/1.2.2/ktor-client-core-1.2.2.jar,,,,,,,,
35222,io.ktor.ktor-client-core,1.2.3,2019-08-01,https://repo1.maven.org/maven2/io/ktor/ktor-client-core/1.2.3/ktor-client-core-1.2.3.jar,,,,,,,,
