,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
10531,io.ktor.ktor-client-json,1.0.0,2018-11-19,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.0.0/ktor-client-json-1.0.0.jar,,,,,,,,
10532,io.ktor.ktor-client-json,1.0.1,2018-12-04,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.0.1/ktor-client-json-1.0.1.jar,,,,,,,,
10533,io.ktor.ktor-client-json,1.1.0,2018-12-24,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.1.0/ktor-client-json-1.1.0.jar,,,,,,,,
10535,io.ktor.ktor-client-json,1.1.1,2018-12-26,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.1.1/ktor-client-json-1.1.1.jar,,,,,,,,
10547,io.ktor.ktor-client-json,1.1.2,2019-01-24,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.1.2/ktor-client-json-1.1.2.jar,,,,,,,,
10536,io.ktor.ktor-client-json,1.1.3,2019-02-21,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.1.3/ktor-client-json-1.1.3.jar,,,,,,,,
10537,io.ktor.ktor-client-json,1.1.4,2019-04-15,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.1.4/ktor-client-json-1.1.4.jar,,,,,,,,
10538,io.ktor.ktor-client-json,1.2.0,2019-05-14,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.2.0/ktor-client-json-1.2.0.jar,,,,,,,,
10539,io.ktor.ktor-client-json,1.2.1,2019-05-27,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.2.1/ktor-client-json-1.2.1.jar,,,,,,,,
10540,io.ktor.ktor-client-json,1.2.2,2019-06-20,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.2.2/ktor-client-json-1.2.2.jar,,,,,,,,
10541,io.ktor.ktor-client-json,1.2.3,2019-08-01,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.2.3/ktor-client-json-1.2.3.jar,,,,,,,,
10542,io.ktor.ktor-client-json,1.2.4,2019-09-02,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.2.4/ktor-client-json-1.2.4.jar,,,,,,,,
10543,io.ktor.ktor-client-json,1.2.5,2019-10-23,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.2.5/ktor-client-json-1.2.5.jar,,,,,,,,
10544,io.ktor.ktor-client-json,1.2.6,2019-11-21,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.2.6/ktor-client-json-1.2.6.jar,,,,,,,,
10545,io.ktor.ktor-client-json,1.3.0,2020-01-14,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.3.0/ktor-client-json-1.3.0.jar,,,,,,,,
10546,io.ktor.ktor-client-json,1.3.1,2020-02-26,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.3.1/ktor-client-json-1.3.1.jar,,,,,,,,
10523,io.ktor.ktor-client-json,1.4.0,2020-08-18,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.4.0/ktor-client-json-1.4.0.jar,,,,,,,,
10522,io.ktor.ktor-client-json,1.4.1,2020-09-24,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.4.1/ktor-client-json-1.4.1.jar,,,,,,,,
10521,io.ktor.ktor-client-json,1.4.2,2020-11-10,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.4.2/ktor-client-json-1.4.2.jar,,,,,,,,
10520,io.ktor.ktor-client-json,1.4.3,2020-12-01,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.4.3/ktor-client-json-1.4.3.jar,,,,,,,,
10497,io.ktor.ktor-client-json,1.5.0,2020-12-21,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.5.0/ktor-client-json-1.5.0.jar,,,,,,,,
10498,io.ktor.ktor-client-json,1.5.1,2021-01-28,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.5.1/ktor-client-json-1.5.1.jar,,,,,,,,
10499,io.ktor.ktor-client-json,1.5.2,2021-02-26,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.5.2/ktor-client-json-1.5.2.jar,,,,,,,,
10500,io.ktor.ktor-client-json,1.5.3,2021-04-02,https://repo1.maven.org/maven2/io/ktor/ktor-client-json/1.5.3/ktor-client-json-1.5.3.jar,,,,,,,,
