,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
30008,io.lettuce.lettuce-core,5.0.0,2017-09-28,https://repo1.maven.org/maven2/io/lettuce/lettuce-core/5.0.0.RELEASE/lettuce-core-5.0.0.RELEASE.jar,32,,,,,,,5.0.1
30009,io.lettuce.lettuce-core,5.0.1,2017-11-16,https://repo1.maven.org/maven2/io/lettuce/lettuce-core/5.0.1.RELEASE/lettuce-core-5.0.1.RELEASE.jar,32,0,0,0,0,0,0,5.0.2
30010,io.lettuce.lettuce-core,5.0.2,2018-02-17,https://repo1.maven.org/maven2/io/lettuce/lettuce-core/5.0.2.RELEASE/lettuce-core-5.0.2.RELEASE.jar,32,0,0,0,0,0,0,5.0.3
30036,io.lettuce.lettuce-core,5.0.3,2018-03-27,https://repo1.maven.org/maven2/io/lettuce/lettuce-core/5.0.3.RELEASE/lettuce-core-5.0.3.RELEASE.jar,32,0,0,0,0,0,0,5.0.4
30037,io.lettuce.lettuce-core,5.0.4,2018-05-08,https://repo1.maven.org/maven2/io/lettuce/lettuce-core/5.0.4.RELEASE/lettuce-core-5.0.4.RELEASE.jar,32,0,0,0,0,0,0,5.0.5
30038,io.lettuce.lettuce-core,5.0.5,2018-07-30,https://repo1.maven.org/maven2/io/lettuce/lettuce-core/5.0.5.RELEASE/lettuce-core-5.0.5.RELEASE.jar,32,0,0,0,0,0,0,5.1.0
30039,io.lettuce.lettuce-core,5.1.0,2018-09-19,https://repo1.maven.org/maven2/io/lettuce/lettuce-core/5.1.0.RELEASE/lettuce-core-5.1.0.RELEASE.jar,33,0,0,0,0,1,0,5.1.1
30040,io.lettuce.lettuce-core,5.1.1,2018-10-12,https://repo1.maven.org/maven2/io/lettuce/lettuce-core/5.1.1.RELEASE/lettuce-core-5.1.1.RELEASE.jar,33,0,0,0,0,0,0,5.1.2
30041,io.lettuce.lettuce-core,5.1.2,2018-10-26,https://repo1.maven.org/maven2/io/lettuce/lettuce-core/5.1.2.RELEASE/lettuce-core-5.1.2.RELEASE.jar,33,0,0,0,0,0,0,5.1.3
30042,io.lettuce.lettuce-core,5.1.3,2018-11-26,https://repo1.maven.org/maven2/io/lettuce/lettuce-core/5.1.3.RELEASE/lettuce-core-5.1.3.RELEASE.jar,33,0,0,0,0,0,0,5.1.4
30043,io.lettuce.lettuce-core,5.1.4,2019-02-12,https://repo1.maven.org/maven2/io/lettuce/lettuce-core/5.1.4.RELEASE/lettuce-core-5.1.4.RELEASE.jar,33,0,0,0,0,0,0,5.1.5
30044,io.lettuce.lettuce-core,5.1.5,2019-03-06,https://repo1.maven.org/maven2/io/lettuce/lettuce-core/5.1.5.RELEASE/lettuce-core-5.1.5.RELEASE.jar,33,0,0,0,0,0,0,5.1.6
