,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
45926,io.netty.netty-codec-redis,4.1.0,2016-05-25,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.0.Final/netty-codec-redis-4.1.0.Final.jar,,,,,,,,4.1.1
45927,io.netty.netty-codec-redis,4.1.1,2016-06-07,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.1.Final/netty-codec-redis-4.1.1.Final.jar,,,,,,,,4.1.2
45928,io.netty.netty-codec-redis,4.1.2,2016-07-01,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.2.Final/netty-codec-redis-4.1.2.Final.jar,,,,,,,,4.1.3
45929,io.netty.netty-codec-redis,4.1.3,2016-07-15,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.3.Final/netty-codec-redis-4.1.3.Final.jar,,,,,,,,4.1.4
45930,io.netty.netty-codec-redis,4.1.4,2016-07-27,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.4.Final/netty-codec-redis-4.1.4.Final.jar,,,,,,,,4.1.5
45931,io.netty.netty-codec-redis,4.1.5,2016-08-29,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.5.Final/netty-codec-redis-4.1.5.Final.jar,,,,,,,,4.1.6
45932,io.netty.netty-codec-redis,4.1.6,2016-10-14,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.6.Final/netty-codec-redis-4.1.6.Final.jar,,,,,,,,4.1.7
45933,io.netty.netty-codec-redis,4.1.7,2017-01-12,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.7.Final/netty-codec-redis-4.1.7.Final.jar,,,,,,,,4.1.8
45934,io.netty.netty-codec-redis,4.1.8,2017-01-30,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.8.Final/netty-codec-redis-4.1.8.Final.jar,,,,,,,,4.1.9
45935,io.netty.netty-codec-redis,4.1.9,2017-03-10,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.9.Final/netty-codec-redis-4.1.9.Final.jar,,,,,,,,4.1.10
45936,io.netty.netty-codec-redis,4.1.10,2017-04-29,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.10.Final/netty-codec-redis-4.1.10.Final.jar,,,,,,,,4.1.11
45937,io.netty.netty-codec-redis,4.1.11,2017-05-11,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.11.Final/netty-codec-redis-4.1.11.Final.jar,,,,,,,,4.1.12
45938,io.netty.netty-codec-redis,4.1.12,2017-06-08,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.12.Final/netty-codec-redis-4.1.12.Final.jar,,,,,,,,4.1.13
45939,io.netty.netty-codec-redis,4.1.13,2017-07-06,https://repo1.maven.org/maven2/io/netty/netty-codec-redis/4.1.13.Final/netty-codec-redis-4.1.13.Final.jar,,,,,,,,4.1.14
