,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
14503,io.netty.netty-resolver-dns-classes-macos,4.1.70,2021-11-03,https://repo1.maven.org/maven2/io/netty/netty-resolver-dns-classes-macos/4.1.70.Final/netty-resolver-dns-classes-macos-4.1.70.Final.jar,,,,,,,,4.1.71
14504,io.netty.netty-resolver-dns-classes-macos,4.1.71,2021-12-09,https://repo1.maven.org/maven2/io/netty/netty-resolver-dns-classes-macos/4.1.71.Final/netty-resolver-dns-classes-macos-4.1.71.Final.jar,,,,,,,,4.1.72
14505,io.netty.netty-resolver-dns-classes-macos,4.1.72,2021-12-13,https://repo1.maven.org/maven2/io/netty/netty-resolver-dns-classes-macos/4.1.72.Final/netty-resolver-dns-classes-macos-4.1.72.Final.jar,,,,,,,,4.1.73
14506,io.netty.netty-resolver-dns-classes-macos,4.1.73,2022-01-12,https://repo1.maven.org/maven2/io/netty/netty-resolver-dns-classes-macos/4.1.73.Final/netty-resolver-dns-classes-macos-4.1.73.Final.jar,,,,,,,,4.1.74
14507,io.netty.netty-resolver-dns-classes-macos,4.1.74,2022-02-08,https://repo1.maven.org/maven2/io/netty/netty-resolver-dns-classes-macos/4.1.74.Final/netty-resolver-dns-classes-macos-4.1.74.Final.jar,,,,,,,,4.1.75
14508,io.netty.netty-resolver-dns-classes-macos,4.1.75,2022-03-10,https://repo1.maven.org/maven2/io/netty/netty-resolver-dns-classes-macos/4.1.75.Final/netty-resolver-dns-classes-macos-4.1.75.Final.jar,,,,,,,,4.1.76
14486,io.netty.netty-resolver-dns-classes-macos,4.1.76,2022-04-12,https://repo1.maven.org/maven2/io/netty/netty-resolver-dns-classes-macos/4.1.76.Final/netty-resolver-dns-classes-macos-4.1.76.Final.jar,,,,,,,,4.1.77
14509,io.netty.netty-resolver-dns-classes-macos,4.1.77,2022-05-06,https://repo1.maven.org/maven2/io/netty/netty-resolver-dns-classes-macos/4.1.77.Final/netty-resolver-dns-classes-macos-4.1.77.Final.jar,,,,,,,,4.1.78
14485,io.netty.netty-resolver-dns-classes-macos,4.1.78,2022-06-14,https://repo1.maven.org/maven2/io/netty/netty-resolver-dns-classes-macos/4.1.78.Final/netty-resolver-dns-classes-macos-4.1.78.Final.jar,,,,,,,,4.1.79
14483,io.netty.netty-resolver-dns-classes-macos,4.1.79,2022-07-11,https://repo1.maven.org/maven2/io/netty/netty-resolver-dns-classes-macos/4.1.79.Final/netty-resolver-dns-classes-macos-4.1.79.Final.jar,,,,,,,,4.1.80
