,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
82299,io.projectreactor.reactor-core,2.0.1,2015-05-13,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/2.0.1.RELEASE/reactor-core-2.0.1.RELEASE.jar,15,,,,,,,2.0.2
82260,io.projectreactor.reactor-core,2.0.2,2015-05-22,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/2.0.2.RELEASE/reactor-core-2.0.2.RELEASE.jar,15,0,0,0,0,0,0,2.0.3
82261,io.projectreactor.reactor-core,2.0.3,2015-05-27,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/2.0.3.RELEASE/reactor-core-2.0.3.RELEASE.jar,15,0,0,0,0,0,0,2.0.4
82262,io.projectreactor.reactor-core,2.0.4,2015-07-08,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/2.0.4.RELEASE/reactor-core-2.0.4.RELEASE.jar,15,0,0,0,0,0,0,2.0.5
82263,io.projectreactor.reactor-core,2.0.5,2015-08-14,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/2.0.5.RELEASE/reactor-core-2.0.5.RELEASE.jar,14,0,0,0,0,0,1,2.0.6
82264,io.projectreactor.reactor-core,2.0.6,2015-10-02,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/2.0.6.RELEASE/reactor-core-2.0.6.RELEASE.jar,14,0,0,0,0,0,0,2.0.7
82265,io.projectreactor.reactor-core,2.0.7,2015-11-14,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/2.0.7.RELEASE/reactor-core-2.0.7.RELEASE.jar,14,0,0,0,0,0,0,2.0.8
82266,io.projectreactor.reactor-core,2.0.8,2016-04-28,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/2.0.8.RELEASE/reactor-core-2.0.8.RELEASE.jar,14,0,0,0,0,0,0,3.0.0
82267,io.projectreactor.reactor-core,3.0.0,2016-08-22,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/3.0.0.RELEASE/reactor-core-3.0.0.RELEASE.jar,9,0,0,0,0,9,14,3.0.1
82268,io.projectreactor.reactor-core,3.0.1,2016-09-02,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/3.0.1.RELEASE/reactor-core-3.0.1.RELEASE.jar,9,0,0,0,0,0,0,3.0.2
82269,io.projectreactor.reactor-core,3.0.2,2016-09-02,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/3.0.2.RELEASE/reactor-core-3.0.2.RELEASE.jar,9,0,0,0,0,0,0,3.0.3
82270,io.projectreactor.reactor-core,3.0.3,2016-10-28,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/3.0.3.RELEASE/reactor-core-3.0.3.RELEASE.jar,9,0,0,0,0,0,0,3.0.4
82271,io.projectreactor.reactor-core,3.0.4,2016-12-23,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/3.0.4.RELEASE/reactor-core-3.0.4.RELEASE.jar,9,0,1,0,0,1,0,3.0.5
82272,io.projectreactor.reactor-core,3.0.5,2017-02-10,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/3.0.5.RELEASE/reactor-core-3.0.5.RELEASE.jar,9,0,0,0,0,0,0,3.0.6
82273,io.projectreactor.reactor-core,3.0.6,2017-04-04,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/3.0.6.RELEASE/reactor-core-3.0.6.RELEASE.jar,9,0,0,0,0,0,0,3.0.7
82274,io.projectreactor.reactor-core,3.0.7,2017-04-20,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/3.0.7.RELEASE/reactor-core-3.0.7.RELEASE.jar,9,0,0,0,0,0,0,3.1.0
82259,io.projectreactor.reactor-core,3.1.0,2017-09-25,https://repo1.maven.org/maven2/io/projectreactor/reactor-core/3.1.0.RELEASE/reactor-core-3.1.0.RELEASE.jar,9,0,0,0,0,0,0,3.1.1
