,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
110966,io.reactivex.rxjava3.rxandroid,0.21.0,2014-10-01,https://repo1.maven.org/maven2/io/reactivex/rxandroid/0.21.0/rxandroid-0.21.0.jar,,,,,,,,0.22.0
110965,io.reactivex.rxjava3.rxandroid,0.22.0,2014-10-15,https://repo1.maven.org/maven2/io/reactivex/rxandroid/0.22.0/rxandroid-0.22.0.jar,,,,,,,,0.23.0
110964,io.reactivex.rxjava3.rxandroid,0.23.0,2014-11-13,https://repo1.maven.org/maven2/io/reactivex/rxandroid/0.23.0/rxandroid-0.23.0.jar,,,,,,,,0.24.0
110963,io.reactivex.rxjava3.rxandroid,0.24.0,2015-01-03,https://repo1.maven.org/maven2/io/reactivex/rxandroid/0.24.0/rxandroid-0.24.0.jar,,,,,,,,0.25.0
110962,io.reactivex.rxjava3.rxandroid,0.25.0,2015-06-29,https://repo1.maven.org/maven2/io/reactivex/rxandroid/0.25.0/rxandroid-0.25.0.jar,,,,,,,,1.0.0
110961,io.reactivex.rxjava3.rxandroid,1.0.0,2015-08-05,https://repo1.maven.org/maven2/io/reactivex/rxandroid/1.0.0/rxandroid-1.0.0.aar,,,,,,,,1.0.1
110960,io.reactivex.rxjava3.rxandroid,1.0.1,2015-08-10,https://repo1.maven.org/maven2/io/reactivex/rxandroid/1.0.1/rxandroid-1.0.1.aar,,,,,,,,1.0.2
110959,io.reactivex.rxjava3.rxandroid,1.0.2,2015-12-09,https://repo1.maven.org/maven2/io/reactivex/rxandroid/1.0.2/rxandroid-1.0.2.aar,,,,,,,,1.1.0
110967,io.reactivex.rxjava3.rxandroid,1.1.0,2015-12-09,https://repo1.maven.org/maven2/io/reactivex/rxandroid/1.1.0/rxandroid-1.1.0.aar,,,,,,,,1.2.0
110978,io.reactivex.rxjava3.rxandroid,1.2.0,2016-05-04,https://repo1.maven.org/maven2/io/reactivex/rxandroid/1.2.0/rxandroid-1.2.0.aar,,,,,,,,1.2.1
110979,io.reactivex.rxjava3.rxandroid,1.2.1,2016-06-16,https://repo1.maven.org/maven2/io/reactivex/rxandroid/1.2.1/rxandroid-1.2.1.aar,,,,,,,,2.0.0
102891,io.reactivex.rxjava3.rxandroid,2.0.0,2016-10-29,https://repo1.maven.org/maven2/io/reactivex/rxjava2/rxandroid/2.0.0/rxandroid-2.0.0.aar,,,,,,,,2.0.1
102886,io.reactivex.rxjava3.rxandroid,2.0.1,2016-11-12,https://repo1.maven.org/maven2/io/reactivex/rxjava2/rxandroid/2.0.1/rxandroid-2.0.1.aar,,,,,,,,2.0.2
102887,io.reactivex.rxjava3.rxandroid,2.0.2,2018-02-12,https://repo1.maven.org/maven2/io/reactivex/rxjava2/rxandroid/2.0.2/rxandroid-2.0.2.aar,,,,,,,,2.1.0
102888,io.reactivex.rxjava3.rxandroid,2.1.0,2018-08-16,https://repo1.maven.org/maven2/io/reactivex/rxjava2/rxandroid/2.1.0/rxandroid-2.1.0.aar,,,,,,,,2.1.1
102889,io.reactivex.rxjava3.rxandroid,2.1.1,2019-02-16,https://repo1.maven.org/maven2/io/reactivex/rxjava2/rxandroid/2.1.1/rxandroid-2.1.1.aar,,,,,,,,3.0.0
53431,io.reactivex.rxjava3.rxandroid,3.0.0,2020-02-14,https://repo1.maven.org/maven2/io/reactivex/rxjava3/rxandroid/3.0.0/rxandroid-3.0.0.aar,,,,,,,,3.0.1
53432,io.reactivex.rxjava3.rxandroid,3.0.1,2022-11-09,https://repo1.maven.org/maven2/io/reactivex/rxjava3/rxandroid/3.0.1/rxandroid-3.0.1.aar,,,,,,,,3.0.2
53433,io.reactivex.rxjava3.rxandroid,3.0.2,2022-11-09,https://repo1.maven.org/maven2/io/reactivex/rxjava3/rxandroid/3.0.2/rxandroid-3.0.2.aar,,,,,,,,
