,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
52585,io.realm.realm-annotations,10.4.0,2021-03-28,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.4.0/realm-annotations-10.4.0.jar,,,,,,,,10.5.0
52584,io.realm.realm-annotations,10.5.0,2021-05-12,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.5.0/realm-annotations-10.5.0.jar,,,,,,,,10.5.1
52583,io.realm.realm-annotations,10.5.1,2021-06-14,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.5.1/realm-annotations-10.5.1.jar,,,,,,,,10.6.0
52577,io.realm.realm-annotations,10.6.0,2021-06-14,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.6.0/realm-annotations-10.6.0.jar,,,,,,,,10.6.1
52568,io.realm.realm-annotations,10.6.1,2021-07-01,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.6.1/realm-annotations-10.6.1.jar,,,,,,,,10.7.0
52569,io.realm.realm-annotations,10.7.0,2021-07-28,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.7.0/realm-annotations-10.7.0.jar,,,,,,,,10.7.1
52570,io.realm.realm-annotations,10.7.1,2021-08-03,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.7.1/realm-annotations-10.7.1.jar,,,,,,,,10.8.0
52571,io.realm.realm-annotations,10.8.0,2021-08-27,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.8.0/realm-annotations-10.8.0.jar,,,,,,,,10.8.1
52572,io.realm.realm-annotations,10.8.1,2021-10-29,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.8.1/realm-annotations-10.8.1.jar,,,,,,,,10.9.0
52573,io.realm.realm-annotations,10.9.0,2021-12-08,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.9.0/realm-annotations-10.9.0.jar,,,,,,,,10.10.0
52574,io.realm.realm-annotations,10.10.0,2022-01-18,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.10.0/realm-annotations-10.10.0.jar,,,,,,,,10.10.1
52575,io.realm.realm-annotations,10.10.1,2022-01-26,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.10.1/realm-annotations-10.10.1.jar,,,,,,,,10.11.0
52576,io.realm.realm-annotations,10.11.0,2022-05-21,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.11.0/realm-annotations-10.11.0.jar,,,,,,,,10.11.1
52578,io.realm.realm-annotations,10.11.1,2022-07-16,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.11.1/realm-annotations-10.11.1.jar,,,,,,,,10.12.0
52579,io.realm.realm-annotations,10.12.0,2022-09-22,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.12.0/realm-annotations-10.12.0.jar,,,,,,,,10.13.0
52580,io.realm.realm-annotations,10.13.0,2022-12-05,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.13.0/realm-annotations-10.13.0.jar,,,,,,,,10.13.1
52581,io.realm.realm-annotations,10.13.1,2023-03-16,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.13.1/realm-annotations-10.13.1.jar,,,,,,,,10.14.0
52582,io.realm.realm-annotations,10.14.0,2023-04-14,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.14.0/realm-annotations-10.14.0.jar,,,,,,,,10.15.0
52367,io.realm.realm-annotations,10.15.0,2023-04-19,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.15.0/realm-annotations-10.15.0.jar,,,,,,,,10.15.1
52366,io.realm.realm-annotations,10.15.1,2023-04-20,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.15.1/realm-annotations-10.15.1.jar,,,,,,,,10.16.0
52365,io.realm.realm-annotations,10.16.0,2023-06-02,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.16.0/realm-annotations-10.16.0.jar,,,,,,,,10.16.1
52196,io.realm.realm-annotations,10.16.1,2023-06-26,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.16.1/realm-annotations-10.16.1.jar,,,,,,,,10.16.2
52126,io.realm.realm-annotations,10.16.2,2023-10-18,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.16.2/realm-annotations-10.16.2.jar,,,,,,,,10.17.0
52127,io.realm.realm-annotations,10.17.0,2023-10-18,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.17.0/realm-annotations-10.17.0.jar,,,,,,,,10.18.0
52128,io.realm.realm-annotations,10.18.0,2024-02-07,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.18.0/realm-annotations-10.18.0.jar,,,,,,,,10.19.0
52129,io.realm.realm-annotations,10.19.0,2024-09-13,https://repo1.maven.org/maven2/io/realm/realm-annotations/10.19.0/realm-annotations-10.19.0.jar,,,,,,,,
