,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
110898,io.swagger.core.v3.swagger-annotations,1.0.2,2012-07-04,https://repo1.maven.org/maven2/com/wordnik/swagger-annotations_2.9.1/1.0.2/swagger-annotations_2.9.1-1.0.2.jar,,,,,,,,1.1.0
110889,io.swagger.core.v3.swagger-annotations,1.1.0,2012-08-22,https://repo1.maven.org/maven2/com/wordnik/swagger-annotations_2.9.1/1.1.0/swagger-annotations_2.9.1-1.1.0.jar,,,,,,,,1.2.0
110890,io.swagger.core.v3.swagger-annotations,1.2.0,2012-12-24,https://repo1.maven.org/maven2/com/wordnik/swagger-annotations_2.10.0/1.2.0/swagger-annotations_2.10.0-1.2.0.jar,,,,,,,,1.2.1
110891,io.swagger.core.v3.swagger-annotations,1.2.1,2013-03-06,https://repo1.maven.org/maven2/com/wordnik/swagger-annotations_2.9.1/1.2.1/swagger-annotations_2.9.1-1.2.1.jar,,,,,,,,1.2.2
110892,io.swagger.core.v3.swagger-annotations,1.2.2,2013-04-08,https://repo1.maven.org/maven2/com/wordnik/swagger-annotations_2.10.0/1.2.2/swagger-annotations_2.10.0-1.2.2.jar,,,,,,,,1.2.3
110893,io.swagger.core.v3.swagger-annotations,1.2.3,2013-04-24,https://repo1.maven.org/maven2/com/wordnik/swagger-annotations_2.10.0/1.2.3/swagger-annotations_2.10.0-1.2.3.jar,,,,,,,,1.2.4
110894,io.swagger.core.v3.swagger-annotations,1.2.4,2013-06-10,https://repo1.maven.org/maven2/com/wordnik/swagger-annotations_2.10.0/1.2.4/swagger-annotations_2.10.0-1.2.4.jar,,,,,,,,1.2.5
110895,io.swagger.core.v3.swagger-annotations,1.2.5,2013-06-20,https://repo1.maven.org/maven2/com/wordnik/swagger-annotations_2.10.0/1.2.5/swagger-annotations_2.10.0-1.2.5.jar,,,,,,,,1.3.0
110896,io.swagger.core.v3.swagger-annotations,1.3.0,2013-08-14,https://repo1.maven.org/maven2/com/wordnik/swagger-annotations_2.10/1.3.0/swagger-annotations_2.10-1.3.0.jar,,,,,,,,1.3.1
110897,io.swagger.core.v3.swagger-annotations,1.3.1,2013-11-12,https://repo1.maven.org/maven2/com/wordnik/swagger-annotations/1.3.1/swagger-annotations-1.3.1.jar,,,,,,,,1.3.2
