,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
80922,io.vertx.vertx-codegen,3.0.0,2015-06-23,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.0.0/vertx-codegen-3.0.0.jar,,,,,,,,3.1.0
80923,io.vertx.vertx-codegen,3.1.0,2015-10-07,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.1.0/vertx-codegen-3.1.0.jar,,,,,,,,3.2.0
80924,io.vertx.vertx-codegen,3.2.0,2015-12-13,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.2.0/vertx-codegen-3.2.0.jar,,,,,,,,3.2.1
80925,io.vertx.vertx-codegen,3.2.1,2016-02-05,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.2.1/vertx-codegen-3.2.1.jar,,,,,,,,3.3.0
80908,io.vertx.vertx-codegen,3.3.0,2016-06-22,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.3.0/vertx-codegen-3.3.0.jar,,,,,,,,3.3.1
80907,io.vertx.vertx-codegen,3.3.1,2016-07-07,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.3.1/vertx-codegen-3.3.1.jar,,,,,,,,3.3.2
80900,io.vertx.vertx-codegen,3.3.2,2016-07-10,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.3.2/vertx-codegen-3.3.2.jar,,,,,,,,3.3.3
80894,io.vertx.vertx-codegen,3.3.3,2016-09-08,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.3.3/vertx-codegen-3.3.3.jar,,,,,,,,3.4.0
80895,io.vertx.vertx-codegen,3.4.0,2017-03-06,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.4.0/vertx-codegen-3.4.0.jar,,,,,,,,3.4.1
80896,io.vertx.vertx-codegen,3.4.1,2017-03-15,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.4.1/vertx-codegen-3.4.1.jar,,,,,,,,3.4.2
80897,io.vertx.vertx-codegen,3.4.2,2017-06-14,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.4.2/vertx-codegen-3.4.2.jar,,,,,,,,3.5.0
80898,io.vertx.vertx-codegen,3.5.0,2017-10-17,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.5.0/vertx-codegen-3.5.0.jar,,,,,,,,3.5.1
80899,io.vertx.vertx-codegen,3.5.1,2018-02-09,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.5.1/vertx-codegen-3.5.1.jar,,,,,,,,3.5.2
80906,io.vertx.vertx-codegen,3.5.2,2018-06-04,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.5.2/vertx-codegen-3.5.2.jar,,,,,,,,3.5.3
80901,io.vertx.vertx-codegen,3.5.3,2018-07-11,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.5.3/vertx-codegen-3.5.3.jar,,,,,,,,3.5.4
80902,io.vertx.vertx-codegen,3.5.4,2018-10-03,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.5.4/vertx-codegen-3.5.4.jar,,,,,,,,3.6.0
80903,io.vertx.vertx-codegen,3.6.0,2018-11-28,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.6.0/vertx-codegen-3.6.0.jar,,,,,,,,3.6.1
80904,io.vertx.vertx-codegen,3.6.1,2018-12-14,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.6.1/vertx-codegen-3.6.1.jar,,,,,,,,3.6.2
80905,io.vertx.vertx-codegen,3.6.2,2018-12-17,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.6.2/vertx-codegen-3.6.2.jar,,,,,,,,3.6.3
80926,io.vertx.vertx-codegen,3.6.3,2019-01-31,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.6.3/vertx-codegen-3.6.3.jar,,,,,,,,3.7.0
80927,io.vertx.vertx-codegen,3.7.0,2019-03-30,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.7.0/vertx-codegen-3.7.0.jar,,,,,,,,3.7.1
80928,io.vertx.vertx-codegen,3.7.1,2019-05-23,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.7.1/vertx-codegen-3.7.1.jar,,,,,,,,3.8.0
80929,io.vertx.vertx-codegen,3.8.0,2019-07-17,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.8.0/vertx-codegen-3.8.0.jar,,,,,,,,3.8.1
80947,io.vertx.vertx-codegen,3.8.1,2019-08-22,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.8.1/vertx-codegen-3.8.1.jar,,,,,,,,3.8.2
80948,io.vertx.vertx-codegen,3.8.2,2019-10-03,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.8.2/vertx-codegen-3.8.2.jar,,,,,,,,3.8.3
80949,io.vertx.vertx-codegen,3.8.3,2019-10-17,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.8.3/vertx-codegen-3.8.3.jar,,,,,,,,3.8.4
80950,io.vertx.vertx-codegen,3.8.4,2019-11-22,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.8.4/vertx-codegen-3.8.4.jar,,,,,,,,3.8.5
80951,io.vertx.vertx-codegen,3.8.5,2020-01-22,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.8.5/vertx-codegen-3.8.5.jar,,,,,,,,3.9.0
80952,io.vertx.vertx-codegen,3.9.0,2020-03-30,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.0/vertx-codegen-3.9.0.jar,,,,,,,,3.9.1
80953,io.vertx.vertx-codegen,3.9.1,2020-05-15,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.1/vertx-codegen-3.9.1.jar,,,,,,,,3.9.2
80954,io.vertx.vertx-codegen,3.9.2,2020-07-16,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.2/vertx-codegen-3.9.2.jar,,,,,,,,3.9.3
80955,io.vertx.vertx-codegen,3.9.3,2020-09-16,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.3/vertx-codegen-3.9.3.jar,,,,,,,,3.9.4
80956,io.vertx.vertx-codegen,3.9.4,2020-10-15,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.4/vertx-codegen-3.9.4.jar,,,,,,,,3.9.5
80957,io.vertx.vertx-codegen,3.9.5,2020-12-11,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.5/vertx-codegen-3.9.5.jar,,,,,,,,3.9.6
80958,io.vertx.vertx-codegen,3.9.6,2021-02-25,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.6/vertx-codegen-3.9.6.jar,,,,,,,,3.9.7
80959,io.vertx.vertx-codegen,3.9.7,2021-04-13,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.7/vertx-codegen-3.9.7.jar,,,,,,,,3.9.8
80960,io.vertx.vertx-codegen,3.9.8,2021-06-09,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.8/vertx-codegen-3.9.8.jar,,,,,,,,3.9.9
80961,io.vertx.vertx-codegen,3.9.9,2021-09-07,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.9/vertx-codegen-3.9.9.jar,,,,,,,,3.9.10
80962,io.vertx.vertx-codegen,3.9.10,2021-11-05,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.10/vertx-codegen-3.9.10.jar,,,,,,,,3.9.11
80963,io.vertx.vertx-codegen,3.9.11,2021-12-14,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.11/vertx-codegen-3.9.11.jar,,,,,,,,3.9.12
80964,io.vertx.vertx-codegen,3.9.12,2021-12-22,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.12/vertx-codegen-3.9.12.jar,,,,,,,,3.9.13
80965,io.vertx.vertx-codegen,3.9.13,2022-03-17,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.13/vertx-codegen-3.9.13.jar,,,,,,,,3.9.14
80946,io.vertx.vertx-codegen,3.9.14,2022-10-25,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.14/vertx-codegen-3.9.14.jar,,,,,,,,3.9.15
80966,io.vertx.vertx-codegen,3.9.15,2023-02-15,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.15/vertx-codegen-3.9.15.jar,,,,,,,,3.9.16
80945,io.vertx.vertx-codegen,3.9.16,2023-05-12,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/3.9.16/vertx-codegen-3.9.16.jar,,,,,,,,4.0.0
80930,io.vertx.vertx-codegen,4.0.0,2020-12-07,https://repo1.maven.org/maven2/io/vertx/vertx-codegen/4.0.0/vertx-codegen-4.0.0.jar,,,,,,,,4.0.1
