,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
110145,jakarta.activation.jakarta.activation-api,1.0.2,2005-11-08,https://repository.mulesoft.org/nexus/content/repositories/public/javax/activation/activation/1.0.2/activation-1.0.2.jar,,,,,,,,1.1
110144,jakarta.activation.jakarta.activation-api,1.1,2006-05-02,https://repo1.maven.org/maven2/javax/activation/activation/1.1/activation-1.1.jar,,,,,,,,1.1.1
110143,jakarta.activation.jakarta.activation-api,1.1.1,2009-10-23,https://repo1.maven.org/maven2/javax/activation/activation/1.1.1/activation-1.1.1.jar,,,,,,,,1.2.0
110079,jakarta.activation.jakarta.activation-api,1.2.0,2017-09-06,https://repo1.maven.org/maven2/javax/activation/javax.activation-api/1.2.0/javax.activation-api-1.2.0.jar,,,,,,,,1.2.1
4076,jakarta.activation.jakarta.activation-api,1.2.1,2018-11-20,https://repo1.maven.org/maven2/jakarta/activation/jakarta.activation-api/1.2.1/jakarta.activation-api-1.2.1.jar,,,,,,,,1.2.2
4059,jakarta.activation.jakarta.activation-api,1.2.2,2020-02-20,https://repo1.maven.org/maven2/jakarta/activation/jakarta.activation-api/1.2.2/jakarta.activation-api-1.2.2.jar,,,,,,,,2.0.0
4057,jakarta.activation.jakarta.activation-api,2.0.0,2020-10-22,https://repo1.maven.org/maven2/jakarta/activation/jakarta.activation-api/2.0.0/jakarta.activation-api-2.0.0.jar,,,,,,,,2.0.1
4041,jakarta.activation.jakarta.activation-api,2.0.1,2021-04-06,https://repo1.maven.org/maven2/jakarta/activation/jakarta.activation-api/2.0.1/jakarta.activation-api-2.0.1.jar,,,,,,,,2.1.0
4042,jakarta.activation.jakarta.activation-api,2.1.0,2022-02-10,https://repo1.maven.org/maven2/jakarta/activation/jakarta.activation-api/2.1.0/jakarta.activation-api-2.1.0.jar,,,,,,,,2.1.1
4043,jakarta.activation.jakarta.activation-api,2.1.1,2023-01-11,https://repo1.maven.org/maven2/jakarta/activation/jakarta.activation-api/2.1.1/jakarta.activation-api-2.1.1.jar,,,,,,,,2.1.2
4044,jakarta.activation.jakarta.activation-api,2.1.2,2023-04-29,https://repo1.maven.org/maven2/jakarta/activation/jakarta.activation-api/2.1.2/jakarta.activation-api-2.1.2.jar,,,,,,,,2.1.3
4045,jakarta.activation.jakarta.activation-api,2.1.3,2024-02-29,https://repo1.maven.org/maven2/jakarta/activation/jakarta.activation-api/2.1.3/jakarta.activation-api-2.1.3.jar,,,,,,,,
