,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
110653,jakarta.servlet.jsp.jstl.jakarta.servlet.jsp.jstl-api,1.0,2005-11-26,https://repo1.maven.org/maven2/javax/servlet/jstl/1.0/jstl-1.0.jar,,,,,,,,1.0.1
110652,jakarta.servlet.jsp.jstl.jakarta.servlet.jsp.jstl-api,1.0.1,2005-11-26,https://repo1.maven.org/maven2/javax/servlet/jstl/1.0.1/jstl-1.0.1.jar,,,,,,,,1.0.2
110651,jakarta.servlet.jsp.jstl.jakarta.servlet.jsp.jstl-api,1.0.2,2005-11-26,https://repo1.maven.org/maven2/javax/servlet/jstl/1.0.2/jstl-1.0.2.jar,,,,,,,,1.0.3
110650,jakarta.servlet.jsp.jstl.jakarta.servlet.jsp.jstl-api,1.0.3,2005-11-26,https://repo1.maven.org/maven2/javax/servlet/jstl/1.0.3/jstl-1.0.3.jar,,,,,,,,1.0.4
110649,jakarta.servlet.jsp.jstl.jakarta.servlet.jsp.jstl-api,1.0.4,2005-11-26,https://repo1.maven.org/maven2/javax/servlet/jstl/1.0.4/jstl-1.0.4.jar,,,,,,,,1.0.5
110664,jakarta.servlet.jsp.jstl.jakarta.servlet.jsp.jstl-api,1.0.5,2005-11-26,https://repo1.maven.org/maven2/javax/servlet/jstl/1.0.5/jstl-1.0.5.jar,1,,,,,,,1.0.6
110665,jakarta.servlet.jsp.jstl.jakarta.servlet.jsp.jstl-api,1.0.6,2005-11-26,https://repo1.maven.org/maven2/javax/servlet/jstl/1.0.6/jstl-1.0.6.jar,1,0,0,0,0,0,0,1.1.0
110675,jakarta.servlet.jsp.jstl.jakarta.servlet.jsp.jstl-api,1.1.0,2005-11-26,https://repo1.maven.org/maven2/javax/servlet/jstl/1.1.0/jstl-1.1.0.jar,1,0,0,0,0,0,0,1.1.1
110666,jakarta.servlet.jsp.jstl.jakarta.servlet.jsp.jstl-api,1.1.1,2005-11-26,https://repo1.maven.org/maven2/javax/servlet/jstl/1.1.1/jstl-1.1.1.jar,1,0,0,0,0,0,0,1.1.2
110674,jakarta.servlet.jsp.jstl.jakarta.servlet.jsp.jstl-api,1.1.2,2005-11-26,https://repo1.maven.org/maven2/javax/servlet/jstl/1.1.2/jstl-1.1.2.jar,1,0,0,0,0,0,0,1.2
104337,jakarta.servlet.jsp.jstl.jakarta.servlet.jsp.jstl-api,1.2,2011-06-15,https://repo1.maven.org/maven2/javax/servlet/jsp/jstl/jstl-api/1.2/jstl-api-1.2.jar,1,0,0,0,0,0,0,1.2.1
104336,jakarta.servlet.jsp.jstl.jakarta.servlet.jsp.jstl-api,1.2.1,2011-12-07,https://repo1.maven.org/maven2/javax/servlet/jsp/jstl/javax.servlet.jsp.jstl-api/1.2.1/javax.servlet.jsp.jstl-api-1.2.1.jar,1,0,0,0,0,0,0,1.2.2
104335,jakarta.servlet.jsp.jstl.jakarta.servlet.jsp.jstl-api,1.2.2,2018-07-13,https://repo1.maven.org/maven2/javax/servlet/jsp/jstl/javax.servlet.jsp.jstl-api/1.2.2/javax.servlet.jsp.jstl-api-1.2.2.jar,1,0,0,0,0,0,0,1.2.3
