,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
2782,javax.sip.jain-sip-ri,1.2,2010-05-20,https://repo1.maven.org/maven2/javax/sip/jain-sip-ri/1.2/jain-sip-ri-1.2.jar,146,,,,,,,1.2.1
2783,javax.sip.jain-sip-ri,1.2.1,2008-03-24,https://repo1.maven.org/maven2/javax/sip/jain-sip-ri/1.2.1/jain-sip-ri-1.2.1.jar,193,0,0,0,0,62,0,1.2.1.3
2784,javax.sip.jain-sip-ri,1.2.1.3,2010-05-20,https://repo1.maven.org/maven2/javax/sip/jain-sip-ri/1.2.1.3/jain-sip-ri-1.2.1.3.jar,193,0,0,0,0,0,0,1.2.1.4
2785,javax.sip.jain-sip-ri,1.2.1.4,2010-05-20,https://repo1.maven.org/maven2/javax/sip/jain-sip-ri/1.2.1.4/jain-sip-ri-1.2.1.4.jar,193,0,0,0,0,0,0,1.2.73
2786,javax.sip.jain-sip-ri,1.2.73,2008-06-26,https://repo1.maven.org/maven2/javax/sip/jain-sip-ri/1.2.73/jain-sip-ri-1.2.73.jar,193,0,0,0,0,0,0,1.2.76
2787,javax.sip.jain-sip-ri,1.2.76,2008-07-31,https://repo1.maven.org/maven2/javax/sip/jain-sip-ri/1.2.76/jain-sip-ri-1.2.76.jar,194,1,0,0,0,0,0,1.2.83
2788,javax.sip.jain-sip-ri,1.2.83,2008-09-30,https://repo1.maven.org/maven2/javax/sip/jain-sip-ri/1.2.83/jain-sip-ri-1.2.83.jar,194,0,0,0,0,0,0,1.2.85
2789,javax.sip.jain-sip-ri,1.2.85,2008-10-11,https://repo1.maven.org/maven2/javax/sip/jain-sip-ri/1.2.85/jain-sip-ri-1.2.85.jar,194,0,0,0,0,0,0,1.2.86
2790,javax.sip.jain-sip-ri,1.2.86,2008-11-18,https://repo1.maven.org/maven2/javax/sip/jain-sip-ri/1.2.86/jain-sip-ri-1.2.86.jar,195,1,0,0,0,0,0,1.2.89
2791,javax.sip.jain-sip-ri,1.2.89,2008-12-04,https://repo1.maven.org/maven2/javax/sip/jain-sip-ri/1.2.89/jain-sip-ri-1.2.89.jar,195,0,0,0,0,0,0,1.2.90
2792,javax.sip.jain-sip-ri,1.2.90,2009-01-23,https://repo1.maven.org/maven2/javax/sip/jain-sip-ri/1.2.90/jain-sip-ri-1.2.90.jar,196,0,0,0,0,2,0,1.2.96
