,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
56671,net.bytebuddy.byte-buddy-agent,0.3,2014-09-15,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.3/byte-buddy-agent-0.3.jar,,,,,,,,0.3.1
56672,net.bytebuddy.byte-buddy-agent,0.3.1,2014-09-19,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.3.1/byte-buddy-agent-0.3.1.jar,,,,,,,,0.4
56673,net.bytebuddy.byte-buddy-agent,0.4,2014-11-18,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.4/byte-buddy-agent-0.4.jar,,,,,,,,0.4.1
56674,net.bytebuddy.byte-buddy-agent,0.4.1,2014-11-26,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.4.1/byte-buddy-agent-0.4.1.jar,,,,,,,,0.5
56675,net.bytebuddy.byte-buddy-agent,0.5,2014-12-03,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.5/byte-buddy-agent-0.5.jar,,,,,,,,0.5.1
56676,net.bytebuddy.byte-buddy-agent,0.5.1,2014-12-05,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.5.1/byte-buddy-agent-0.5.1.jar,,,,,,,,0.5.2
56677,net.bytebuddy.byte-buddy-agent,0.5.2,2015-01-18,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.5.2/byte-buddy-agent-0.5.2.jar,,,,,,,,0.5.3
56678,net.bytebuddy.byte-buddy-agent,0.5.3,2015-02-24,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.5.3/byte-buddy-agent-0.5.3.jar,,,,,,,,0.5.4
56657,net.bytebuddy.byte-buddy-agent,0.5.4,2015-03-15,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.5.4/byte-buddy-agent-0.5.4.jar,,,,,,,,0.5.5
56656,net.bytebuddy.byte-buddy-agent,0.5.5,2015-03-20,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.5.5/byte-buddy-agent-0.5.5.jar,,,,,,,,0.5.6
56655,net.bytebuddy.byte-buddy-agent,0.5.6,2015-03-21,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.5.6/byte-buddy-agent-0.5.6.jar,,,,,,,,0.6
56643,net.bytebuddy.byte-buddy-agent,0.6,2015-04-15,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6/byte-buddy-agent-0.6.jar,,,,,,,,0.6.1
56634,net.bytebuddy.byte-buddy-agent,0.6.1,2015-04-21,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.1/byte-buddy-agent-0.6.1.jar,,,,,,,,0.6.2
56635,net.bytebuddy.byte-buddy-agent,0.6.2,2015-04-23,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.2/byte-buddy-agent-0.6.2.jar,,,,,,,,0.6.3
56636,net.bytebuddy.byte-buddy-agent,0.6.3,2015-04-29,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.3/byte-buddy-agent-0.6.3.jar,,,,,,,,0.6.4
56637,net.bytebuddy.byte-buddy-agent,0.6.4,2015-05-06,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.4/byte-buddy-agent-0.6.4.jar,,,,,,,,0.6.5
56638,net.bytebuddy.byte-buddy-agent,0.6.5,2015-05-07,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.5/byte-buddy-agent-0.6.5.jar,,,,,,,,0.6.6
56639,net.bytebuddy.byte-buddy-agent,0.6.6,2015-05-28,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.6/byte-buddy-agent-0.6.6.jar,,,,,,,,0.6.7
56640,net.bytebuddy.byte-buddy-agent,0.6.7,2015-06-01,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.7/byte-buddy-agent-0.6.7.jar,,,,,,,,0.6.8
56641,net.bytebuddy.byte-buddy-agent,0.6.8,2015-06-01,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.8/byte-buddy-agent-0.6.8.jar,,,,,,,,0.6.9
56642,net.bytebuddy.byte-buddy-agent,0.6.9,2015-06-18,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.9/byte-buddy-agent-0.6.9.jar,,,,,,,,0.6.10
56644,net.bytebuddy.byte-buddy-agent,0.6.10,2015-06-18,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.10/byte-buddy-agent-0.6.10.jar,,,,,,,,0.6.11
56654,net.bytebuddy.byte-buddy-agent,0.6.11,2015-06-22,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.11/byte-buddy-agent-0.6.11.jar,,,,,,,,0.6.12
56645,net.bytebuddy.byte-buddy-agent,0.6.12,2015-07-10,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.12/byte-buddy-agent-0.6.12.jar,,,,,,,,0.6.13
56646,net.bytebuddy.byte-buddy-agent,0.6.13,2015-07-17,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.13/byte-buddy-agent-0.6.13.jar,,,,,,,,0.6.14
56647,net.bytebuddy.byte-buddy-agent,0.6.14,2015-07-20,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.14/byte-buddy-agent-0.6.14.jar,,,,,,,,0.6.15
56648,net.bytebuddy.byte-buddy-agent,0.6.15,2015-08-11,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.6.15/byte-buddy-agent-0.6.15.jar,,,,,,,,0.7
56649,net.bytebuddy.byte-buddy-agent,0.7,2015-11-11,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.7/byte-buddy-agent-0.7.jar,,,,,,,,0.7.1
56650,net.bytebuddy.byte-buddy-agent,0.7.1,2015-11-16,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.7.1/byte-buddy-agent-0.7.1.jar,,,,,,,,0.7.2
56651,net.bytebuddy.byte-buddy-agent,0.7.2,2015-11-26,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.7.2/byte-buddy-agent-0.7.2.jar,,,,,,,,0.7.3
56652,net.bytebuddy.byte-buddy-agent,0.7.3,2015-11-30,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.7.3/byte-buddy-agent-0.7.3.jar,,,,,,,,0.7.4
56653,net.bytebuddy.byte-buddy-agent,0.7.4,2015-12-02,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.7.4/byte-buddy-agent-0.7.4.jar,,,,,,,,0.7.5
56712,net.bytebuddy.byte-buddy-agent,0.7.5,2015-12-07,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.7.5/byte-buddy-agent-0.7.5.jar,,,,,,,,0.7.6
56761,net.bytebuddy.byte-buddy-agent,0.7.6,2015-12-11,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.7.6/byte-buddy-agent-0.7.6.jar,,,,,,,,0.7.7
56906,net.bytebuddy.byte-buddy-agent,0.7.7,2015-12-14,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.7.7/byte-buddy-agent-0.7.7.jar,,,,,,,,0.7.8
56762,net.bytebuddy.byte-buddy-agent,0.7.8,2016-01-04,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/0.7.8/byte-buddy-agent-0.7.8.jar,,,,,,,,1.0.0
56884,net.bytebuddy.byte-buddy-agent,1.0.0,2016-01-15,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.0.0/byte-buddy-agent-1.0.0.jar,,,,,,,,1.0.1
56885,net.bytebuddy.byte-buddy-agent,1.0.1,2016-01-18,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.0.1/byte-buddy-agent-1.0.1.jar,,,,,,,,1.0.2
56886,net.bytebuddy.byte-buddy-agent,1.0.2,2016-01-20,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.0.2/byte-buddy-agent-1.0.2.jar,,,,,,,,1.0.3
56887,net.bytebuddy.byte-buddy-agent,1.0.3,2016-01-26,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.0.3/byte-buddy-agent-1.0.3.jar,,,,,,,,1.1.0
56888,net.bytebuddy.byte-buddy-agent,1.1.0,2016-01-26,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.1.0/byte-buddy-agent-1.1.0.jar,,,,,,,,1.1.1
56889,net.bytebuddy.byte-buddy-agent,1.1.1,2016-02-05,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.1.1/byte-buddy-agent-1.1.1.jar,,,,,,,,1.2.0
56890,net.bytebuddy.byte-buddy-agent,1.2.0,2016-02-05,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.2.0/byte-buddy-agent-1.2.0.jar,,,,,,,,1.2.1
56891,net.bytebuddy.byte-buddy-agent,1.2.1,2016-02-06,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.2.1/byte-buddy-agent-1.2.1.jar,,,,,,,,1.2.2
56892,net.bytebuddy.byte-buddy-agent,1.2.2,2016-02-16,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.2.2/byte-buddy-agent-1.2.2.jar,,,,,,,,1.2.3
56893,net.bytebuddy.byte-buddy-agent,1.2.3,2016-02-22,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.2.3/byte-buddy-agent-1.2.3.jar,,,,,,,,1.3.0
56894,net.bytebuddy.byte-buddy-agent,1.3.0,2016-03-08,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.0/byte-buddy-agent-1.3.0.jar,,,,,,,,1.3.1
56895,net.bytebuddy.byte-buddy-agent,1.3.1,2016-03-09,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.1/byte-buddy-agent-1.3.1.jar,,,,,,,,1.3.2
56896,net.bytebuddy.byte-buddy-agent,1.3.2,2016-03-10,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.2/byte-buddy-agent-1.3.2.jar,,,,,,,,1.3.3
56897,net.bytebuddy.byte-buddy-agent,1.3.3,2016-03-10,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.3/byte-buddy-agent-1.3.3.jar,,,,,,,,1.3.4
56898,net.bytebuddy.byte-buddy-agent,1.3.4,2016-03-13,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.4/byte-buddy-agent-1.3.4.jar,,,,,,,,1.3.5
56899,net.bytebuddy.byte-buddy-agent,1.3.5,2016-03-18,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.5/byte-buddy-agent-1.3.5.jar,,,,,,,,1.3.6
56900,net.bytebuddy.byte-buddy-agent,1.3.6,2016-04-01,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.6/byte-buddy-agent-1.3.6.jar,,,,,,,,1.3.7
56901,net.bytebuddy.byte-buddy-agent,1.3.7,2016-04-03,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.7/byte-buddy-agent-1.3.7.jar,,,,,,,,1.3.8
56902,net.bytebuddy.byte-buddy-agent,1.3.8,2016-04-06,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.8/byte-buddy-agent-1.3.8.jar,,,,,,,,1.3.9
56903,net.bytebuddy.byte-buddy-agent,1.3.9,2016-04-07,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.9/byte-buddy-agent-1.3.9.jar,,,,,,,,1.3.10
56904,net.bytebuddy.byte-buddy-agent,1.3.10,2016-04-07,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.10/byte-buddy-agent-1.3.10.jar,,,,,,,,1.3.11
56883,net.bytebuddy.byte-buddy-agent,1.3.11,2016-04-12,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.11/byte-buddy-agent-1.3.11.jar,,,,,,,,1.3.12
56882,net.bytebuddy.byte-buddy-agent,1.3.12,2016-04-12,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.12/byte-buddy-agent-1.3.12.jar,,,,,,,,1.3.13
56881,net.bytebuddy.byte-buddy-agent,1.3.13,2016-04-16,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.13/byte-buddy-agent-1.3.13.jar,,,,,,,,1.3.14
56869,net.bytebuddy.byte-buddy-agent,1.3.14,2016-04-18,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.14/byte-buddy-agent-1.3.14.jar,,,,,,,,1.3.15
56860,net.bytebuddy.byte-buddy-agent,1.3.15,2016-04-19,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.15/byte-buddy-agent-1.3.15.jar,,,,,,,,1.3.16
56861,net.bytebuddy.byte-buddy-agent,1.3.16,2016-04-21,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.16/byte-buddy-agent-1.3.16.jar,,,,,,,,1.3.17
56862,net.bytebuddy.byte-buddy-agent,1.3.17,2016-04-23,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.17/byte-buddy-agent-1.3.17.jar,,,,,,,,1.3.18
56863,net.bytebuddy.byte-buddy-agent,1.3.18,2016-04-25,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.18/byte-buddy-agent-1.3.18.jar,,,,,,,,1.3.19
56864,net.bytebuddy.byte-buddy-agent,1.3.19,2016-04-29,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.19/byte-buddy-agent-1.3.19.jar,,,,,,,,1.3.20
56865,net.bytebuddy.byte-buddy-agent,1.3.20,2016-05-30,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.3.20/byte-buddy-agent-1.3.20.jar,,,,,,,,1.4.0
56866,net.bytebuddy.byte-buddy-agent,1.4.0,2016-06-02,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.0/byte-buddy-agent-1.4.0.jar,,,,,,,,1.4.1
56867,net.bytebuddy.byte-buddy-agent,1.4.1,2016-06-07,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.1/byte-buddy-agent-1.4.1.jar,,,,,,,,1.4.2
56868,net.bytebuddy.byte-buddy-agent,1.4.2,2016-06-16,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.2/byte-buddy-agent-1.4.2.jar,,,,,,,,1.4.3
56870,net.bytebuddy.byte-buddy-agent,1.4.3,2016-06-17,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.3/byte-buddy-agent-1.4.3.jar,,,,,,,,1.4.4
56880,net.bytebuddy.byte-buddy-agent,1.4.4,2016-06-23,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.4/byte-buddy-agent-1.4.4.jar,,,,,,,,1.4.5
56871,net.bytebuddy.byte-buddy-agent,1.4.5,2016-06-24,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.5/byte-buddy-agent-1.4.5.jar,,,,,,,,1.4.6
56872,net.bytebuddy.byte-buddy-agent,1.4.6,2016-06-30,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.6/byte-buddy-agent-1.4.6.jar,,,,,,,,1.4.7
56873,net.bytebuddy.byte-buddy-agent,1.4.7,2016-07-06,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.7/byte-buddy-agent-1.4.7.jar,,,,,,,,1.4.8
56874,net.bytebuddy.byte-buddy-agent,1.4.8,2016-07-06,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.8/byte-buddy-agent-1.4.8.jar,,,,,,,,1.4.9
56875,net.bytebuddy.byte-buddy-agent,1.4.9,2016-07-11,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.9/byte-buddy-agent-1.4.9.jar,,,,,,,,1.4.10
56876,net.bytebuddy.byte-buddy-agent,1.4.10,2016-07-15,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.10/byte-buddy-agent-1.4.10.jar,,,,,,,,1.4.11
56877,net.bytebuddy.byte-buddy-agent,1.4.11,2016-07-15,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.11/byte-buddy-agent-1.4.11.jar,,,,,,,,1.4.12
56878,net.bytebuddy.byte-buddy-agent,1.4.12,2016-07-15,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.12/byte-buddy-agent-1.4.12.jar,,,,,,,,1.4.13
56879,net.bytebuddy.byte-buddy-agent,1.4.13,2016-07-18,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.13/byte-buddy-agent-1.4.13.jar,,,,,,,,1.4.14
56905,net.bytebuddy.byte-buddy-agent,1.4.14,2016-07-21,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.14/byte-buddy-agent-1.4.14.jar,,,,,,,,1.4.15
56907,net.bytebuddy.byte-buddy-agent,1.4.15,2016-07-25,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.15/byte-buddy-agent-1.4.15.jar,,,,,,,,1.4.16
56954,net.bytebuddy.byte-buddy-agent,1.4.16,2016-07-28,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.16/byte-buddy-agent-1.4.16.jar,,,,,,,,1.4.17
56908,net.bytebuddy.byte-buddy-agent,1.4.17,2016-08-01,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.17/byte-buddy-agent-1.4.17.jar,,,,,,,,1.4.18
56933,net.bytebuddy.byte-buddy-agent,1.4.18,2016-08-08,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.18/byte-buddy-agent-1.4.18.jar,,,,,,,,1.4.19
56934,net.bytebuddy.byte-buddy-agent,1.4.19,2016-08-14,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.19/byte-buddy-agent-1.4.19.jar,,,,,,,,1.4.20
56935,net.bytebuddy.byte-buddy-agent,1.4.20,2016-08-23,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.20/byte-buddy-agent-1.4.20.jar,,,,,,,,1.4.21
56936,net.bytebuddy.byte-buddy-agent,1.4.21,2016-08-29,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.21/byte-buddy-agent-1.4.21.jar,,,,,,,,1.4.22
56937,net.bytebuddy.byte-buddy-agent,1.4.22,2016-09-02,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.22/byte-buddy-agent-1.4.22.jar,,,,,,,,1.4.23
56938,net.bytebuddy.byte-buddy-agent,1.4.23,2016-09-14,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.23/byte-buddy-agent-1.4.23.jar,,,,,,,,1.4.24
56939,net.bytebuddy.byte-buddy-agent,1.4.24,2016-09-15,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.24/byte-buddy-agent-1.4.24.jar,,,,,,,,1.4.25
56940,net.bytebuddy.byte-buddy-agent,1.4.25,2016-09-20,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.25/byte-buddy-agent-1.4.25.jar,,,,,,,,1.4.26
56941,net.bytebuddy.byte-buddy-agent,1.4.26,2016-09-21,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.26/byte-buddy-agent-1.4.26.jar,,,,,,,,1.4.27
56942,net.bytebuddy.byte-buddy-agent,1.4.27,2016-09-29,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.27/byte-buddy-agent-1.4.27.jar,,,,,,,,1.4.28
56943,net.bytebuddy.byte-buddy-agent,1.4.28,2016-09-30,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.28/byte-buddy-agent-1.4.28.jar,,,,,,,,1.4.29
56944,net.bytebuddy.byte-buddy-agent,1.4.29,2016-10-03,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.29/byte-buddy-agent-1.4.29.jar,,,,,,,,1.4.30
56945,net.bytebuddy.byte-buddy-agent,1.4.30,2016-10-04,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.30/byte-buddy-agent-1.4.30.jar,,,,,,,,1.4.31
56946,net.bytebuddy.byte-buddy-agent,1.4.31,2016-10-06,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.31/byte-buddy-agent-1.4.31.jar,,,,,,,,1.4.32
56947,net.bytebuddy.byte-buddy-agent,1.4.32,2016-10-11,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.32/byte-buddy-agent-1.4.32.jar,,,,,,,,1.4.33
56948,net.bytebuddy.byte-buddy-agent,1.4.33,2016-10-17,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.4.33/byte-buddy-agent-1.4.33.jar,,,,,,,,1.5.0
56949,net.bytebuddy.byte-buddy-agent,1.5.0,2016-10-25,https://repo1.maven.org/maven2/net/bytebuddy/byte-buddy-agent/1.5.0/byte-buddy-agent-1.5.0.jar,,,,,,,,1.5.1
