,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
1543,net.minidev.json-smart,1.0.6.3,2011-05-30,https://repo1.maven.org/maven2/net/minidev/json-smart/1.0.6.3/json-smart-1.0.6.3.jar,,,,,,,,1.0.8
1544,net.minidev.json-smart,1.0.8,2011-07-05,https://repo1.maven.org/maven2/net/minidev/json-smart/1.0.8/json-smart-1.0.8.jar,,,,,,,,1.0.9
1545,net.minidev.json-smart,1.0.9,2011-07-29,https://repo1.maven.org/maven2/net/minidev/json-smart/1.0.9/json-smart-1.0.9.jar,,,,,,,,1.0.9.1
1546,net.minidev.json-smart,1.0.9.1,2011-12-05,https://repo1.maven.org/maven2/net/minidev/json-smart/1.0.9-1/json-smart-1.0.9-1.jar,,,,,,,,1.1
1547,net.minidev.json-smart,1.1,2012-02-18,https://repo1.maven.org/maven2/net/minidev/json-smart/1.1/json-smart-1.1.jar,,,,,,,,1.1.1
1548,net.minidev.json-smart,1.1.1,2012-04-03,https://repo1.maven.org/maven2/net/minidev/json-smart/1.1.1/json-smart-1.1.1.jar,,,,,,,,1.2
1549,net.minidev.json-smart,1.2,2013-08-04,https://repo1.maven.org/maven2/net/minidev/json-smart/1.2/json-smart-1.2.jar,,,,,,,,1.3
1550,net.minidev.json-smart,1.3,2014-08-12,https://repo1.maven.org/maven2/net/minidev/json-smart/1.3/json-smart-1.3.jar,,,,,,,,1.3.1
1551,net.minidev.json-smart,1.3.1,2014-10-19,https://repo1.maven.org/maven2/net/minidev/json-smart/1.3.1/json-smart-1.3.1.jar,,,,,,,,1.3.2
1552,net.minidev.json-smart,1.3.2,2021-04-04,https://repo1.maven.org/maven2/net/minidev/json-smart/1.3.2/json-smart-1.3.2.jar,,,,,,,,1.3.3
1553,net.minidev.json-smart,1.3.3,2021-04-17,https://repo1.maven.org/maven2/net/minidev/json-smart/1.3.3/json-smart-1.3.3.jar,,,,,,,,2.0
1554,net.minidev.json-smart,2.0,2014-08-12,https://repo1.maven.org/maven2/net/minidev/json-smart/2.0/json-smart-2.0.jar,,,,,,,,2.1.0
1555,net.minidev.json-smart,2.1.0,2014-10-19,https://repo1.maven.org/maven2/net/minidev/json-smart/2.1.0/json-smart-2.1.0.jar,,,,,,,,2.1.1
1556,net.minidev.json-smart,2.1.1,2014-12-12,https://repo1.maven.org/maven2/net/minidev/json-smart/2.1.1/json-smart-2.1.1.jar,,,,,,,,2.2
1557,net.minidev.json-smart,2.2,2015-07-29,https://repo1.maven.org/maven2/net/minidev/json-smart/2.2/json-smart-2.2.jar,,,,,,,,2.2.1
1558,net.minidev.json-smart,2.2.1,2015-11-08,https://repo1.maven.org/maven2/net/minidev/json-smart/2.2.1/json-smart-2.2.1.jar,,,,,,,,2.3
1559,net.minidev.json-smart,2.3,2017-03-26,https://repo1.maven.org/maven2/net/minidev/json-smart/2.3/json-smart-2.3.jar,,,,,,,,2.3.1
1560,net.minidev.json-smart,2.3.1,2021-05-02,https://repo1.maven.org/maven2/net/minidev/json-smart/2.3.1/json-smart-2.3.1.jar,,,,,,,,2.4.1
1561,net.minidev.json-smart,2.4.1,2021-04-03,https://repo1.maven.org/maven2/net/minidev/json-smart/2.4.1/json-smart-2.4.1.jar,,,,,,,,2.4.2
1563,net.minidev.json-smart,2.4.2,2021-04-04,https://repo1.maven.org/maven2/net/minidev/json-smart/2.4.2/json-smart-2.4.2.jar,,,,,,,,2.4.4
1591,net.minidev.json-smart,2.4.4,2021-04-17,https://repo1.maven.org/maven2/net/minidev/json-smart/2.4.4/json-smart-2.4.4.jar,,,,,,,,2.4.5
1601,net.minidev.json-smart,2.4.5,2021-04-19,https://repo1.maven.org/maven2/net/minidev/json-smart/2.4.5/json-smart-2.4.5.jar,,,,,,,,2.4.6
1592,net.minidev.json-smart,2.4.6,2021-04-23,https://repo1.maven.org/maven2/net/minidev/json-smart/2.4.6/json-smart-2.4.6.jar,,,,,,,,2.4.7
1603,net.minidev.json-smart,2.4.7,2021-05-02,https://repo1.maven.org/maven2/net/minidev/json-smart/2.4.7/json-smart-2.4.7.jar,,,,,,,,2.4.8
1604,net.minidev.json-smart,2.4.8,2022-02-13,https://repo1.maven.org/maven2/net/minidev/json-smart/2.4.8/json-smart-2.4.8.jar,,,,,,,,2.4.9
1605,net.minidev.json-smart,2.4.9,2023-03-07,https://repo1.maven.org/maven2/net/minidev/json-smart/2.4.9/json-smart-2.4.9.jar,,,,,,,,2.4.10
1606,net.minidev.json-smart,2.4.10,2023-03-17,https://repo1.maven.org/maven2/net/minidev/json-smart/2.4.10/json-smart-2.4.10.jar,,,,,,,,2.4.11
1607,net.minidev.json-smart,2.4.11,2023-05-18,https://repo1.maven.org/maven2/net/minidev/json-smart/2.4.11/json-smart-2.4.11.jar,,,,,,,,2.5.0
1608,net.minidev.json-smart,2.5.0,2023-07-09,https://repo1.maven.org/maven2/net/minidev/json-smart/2.5.0/json-smart-2.5.0.jar,,,,,,,,2.5.1
1609,net.minidev.json-smart,2.5.1,2024-03-21,https://repo1.maven.org/maven2/net/minidev/json-smart/2.5.1/json-smart-2.5.1.jar,,,,,,,,2.5.2
1610,net.minidev.json-smart,2.5.2,2025-02-12,https://repo1.maven.org/maven2/net/minidev/json-smart/2.5.2/json-smart-2.5.2.jar,,,,,,,,
