,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
80696,net.sourceforge.argparse4j.argparse4j,0.1.0,2011-11-29,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.1.0/argparse4j-0.1.0.jar,,,,,,,,0.2.0
80697,net.sourceforge.argparse4j.argparse4j,0.2.0,2011-12-06,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.2.0/argparse4j-0.2.0.jar,,,,,,,,0.2.1
80698,net.sourceforge.argparse4j.argparse4j,0.2.1,2011-12-18,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.2.1/argparse4j-0.2.1.jar,,,,,,,,0.2.2
80699,net.sourceforge.argparse4j.argparse4j,0.2.2,2012-10-07,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.2.2/argparse4j-0.2.2.jar,,,,,,,,0.3.0
80700,net.sourceforge.argparse4j.argparse4j,0.3.0,2013-01-13,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.3.0/argparse4j-0.3.0.jar,,,,,,,,0.3.1
80701,net.sourceforge.argparse4j.argparse4j,0.3.1,2013-01-26,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.3.1/argparse4j-0.3.1.jar,,,,,,,,0.3.2
80702,net.sourceforge.argparse4j.argparse4j,0.3.2,2013-02-10,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.3.2/argparse4j-0.3.2.jar,,,,,,,,0.4.0
80703,net.sourceforge.argparse4j.argparse4j,0.4.0,2013-02-21,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.4.0/argparse4j-0.4.0.jar,,,,,,,,0.4.1
80704,net.sourceforge.argparse4j.argparse4j,0.4.1,2013-05-21,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.4.1/argparse4j-0.4.1.jar,,,,,,,,0.4.2
80705,net.sourceforge.argparse4j.argparse4j,0.4.2,2013-11-24,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.4.2/argparse4j-0.4.2.jar,,,,,,,,0.4.3
80706,net.sourceforge.argparse4j.argparse4j,0.4.3,2014-01-05,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.4.3/argparse4j-0.4.3.jar,,,,,,,,0.4.4
80688,net.sourceforge.argparse4j.argparse4j,0.4.4,2014-08-29,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.4.4/argparse4j-0.4.4.jar,,,,,,,,0.5.0
80707,net.sourceforge.argparse4j.argparse4j,0.5.0,2015-03-08,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.5.0/argparse4j-0.5.0.jar,,,,,,,,0.6.0
80687,net.sourceforge.argparse4j.argparse4j,0.6.0,2015-06-20,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.6.0/argparse4j-0.6.0.jar,,,,,,,,0.7.0
80686,net.sourceforge.argparse4j.argparse4j,0.7.0,2015-12-28,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.7.0/argparse4j-0.7.0.jar,,,,,,,,0.8.0
80671,net.sourceforge.argparse4j.argparse4j,0.8.0,2017-09-17,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.8.0/argparse4j-0.8.0.jar,,,,,,,,0.8.1
80672,net.sourceforge.argparse4j.argparse4j,0.8.1,2017-09-18,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.8.1/argparse4j-0.8.1.jar,,,,,,,,0.9.0
80673,net.sourceforge.argparse4j.argparse4j,0.9.0,2021-04-09,https://repo1.maven.org/maven2/net/sourceforge/argparse4j/argparse4j/0.9.0/argparse4j-0.9.0.jar,,,,,,,,
