,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
74143,net.sourceforge.cobertura.cobertura,1.9,2007-06-29,https://repo1.maven.org/maven2/net/sourceforge/cobertura/cobertura/1.9/cobertura-1.9.jar,10,,,,,,,1.9.1
74144,net.sourceforge.cobertura.cobertura,1.9.1,2009-05-07,https://repo1.maven.org/maven2/net/sourceforge/cobertura/cobertura/1.9.1/cobertura-1.9.1.jar,9,0,1,0,0,0,0,1.9.1.1
74145,net.sourceforge.cobertura.cobertura,1.9.1.1,2009-05-21,https://repo1.maven.org/maven2/net/sourceforge/cobertura/cobertura/1.9.1.1/cobertura-1.9.1.1.jar,9,0,0,0,0,0,0,1.9.2
74146,net.sourceforge.cobertura.cobertura,1.9.2,2009-06-25,https://repo1.maven.org/maven2/net/sourceforge/cobertura/cobertura/1.9.2/cobertura-1.9.2.jar,9,0,0,0,0,0,0,1.9.3
74147,net.sourceforge.cobertura.cobertura,1.9.3,2009-09-17,https://repo1.maven.org/maven2/net/sourceforge/cobertura/cobertura/1.9.3/cobertura-1.9.3.jar,9,0,0,0,0,0,0,1.9.4
74148,net.sourceforge.cobertura.cobertura,1.9.4,2010-03-01,https://repo1.maven.org/maven2/net/sourceforge/cobertura/cobertura/1.9.4/cobertura-1.9.4.jar,9,0,0,0,0,0,0,1.9.4.1
74149,net.sourceforge.cobertura.cobertura,1.9.4.1,2010-03-03,https://repo1.maven.org/maven2/net/sourceforge/cobertura/cobertura/1.9.4.1/cobertura-1.9.4.1.jar,9,0,0,0,0,0,0,2.0
74150,net.sourceforge.cobertura.cobertura,2.0,2013-06-04,https://repo1.maven.org/maven2/net/sourceforge/cobertura/cobertura/2.0/cobertura-2.0.jar,9,0,0,0,0,0,0,2.0.1
74151,net.sourceforge.cobertura.cobertura,2.0.1,2013-06-26,https://repo1.maven.org/maven2/net/sourceforge/cobertura/cobertura/2.0.1/cobertura-2.0.1.jar,9,0,0,0,0,0,0,2.0.2
74152,net.sourceforge.cobertura.cobertura,2.0.2,2013-07-05,https://repo1.maven.org/maven2/net/sourceforge/cobertura/cobertura/2.0.2/cobertura-2.0.2.jar,9,0,0,0,0,0,0,2.0.3
74153,net.sourceforge.cobertura.cobertura,2.0.3,2013-08-12,https://repo1.maven.org/maven2/net/sourceforge/cobertura/cobertura/2.0.3/cobertura-2.0.3.jar,15,4,0,0,0,2,0,2.1.1
74154,net.sourceforge.cobertura.cobertura,2.1.1,2015-02-26,https://repo1.maven.org/maven2/net/sourceforge/cobertura/cobertura/2.1.1/cobertura-2.1.1.jar,: 15,0,0,0,0,0,0,
