,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
93606,org.antlr.antlr4-runtime,3.0,2007-06-11,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.0/antlr-runtime-3.0.jar,1,,,,,,,3.0.1
93607,org.antlr.antlr4-runtime,3.0.1,2007-11-16,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.0.1/antlr-runtime-3.0.1.jar,1,0,0,0,0,0,0,3.1
93590,org.antlr.antlr4-runtime,3.1,2008-10-28,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.1/antlr-runtime-3.1.jar,1,0,0,0,0,0,0,3.1.1
93589,org.antlr.antlr4-runtime,3.1.1,2008-10-28,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.1.1/antlr-runtime-3.1.1.jar,1,0,0,0,0,0,0,3.1.2
93588,org.antlr.antlr4-runtime,3.1.2,2009-02-22,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.1.2/antlr-runtime-3.1.2.jar,1,0,0,0,0,0,0,3.1.2.1
93577,org.antlr.antlr4-runtime,3.1.2.1,2009-03-01,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.1.2-1/antlr-runtime-3.1.2-1.jar,1,0,0,0,0,0,0,3.1.3
93569,org.antlr.antlr4-runtime,3.1.3,2009-03-18,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.1.3/antlr-runtime-3.1.3.jar,1,0,0,0,0,0,0,3.2
93570,org.antlr.antlr4-runtime,3.2,2009-09-23,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.2/antlr-runtime-3.2.jar,1,0,0,0,0,0,0,3.3
93571,org.antlr.antlr4-runtime,3.3,2010-11-30,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.3/antlr-runtime-3.3.jar,1,0,0,0,0,0,0,3.4
93572,org.antlr.antlr4-runtime,3.4,2011-07-19,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.4/antlr-runtime-3.4.jar,1,0,0,0,0,0,0,3.5
93573,org.antlr.antlr4-runtime,3.5,2013-01-05,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.5/antlr-runtime-3.5.jar,1,0,0,0,0,0,0,3.5.1
93574,org.antlr.antlr4-runtime,3.5.1,2013-09-27,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.5.1/antlr-runtime-3.5.1.jar,1,0,0,0,0,0,0,3.5.2
93521,org.antlr.antlr4-runtime,3.5.2,2014-03-25,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.5.2/antlr-runtime-3.5.2.jar,1,0,0,0,0,0,0,3.5.3
93503,org.antlr.antlr4-runtime,3.5.3,2022-04-10,https://repo1.maven.org/maven2/org/antlr/antlr-runtime/3.5.3/antlr-runtime-3.5.3.jar,1,0,0,0,0,0,0,4.0
28147,org.antlr.antlr4-runtime,4.0,2013-01-21,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.0/antlr4-runtime-4.0.jar,1,0,0,0,0,1,1,4.1
28148,org.antlr.antlr4-runtime,4.1,2013-06-30,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.1/antlr4-runtime-4.1.jar,1,0,0,0,0,0,0,4.2
28149,org.antlr.antlr4-runtime,4.2,2014-02-04,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.2/antlr4-runtime-4.2.jar,2,0,0,0,0,1,0,4.2.1
28150,org.antlr.antlr4-runtime,4.2.1,2014-03-25,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.2.1/antlr4-runtime-4.2.1.jar,2,0,0,0,0,0,0,4.2.2
28151,org.antlr.antlr4-runtime,4.2.2,2014-04-07,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.2.2/antlr4-runtime-4.2.2.jar,2,0,0,0,0,0,0,4.3
28152,org.antlr.antlr4-runtime,4.3,2014-06-19,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.3/antlr4-runtime-4.3.jar,2,0,0,0,0,0,0,4.5
28153,org.antlr.antlr4-runtime,4.5,2015-01-24,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.5/antlr4-runtime-4.5.jar,3,1,0,0,0,0,0,4.5.1
28154,org.antlr.antlr4-runtime,4.5.1,2015-07-15,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.5.1/antlr4-runtime-4.5.1.jar,3,0,0,0,0,0,0,4.5.1.1
28155,org.antlr.antlr4-runtime,4.5.1.1,2015-08-20,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.5.1-1/antlr4-runtime-4.5.1-1.jar,3,0,0,0,0,0,0,4.5.2
28156,org.antlr.antlr4-runtime,4.5.2,2016-01-29,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.5.2/antlr4-runtime-4.5.2.jar,3,0,0,0,0,0,0,4.5.2.1
28157,org.antlr.antlr4-runtime,4.5.2.1,2016-01-30,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.5.2-1/antlr4-runtime-4.5.2-1.jar,3,0,0,0,0,0,0,4.5.3
28158,org.antlr.antlr4-runtime,4.5.3,2016-03-30,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.5.3/antlr4-runtime-4.5.3.jar,3,0,0,0,0,0,0,4.6
28159,org.antlr.antlr4-runtime,4.6,2016-12-15,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.6/antlr4-runtime-4.6.jar,3,0,0,0,0,0,0,4.7
28160,org.antlr.antlr4-runtime,4.7,2017-03-30,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.7/antlr4-runtime-4.7.jar,3,0,0,0,0,0,0,4.7.1
28161,org.antlr.antlr4-runtime,4.7.1,2017-12-09,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.7.1/antlr4-runtime-4.7.1.jar,3,0,0,0,0,0,0,4.7.2
28162,org.antlr.antlr4-runtime,4.7.2,2018-12-18,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.7.2/antlr4-runtime-4.7.2.jar,3,0,0,0,0,0,0,4.8
28163,org.antlr.antlr4-runtime,4.8,2020-01-16,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.8/antlr4-runtime-4.8.jar,3,0,0,0,0,0,0,4.8.1
28164,org.antlr.antlr4-runtime,4.8.1,2020-01-18,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.8-1/antlr4-runtime-4.8-1.jar,3,0,0,0,0,0,0,4.9
28142,org.antlr.antlr4-runtime,4.9,2020-11-24,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.9/antlr4-runtime-4.9.jar,3,0,0,0,0,0,0,4.9.1
28165,org.antlr.antlr4-runtime,4.9.1,2021-01-05,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.9.1/antlr4-runtime-4.9.1.jar,3,0,0,0,0,0,0,4.9.2
28141,org.antlr.antlr4-runtime,4.9.2,2021-03-11,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.9.2/antlr4-runtime-4.9.2.jar,3,0,0,0,0,0,0,4.9.3
28139,org.antlr.antlr4-runtime,4.9.3,2021-11-06,https://repo1.maven.org/maven2/org/antlr/antlr4-runtime/4.9.3/antlr4-runtime-4.9.3.jar,3,0,0,0,0,0,0,4.10
