,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
40744,org.apache.activemq.activemq-client,5.8.0,2013-02-06,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.8.0/activemq-client-5.8.0.jar,11,,,,,,,5.9.0
40745,org.apache.activemq.activemq-client,5.9.0,2013-10-14,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.9.0/activemq-client-5.9.0.jar,11,0,0,0,0,0,0,5.9.1
40746,org.apache.activemq.activemq-client,5.9.1,2014-04-01,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.9.1/activemq-client-5.9.1.jar,11,0,0,0,0,0,0,5.10.0
40747,org.apache.activemq.activemq-client,5.10.0,2014-06-05,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.10.0/activemq-client-5.10.0.jar,11,0,0,0,0,0,0,5.10.1
40748,org.apache.activemq.activemq-client,5.10.1,2015-01-15,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.10.1/activemq-client-5.10.1.jar,11,0,0,0,0,0,0,5.10.2
40749,org.apache.activemq.activemq-client,5.10.2,2015-02-13,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.10.2/activemq-client-5.10.2.jar,11,0,0,0,0,0,0,5.11.0
40750,org.apache.activemq.activemq-client,5.11.0,2015-01-30,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.11.0/activemq-client-5.11.0.jar,11,0,0,0,0,0,0,5.11.1
40751,org.apache.activemq.activemq-client,5.11.1,2015-02-13,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.11.1/activemq-client-5.11.1.jar,11,0,0,0,0,0,0,5.11.2
40752,org.apache.activemq.activemq-client,5.11.2,2015-08-06,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.11.2/activemq-client-5.11.2.jar,11,0,0,0,0,0,0,5.11.3
40753,org.apache.activemq.activemq-client,5.11.3,2015-10-29,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.11.3/activemq-client-5.11.3.jar,11,0,0,0,0,0,0,5.11.4
40754,org.apache.activemq.activemq-client,5.11.4,2016-02-03,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.11.4/activemq-client-5.11.4.jar,11,0,0,0,0,0,0,5.12.0
40755,org.apache.activemq.activemq-client,5.12.0,2015-08-10,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.12.0/activemq-client-5.12.0.jar,11,0,0,0,0,0,0,5.12.1
40756,org.apache.activemq.activemq-client,5.12.1,2015-10-12,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.12.1/activemq-client-5.12.1.jar,11,0,0,0,0,0,0,5.12.2
40757,org.apache.activemq.activemq-client,5.12.2,2016-01-05,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.12.2/activemq-client-5.12.2.jar,11,0,0,0,0,0,0,5.12.3
40736,org.apache.activemq.activemq-client,5.12.3,2016-02-03,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.12.3/activemq-client-5.12.3.jar,11,0,0,0,0,0,0,5.13.0
40758,org.apache.activemq.activemq-client,5.13.0,2015-11-30,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.13.0/activemq-client-5.13.0.jar,11,0,0,0,0,0,0,5.13.1
40735,org.apache.activemq.activemq-client,5.13.1,2016-02-02,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.13.1/activemq-client-5.13.1.jar,11,0,0,0,0,0,0,5.13.2
40733,org.apache.activemq.activemq-client,5.13.2,2016-03-01,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.13.2/activemq-client-5.13.2.jar,11,0,0,0,0,0,0,5.13.3
40710,org.apache.activemq.activemq-client,5.13.3,2016-04-28,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.13.3/activemq-client-5.13.3.jar,11,0,0,0,0,0,0,5.13.4
40711,org.apache.activemq.activemq-client,5.13.4,2016-07-14,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.13.4/activemq-client-5.13.4.jar,11,0,0,0,0,0,0,5.13.5
40712,org.apache.activemq.activemq-client,5.13.5,2016-12-16,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.13.5/activemq-client-5.13.5.jar,11,0,0,0,0,0,0,5.14.0
40713,org.apache.activemq.activemq-client,5.14.0,2016-08-02,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.14.0/activemq-client-5.14.0.jar,11,0,0,0,0,0,0,5.14.1
40714,org.apache.activemq.activemq-client,5.14.1,2016-09-27,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.14.1/activemq-client-5.14.1.jar,11,0,0,0,0,0,0,5.14.2
40715,org.apache.activemq.activemq-client,5.14.2,2016-12-05,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.14.2/activemq-client-5.14.2.jar,11,0,0,0,0,0,0,5.14.3
40716,org.apache.activemq.activemq-client,5.14.3,2016-12-19,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.14.3/activemq-client-5.14.3.jar,11,0,0,0,0,0,0,5.14.4
40717,org.apache.activemq.activemq-client,5.14.4,2017-02-27,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.14.4/activemq-client-5.14.4.jar,11,0,0,0,0,0,0,5.14.5
40718,org.apache.activemq.activemq-client,5.14.5,2017-04-11,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.14.5/activemq-client-5.14.5.jar,11,0,0,0,0,0,0,5.15.0
40719,org.apache.activemq.activemq-client,5.15.0,2017-06-27,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.15.0/activemq-client-5.15.0.jar,11,0,0,0,0,0,0,5.15.1
40720,org.apache.activemq.activemq-client,5.15.1,2017-09-28,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.15.1/activemq-client-5.15.1.jar,11,0,0,0,0,0,0,5.15.2
40721,org.apache.activemq.activemq-client,5.15.2,2017-10-17,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.15.2/activemq-client-5.15.2.jar,11,0,0,0,0,0,0,5.15.3
40722,org.apache.activemq.activemq-client,5.15.3,2018-01-29,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.15.3/activemq-client-5.15.3.jar,11,0,0,0,0,0,0,5.15.4
40723,org.apache.activemq.activemq-client,5.15.4,2018-05-17,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.15.4/activemq-client-5.15.4.jar,11,0,0,0,0,0,0,5.15.5
40724,org.apache.activemq.activemq-client,5.15.5,2018-08-06,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.15.5/activemq-client-5.15.5.jar,11,0,0,0,0,0,0,5.15.6
40725,org.apache.activemq.activemq-client,5.15.6,2018-09-07,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.15.6/activemq-client-5.15.6.jar,11,0,0,0,0,0,0,5.15.7
40726,org.apache.activemq.activemq-client,5.15.7,2018-10-27,https://repo1.maven.org/maven2/org/apache/activemq/activemq-client/5.15.7/activemq-client-5.15.7.jar,11,0,0,0,0,0,0,5.15.8
