,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
12958,org.apache.avro.avro-ipc,1.5.0,2011-03-08,https://repo1.maven.org/maven2/org/apache/avro/avro-ipc/1.5.0/avro-ipc-1.5.0.jar,,,,,,,,1.5.1
12959,org.apache.avro.avro-ipc,1.5.1,2011-04-29,https://repo1.maven.org/maven2/org/apache/avro/avro-ipc/1.5.1/avro-ipc-1.5.1.jar,,,,,,,,1.5.2
12960,org.apache.avro.avro-ipc,1.5.2,2011-07-28,https://repo1.maven.org/maven2/org/apache/avro/avro-ipc/1.5.2/avro-ipc-1.5.2.jar,,,,,,,,1.5.3
12961,org.apache.avro.avro-ipc,1.5.3,2011-08-25,https://repo1.maven.org/maven2/org/apache/avro/avro-ipc/1.5.3/avro-ipc-1.5.3.jar,,,,,,,,1.5.4
12962,org.apache.avro.avro-ipc,1.5.4,2011-09-07,https://repo1.maven.org/maven2/org/apache/avro/avro-ipc/1.5.4/avro-ipc-1.5.4.jar,,,,,,,,1.6.0
12963,org.apache.avro.avro-ipc,1.6.0,2011-10-28,https://repo1.maven.org/maven2/org/apache/avro/avro-ipc/1.6.0/avro-ipc-1.6.0.jar,,,,,,,,1.6.1
12941,org.apache.avro.avro-ipc,1.6.1,2011-11-04,https://repo1.maven.org/maven2/org/apache/avro/avro-ipc/1.6.1/avro-ipc-1.6.1.jar,,,,,,,,1.6.2
12964,org.apache.avro.avro-ipc,1.6.2,2012-02-09,https://repo1.maven.org/maven2/org/apache/avro/avro-ipc/1.6.2/avro-ipc-1.6.2.jar,,,,,,,,1.6.3
12940,org.apache.avro.avro-ipc,1.6.3,2012-03-02,https://repo1.maven.org/maven2/org/apache/avro/avro-ipc/1.6.3/avro-ipc-1.6.3.jar,,,,,,,,1.7.0
12938,org.apache.avro.avro-ipc,1.7.0,2012-06-07,https://repo1.maven.org/maven2/org/apache/avro/avro-ipc/1.7.0/avro-ipc-1.7.0.jar,,,,,,,,1.7.1
12916,org.apache.avro.avro-ipc,1.7.1,2012-07-12,https://repo1.maven.org/maven2/org/apache/avro/avro-ipc/1.7.1/avro-ipc-1.7.1.jar,,,,,,,,1.7.2
