,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
45544,org.apache.avro.avro,1.4.0,2010-09-03,https://repo1.maven.org/maven2/org/apache/avro/avro/1.4.0/avro-1.4.0.jar,1,,,,,,,1.4.1
45545,org.apache.avro.avro,1.4.1,2010-10-15,https://repo1.maven.org/maven2/org/apache/avro/avro/1.4.1/avro-1.4.1.jar,,0,0,0,0,0,0,1.5.0
45546,org.apache.avro.avro,1.5.0,2011-03-08,https://repo1.maven.org/maven2/org/apache/avro/avro/1.5.0/avro-1.5.0.jar,,,,,,,,1.5.1
45547,org.apache.avro.avro,1.5.1,2011-04-29,https://repo1.maven.org/maven2/org/apache/avro/avro/1.5.1/avro-1.5.1.jar,,,,,,,,1.5.2
45548,org.apache.avro.avro,1.5.2,2011-07-28,https://repo1.maven.org/maven2/org/apache/avro/avro/1.5.2/avro-1.5.2.jar,,,,,,,,1.5.3
45549,org.apache.avro.avro,1.5.3,2011-08-25,https://repo1.maven.org/maven2/org/apache/avro/avro/1.5.3/avro-1.5.3.jar,,,,,,,,1.5.4
45550,org.apache.avro.avro,1.5.4,2011-09-07,https://repo1.maven.org/maven2/org/apache/avro/avro/1.5.4/avro-1.5.4.jar,,,,,,,,1.6.0
45552,org.apache.avro.avro,1.6.0,2011-10-28,https://repo1.maven.org/maven2/org/apache/avro/avro/1.6.0/avro-1.6.0.jar,,,,,,,,1.6.1
45560,org.apache.avro.avro,1.6.1,2011-11-04,https://repo1.maven.org/maven2/org/apache/avro/avro/1.6.1/avro-1.6.1.jar,,,,,,,,1.6.2
45584,org.apache.avro.avro,1.6.2,2012-02-09,https://repo1.maven.org/maven2/org/apache/avro/avro/1.6.2/avro-1.6.2.jar,,,,,,,,1.6.3
45561,org.apache.avro.avro,1.6.3,2012-03-02,https://repo1.maven.org/maven2/org/apache/avro/avro/1.6.3/avro-1.6.3.jar,,,,,,,,1.7.0
45587,org.apache.avro.avro,1.7.0,2012-06-07,https://repo1.maven.org/maven2/org/apache/avro/avro/1.7.0/avro-1.7.0.jar,,,,,,,,1.7.1
45588,org.apache.avro.avro,1.7.1,2012-07-12,https://repo1.maven.org/maven2/org/apache/avro/avro/1.7.1/avro-1.7.1.jar,,,,,,,,1.7.2
45589,org.apache.avro.avro,1.7.2,2012-09-18,https://repo1.maven.org/maven2/org/apache/avro/avro/1.7.2/avro-1.7.2.jar,,,,,,,,1.7.3
45590,org.apache.avro.avro,1.7.3,2012-12-03,https://repo1.maven.org/maven2/org/apache/avro/avro/1.7.3/avro-1.7.3.jar,,,,,,,,1.7.4
45591,org.apache.avro.avro,1.7.4,2013-02-22,https://repo1.maven.org/maven2/org/apache/avro/avro/1.7.4/avro-1.7.4.jar,,,,,,,,1.7.5
45592,org.apache.avro.avro,1.7.5,2013-08-08,https://repo1.maven.org/maven2/org/apache/avro/avro/1.7.5/avro-1.7.5.jar,,,,,,,,1.7.6
45593,org.apache.avro.avro,1.7.6,2014-01-10,https://repo1.maven.org/maven2/org/apache/avro/avro/1.7.6/avro-1.7.6.jar,,,,,,,,1.7.7
45594,org.apache.avro.avro,1.7.7,2014-07-18,https://repo1.maven.org/maven2/org/apache/avro/avro/1.7.7/avro-1.7.7.jar,,,,,,,,1.8.0
45595,org.apache.avro.avro,1.8.0,2016-01-22,https://repo1.maven.org/maven2/org/apache/avro/avro/1.8.0/avro-1.8.0.jar,169,,,,,,,1.8.1
45596,org.apache.avro.avro,1.8.1,2016-05-17,https://repo1.maven.org/maven2/org/apache/avro/avro/1.8.1/avro-1.8.1.jar,169,0,0,0,0,0,0,1.8.2
45597,org.apache.avro.avro,1.8.2,2017-05-07,https://repo1.maven.org/maven2/org/apache/avro/avro/1.8.2/avro-1.8.2.jar,,0,0,0,0,13,0,1.9.0
45598,org.apache.avro.avro,1.9.0,2019-05-15,https://repo1.maven.org/maven2/org/apache/avro/avro/1.9.0/avro-1.9.0.jar,,,,,,,,1.9.1
45599,org.apache.avro.avro,1.9.1,2019-09-02,https://repo1.maven.org/maven2/org/apache/avro/avro/1.9.1/avro-1.9.1.jar,17,,,,,,,1.9.2
45600,org.apache.avro.avro,1.9.2,2020-02-12,https://repo1.maven.org/maven2/org/apache/avro/avro/1.9.2/avro-1.9.2.jar,17,0,0,0,0,0,0,1.10.0
45601,org.apache.avro.avro,1.10.0,2020-06-29,https://repo1.maven.org/maven2/org/apache/avro/avro/1.10.0/avro-1.10.0.jar,17,0,0,0,0,0,0,1.10.1
45602,org.apache.avro.avro,1.10.1,2020-12-03,https://repo1.maven.org/maven2/org/apache/avro/avro/1.10.1/avro-1.10.1.jar,17,0,0,0,0,0,0,1.10.2
45603,org.apache.avro.avro,1.10.2,2021-03-17,https://repo1.maven.org/maven2/org/apache/avro/avro/1.10.2/avro-1.10.2.jar,17,0,0,0,0,0,0,1.11.0
45604,org.apache.avro.avro,1.11.0,2021-10-27,https://repo1.maven.org/maven2/org/apache/avro/avro/1.11.0/avro-1.11.0.jar,17,0,0,0,0,0,0,1.11.1
45605,org.apache.avro.avro,1.11.1,2022-07-31,https://repo1.maven.org/maven2/org/apache/avro/avro/1.11.1/avro-1.11.1.jar,17,0,0,0,0,0,0,1.11.2
45606,org.apache.avro.avro,1.11.2,2023-07-03,https://repo1.maven.org/maven2/org/apache/avro/avro/1.11.2/avro-1.11.2.jar,17,0,0,0,0,0,0,1.11.3
45607,org.apache.avro.avro,1.11.3,2023-09-24,https://repo1.maven.org/maven2/org/apache/avro/avro/1.11.3/avro-1.11.3.jar,17,0,0,0,0,0,0,1.11.4
45608,org.apache.avro.avro,1.11.4,2024-09-24,https://repo1.maven.org/maven2/org/apache/avro/avro/1.11.4/avro-1.11.4.jar,17,0,0,0,0,0,0,1.12.0
45586,org.apache.avro.avro,1.12.0,2024-08-05,https://repo1.maven.org/maven2/org/apache/avro/avro/1.12.0/avro-1.12.0.jar,: 18,0,0,0,0,1,0,
