,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
103781,org.apache.bcel.bcel,5.0,2005-11-08,https://repo1.maven.org/maven2/bcel/bcel/5.0/bcel-5.0.jar,175,,,,,,,5.1
103782,org.apache.bcel.bcel,5.1,2010-10-20,https://repo1.maven.org/maven2/bcel/bcel/5.1/bcel-5.1.jar,243,19,0,44,0,5,0,5.2
56713,org.apache.bcel.bcel,5.2,2006-06-13,https://repo1.maven.org/maven2/org/apache/bcel/bcel/5.2/bcel-5.2.jar,244,1,0,0,0,0,0,6.0
56759,org.apache.bcel.bcel,6.0,2016-07-10,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.0/bcel-6.0.jar,2,0,24,0,218,0,0,6.1
56714,org.apache.bcel.bcel,6.1,2017-09-14,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.1/bcel-6.1.jar,2,0,0,0,0,0,0,6.2
56739,org.apache.bcel.bcel,6.2,2017-11-30,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.2/bcel-6.2.jar,2,0,0,0,0,0,0,6.3
56740,org.apache.bcel.bcel,6.3,2019-01-28,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.3/bcel-6.3.jar,2,0,0,0,0,0,0,6.3.1
56741,org.apache.bcel.bcel,6.3.1,2019-03-24,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.3.1/bcel-6.3.1.jar,2,0,0,0,0,0,0,6.4.0
56742,org.apache.bcel.bcel,6.4.0,2019-09-20,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.4.0/bcel-6.4.0.jar,2,0,0,0,0,0,0,6.4.1
56743,org.apache.bcel.bcel,6.4.1,2019-09-27,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.4.1/bcel-6.4.1.jar,2,0,0,0,0,0,0,6.5.0
56744,org.apache.bcel.bcel,6.5.0,2020-06-08,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.5.0/bcel-6.5.0.jar,2,0,0,0,0,0,0,6.6.0
56745,org.apache.bcel.bcel,6.6.0,2022-10-12,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.6.0/bcel-6.6.0.jar,2,0,0,0,0,0,0,6.6.1
56746,org.apache.bcel.bcel,6.6.1,2022-11-03,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.6.1/bcel-6.6.1.jar,2,0,0,0,0,0,0,6.7.0
56747,org.apache.bcel.bcel,6.7.0,2022-11-28,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.7.0/bcel-6.7.0.jar,2,0,0,0,0,0,0,6.8.0
56748,org.apache.bcel.bcel,6.8.0,2023-12-07,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.8.0/bcel-6.8.0.jar,2,0,0,0,0,0,0,6.8.1
56749,org.apache.bcel.bcel,6.8.1,2024-01-11,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.8.1/bcel-6.8.1.jar,2,0,0,0,0,0,0,6.8.2
56750,org.apache.bcel.bcel,6.8.2,2024-02-25,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.8.2/bcel-6.8.2.jar,2,0,0,0,0,0,0,6.9.0
56751,org.apache.bcel.bcel,6.9.0,2024-04-27,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.9.0/bcel-6.9.0.jar,2,0,0,0,0,0,0,6.10.0
56752,org.apache.bcel.bcel,6.10.0,2024-07-23,https://repo1.maven.org/maven2/org/apache/bcel/bcel/6.10.0/bcel-6.10.0.jar,: 2,0,0,0,0,0,0,
