,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
17368,org.apache.camel.camel-cdi,2.10.0,2012-06-27,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.10.0/camel-cdi-2.10.0.jar,,,,,,,,2.10.1
17369,org.apache.camel.camel-cdi,2.10.1,2012-08-24,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.10.1/camel-cdi-2.10.1.jar,,,,,,,,2.10.2
17370,org.apache.camel.camel-cdi,2.10.2,2012-10-11,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.10.2/camel-cdi-2.10.2.jar,,,,,,,,2.10.3
17371,org.apache.camel.camel-cdi,2.10.3,2012-12-03,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.10.3/camel-cdi-2.10.3.jar,,,,,,,,2.10.4
17372,org.apache.camel.camel-cdi,2.10.4,2013-02-22,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.10.4/camel-cdi-2.10.4.jar,,,,,,,,2.10.5
17373,org.apache.camel.camel-cdi,2.10.5,2013-06-22,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.10.5/camel-cdi-2.10.5.jar,,,,,,,,2.10.6
17374,org.apache.camel.camel-cdi,2.10.6,2013-07-03,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.10.6/camel-cdi-2.10.6.jar,,,,,,,,2.10.7
17375,org.apache.camel.camel-cdi,2.10.7,2013-09-15,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.10.7/camel-cdi-2.10.7.jar,,,,,,,,2.11.0
17376,org.apache.camel.camel-cdi,2.11.0,2013-04-17,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.11.0/camel-cdi-2.11.0.jar,,,,,,,,2.11.1
17377,org.apache.camel.camel-cdi,2.11.1,2013-07-10,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.11.1/camel-cdi-2.11.1.jar,,,,,,,,2.11.2
17378,org.apache.camel.camel-cdi,2.11.2,2013-09-19,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.11.2/camel-cdi-2.11.2.jar,,,,,,,,2.11.3
17379,org.apache.camel.camel-cdi,2.11.3,2014-01-07,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.11.3/camel-cdi-2.11.3.jar,,,,,,,,2.11.4
17380,org.apache.camel.camel-cdi,2.11.4,2014-02-15,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.11.4/camel-cdi-2.11.4.jar,,,,,,,,2.12.0
17381,org.apache.camel.camel-cdi,2.12.0,2013-09-04,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.12.0/camel-cdi-2.12.0.jar,,,,,,,,2.12.1
17382,org.apache.camel.camel-cdi,2.12.1,2013-09-18,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.12.1/camel-cdi-2.12.1.jar,,,,,,,,2.12.2
17383,org.apache.camel.camel-cdi,2.12.2,2013-11-23,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.12.2/camel-cdi-2.12.2.jar,,,,,,,,2.12.3
17384,org.apache.camel.camel-cdi,2.12.3,2014-02-21,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.12.3/camel-cdi-2.12.3.jar,,,,,,,,2.12.4
17385,org.apache.camel.camel-cdi,2.12.4,2014-07-01,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.12.4/camel-cdi-2.12.4.jar,,,,,,,,2.12.5
17386,org.apache.camel.camel-cdi,2.12.5,2014-10-24,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.12.5/camel-cdi-2.12.5.jar,,,,,,,,2.13.0
17387,org.apache.camel.camel-cdi,2.13.0,2014-03-17,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.13.0/camel-cdi-2.13.0.jar,,,,,,,,2.13.1
17388,org.apache.camel.camel-cdi,2.13.1,2014-05-07,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.13.1/camel-cdi-2.13.1.jar,,,,,,,,2.13.2
17389,org.apache.camel.camel-cdi,2.13.2,2014-07-01,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.13.2/camel-cdi-2.13.2.jar,,,,,,,,2.13.3
17366,org.apache.camel.camel-cdi,2.13.3,2014-10-28,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.13.3/camel-cdi-2.13.3.jar,,,,,,,,2.13.4
17390,org.apache.camel.camel-cdi,2.13.4,2015-03-05,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.13.4/camel-cdi-2.13.4.jar,,,,,,,,2.14.0
17365,org.apache.camel.camel-cdi,2.14.0,2014-09-15,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.14.0/camel-cdi-2.14.0.jar,,,,,,,,2.14.1
17363,org.apache.camel.camel-cdi,2.14.1,2014-12-10,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.14.1/camel-cdi-2.14.1.jar,,,,,,,,2.14.2
17340,org.apache.camel.camel-cdi,2.14.2,2015-03-03,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.14.2/camel-cdi-2.14.2.jar,,,,,,,,2.14.3
17341,org.apache.camel.camel-cdi,2.14.3,2015-05-29,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.14.3/camel-cdi-2.14.3.jar,,,,,,,,2.14.4
17342,org.apache.camel.camel-cdi,2.14.4,2015-11-06,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.14.4/camel-cdi-2.14.4.jar,,,,,,,,2.15.0
17343,org.apache.camel.camel-cdi,2.15.0,2015-03-07,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.15.0/camel-cdi-2.15.0.jar,,,,,,,,2.15.1
17344,org.apache.camel.camel-cdi,2.15.1,2015-03-28,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.15.1/camel-cdi-2.15.1.jar,,,,,,,,2.15.2
17345,org.apache.camel.camel-cdi,2.15.2,2015-04-29,https://repo1.maven.org/maven2/org/apache/camel/camel-cdi/2.15.2/camel-cdi-2.15.2.jar,,,,,,,,2.15.3
