,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
23549,org.apache.camel.camel-core,1.0.0,2007-07-02,https://repo1.maven.org/maven2/org/apache/camel/camel-core/1.0.0/camel-core-1.0.0.jar,2,,,,,,,1.1.0
23550,org.apache.camel.camel-core,1.1.0,2007-08-17,https://repo1.maven.org/maven2/org/apache/camel/camel-core/1.1.0/camel-core-1.1.0.jar,3,0,0,0,0,1,0,1.2.0
23551,org.apache.camel.camel-core,1.2.0,2007-10-16,https://repo1.maven.org/maven2/org/apache/camel/camel-core/1.2.0/camel-core-1.2.0.jar,3,0,0,0,0,0,0,1.3.0
23553,org.apache.camel.camel-core,1.3.0,2008-04-07,https://repo1.maven.org/maven2/org/apache/camel/camel-core/1.3.0/camel-core-1.3.0.jar,5,0,0,0,0,2,0,1.4.0
23562,org.apache.camel.camel-core,1.4.0,2008-07-22,https://repo1.maven.org/maven2/org/apache/camel/camel-core/1.4.0/camel-core-1.4.0.jar,3,0,1,0,1,0,0,1.5.0
23554,org.apache.camel.camel-core,1.5.0,2008-10-31,https://repo1.maven.org/maven2/org/apache/camel/camel-core/1.5.0/camel-core-1.5.0.jar,4,0,0,0,0,1,0,1.6.0
23555,org.apache.camel.camel-core,1.6.0,2009-02-17,https://repo1.maven.org/maven2/org/apache/camel/camel-core/1.6.0/camel-core-1.6.0.jar,4,0,0,0,0,0,0,1.6.1
23556,org.apache.camel.camel-core,1.6.1,2009-05-14,https://repo1.maven.org/maven2/org/apache/camel/camel-core/1.6.1/camel-core-1.6.1.jar,4,0,0,0,0,0,0,1.6.2
23557,org.apache.camel.camel-core,1.6.2,2009-11-18,https://repo1.maven.org/maven2/org/apache/camel/camel-core/1.6.2/camel-core-1.6.2.jar,4,0,0,0,0,0,0,1.6.3
23558,org.apache.camel.camel-core,1.6.3,2010-05-31,https://repo1.maven.org/maven2/org/apache/camel/camel-core/1.6.3/camel-core-1.6.3.jar,4,0,0,0,0,0,0,1.6.4
23559,org.apache.camel.camel-core,1.6.4,2010-12-12,https://repo1.maven.org/maven2/org/apache/camel/camel-core/1.6.4/camel-core-1.6.4.jar,4,0,0,0,0,0,0,2.0.0
23560,org.apache.camel.camel-core,2.0.0,2009-08-18,https://repo1.maven.org/maven2/org/apache/camel/camel-core/2.0.0/camel-core-2.0.0.jar,10,1,0,0,0,6,1,2.1.0
23561,org.apache.camel.camel-core,2.1.0,2009-12-01,https://repo1.maven.org/maven2/org/apache/camel/camel-core/2.1.0/camel-core-2.1.0.jar,11,1,0,0,0,0,0,2.2.0
23541,org.apache.camel.camel-core,2.2.0,2010-02-11,https://repo1.maven.org/maven2/org/apache/camel/camel-core/2.2.0/camel-core-2.2.0.jar,11,0,0,0,0,0,0,2.3.0
23540,org.apache.camel.camel-core,2.3.0,2010-05-22,https://repo1.maven.org/maven2/org/apache/camel/camel-core/2.3.0/camel-core-2.3.0.jar,7,0,2,0,2,0,0,2.4.0
23539,org.apache.camel.camel-core,2.4.0,2010-07-12,https://repo1.maven.org/maven2/org/apache/camel/camel-core/2.4.0/camel-core-2.4.0.jar,7,0,0,0,0,0,0,2.5.0
23538,org.apache.camel.camel-core,2.5.0,2010-10-25,https://repo1.maven.org/maven2/org/apache/camel/camel-core/2.5.0/camel-core-2.5.0.jar,7,0,0,0,0,0,0,2.6.0
23515,org.apache.camel.camel-core,2.6.0,2011-01-24,https://repo1.maven.org/maven2/org/apache/camel/camel-core/2.6.0/camel-core-2.6.0.jar,7,0,0,0,0,0,0,2.7.0
