,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
103271,org.apache.commons.commons-collections4,1.0,2005-11-08,https://repo1.maven.org/maven2/commons-collections/commons-collections/1.0/commons-collections-1.0.jar,7,,,,,,,2.0
103272,org.apache.commons.commons-collections4,2.0,2005-11-08,https://repo1.maven.org/maven2/commons-collections/commons-collections/2.0/commons-collections-2.0.jar,7,0,0,0,0,0,0,2.0.20020914.015953
103273,org.apache.commons.commons-collections4,2.0.20020914.015953,2005-11-08,https://repo1.maven.org/maven2/commons-collections/commons-collections/2.0.20020914.015953/commons-collections-2.0.20020914.015953.jar,24,0,0,0,0,23,0,2.0.20020914.020746
103265,org.apache.commons.commons-collections4,2.0.20020914.020746,2005-11-08,https://repo1.maven.org/maven2/commons-collections/commons-collections/2.0.20020914.020746/commons-collections-2.0.20020914.020746.jar,21,0,3,0,0,0,0,2.0.20020914.020858
103264,org.apache.commons.commons-collections4,2.0.20020914.020858,2005-11-08,https://repo1.maven.org/maven2/commons-collections/commons-collections/2.0.20020914.020858/commons-collections-2.0.20020914.020858.jar,21,0,0,0,0,0,0,2.1
103263,org.apache.commons.commons-collections4,2.1,2005-11-08,https://repo1.maven.org/maven2/commons-collections/commons-collections/2.1/commons-collections-2.1.jar,8,0,0,0,0,0,13,2.1.1
103255,org.apache.commons.commons-collections4,2.1.1,2005-11-08,https://repo1.maven.org/maven2/commons-collections/commons-collections/2.1.1/commons-collections-2.1.1.jar,8,0,0,0,0,0,0,3.0
103250,org.apache.commons.commons-collections4,3.0,2005-11-08,https://repo1.maven.org/maven2/commons-collections/commons-collections/3.0/commons-collections-3.0.jar,66,0,0,0,0,59,1,3.1
103251,org.apache.commons.commons-collections4,3.1,2005-11-08,https://repo1.maven.org/maven2/commons-collections/commons-collections/3.1/commons-collections-3.1.jar,128,19,0,34,0,9,0,3.2
103252,org.apache.commons.commons-collections4,3.2,2006-06-22,https://repo1.maven.org/maven2/commons-collections/commons-collections/3.2/commons-collections-3.2.jar,132,1,0,0,0,3,0,3.2.1
103253,org.apache.commons.commons-collections4,3.2.1,2008-04-15,https://repo1.maven.org/maven2/commons-collections/commons-collections/3.2.1/commons-collections-3.2.1.jar,132,0,0,0,0,0,0,3.2.2
103254,org.apache.commons.commons-collections4,3.2.2,2015-11-12,https://repo1.maven.org/maven2/commons-collections/commons-collections/3.2.2/commons-collections-3.2.2.jar,132,0,0,0,0,0,0,4.0
73021,org.apache.commons.commons-collections4,4.0,2013-11-20,https://repo1.maven.org/maven2/org/apache/commons/commons-collections4/4.0/commons-collections4-4.0.jar,161,0,0,0,0,161,132,4.1
73020,org.apache.commons.commons-collections4,4.1,2015-11-25,https://repo1.maven.org/maven2/org/apache/commons/commons-collections4/4.1/commons-collections4-4.1.jar,169,0,8,0,0,16,0,4.2
73019,org.apache.commons.commons-collections4,4.2,2018-07-08,https://repo1.maven.org/maven2/org/apache/commons/commons-collections4/4.2/commons-collections4-4.2.jar,170,0,0,0,0,1,0,4.3
73018,org.apache.commons.commons-collections4,4.3,2019-02-05,https://repo1.maven.org/maven2/org/apache/commons/commons-collections4/4.3/commons-collections4-4.3.jar,170,0,0,0,0,0,0,4.4
73017,org.apache.commons.commons-collections4,4.4,2019-07-09,https://repo1.maven.org/maven2/org/apache/commons/commons-collections4/4.4/commons-collections4-4.4.jar,170,0,0,0,0,0,0,20030418.083655
103267,org.apache.commons.commons-collections4,20030418.083655,2005-11-08,https://repo1.maven.org/maven2/commons-collections/commons-collections/20030418.083655/commons-collections-20030418.083655.jar,62,0,0,0,0,62,170,20031027.000000
103268,org.apache.commons.commons-collections4,20031027.000000,2005-11-08,https://repo1.maven.org/maven2/commons-collections/commons-collections/20031027.000000/commons-collections-20031027.000000.jar,94,0,0,0,0,41,9,20040102.233541
103269,org.apache.commons.commons-collections4,20040102.233541,2005-11-08,https://repo1.maven.org/maven2/commons-collections/commons-collections/20040102.233541/commons-collections-20040102.233541.jar,105,0,1,0,1,57,44,20040616
103270,org.apache.commons.commons-collections4,20040616,2005-11-08,https://repo1.maven.org/maven2/commons-collections/commons-collections/20040616/commons-collections-20040616.jar,: 128,19,0,34,0,10,40,
