,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
89566,org.apache.commons.commons-lang3,1.0,2005-11-24,https://repo1.maven.org/maven2/commons-lang/commons-lang/1.0/commons-lang-1.0.jar,10,,,,,,,1.0.1
89554,org.apache.commons.commons-lang3,1.0.1,2005-11-24,https://repo1.maven.org/maven2/commons-lang/commons-lang/1.0.1/commons-lang-1.0.1.jar,11,1,0,0,0,0,0,2.0
89555,org.apache.commons.commons-lang3,2.0,2005-11-24,https://repo1.maven.org/maven2/commons-lang/commons-lang/2.0/commons-lang-2.0.jar,18,2,1,0,0,6,0,2.1
89556,org.apache.commons.commons-lang3,2.1,2005-11-24,https://repo1.maven.org/maven2/commons-lang/commons-lang/2.1/commons-lang-2.1.jar,22,0,0,0,0,4,0,2.2
89557,org.apache.commons.commons-lang3,2.2,2006-10-07,https://repo1.maven.org/maven2/commons-lang/commons-lang/2.2/commons-lang-2.2.jar,23,0,0,0,0,1,0,2.3
89558,org.apache.commons.commons-lang3,2.3,2007-02-13,https://repo1.maven.org/maven2/commons-lang/commons-lang/2.3/commons-lang-2.3.jar,22,0,1,0,0,0,0,2.4
89559,org.apache.commons.commons-lang3,2.4,2008-03-19,https://repo1.maven.org/maven2/commons-lang/commons-lang/2.4/commons-lang-2.4.jar,22,0,0,0,0,0,0,2.5
89560,org.apache.commons.commons-lang3,2.5,2010-02-25,https://repo1.maven.org/maven2/commons-lang/commons-lang/2.5/commons-lang-2.5.jar,22,0,0,0,0,0,0,2.6
89561,org.apache.commons.commons-lang3,2.6,2011-01-16,https://repo1.maven.org/maven2/commons-lang/commons-lang/2.6/commons-lang-2.6.jar,22,0,0,0,0,0,0,3.0
73900,org.apache.commons.commons-lang3,3.0,2011-07-19,https://repo1.maven.org/maven2/org/apache/commons/commons-lang3/3.0/commons-lang3-3.0.jar,19,0,0,0,0,19,22,3.0.1
73899,org.apache.commons.commons-lang3,3.0.1,2011-08-10,https://repo1.maven.org/maven2/org/apache/commons/commons-lang3/3.0.1/commons-lang3-3.0.1.jar,19,0,0,0,0,0,0,3.1
