,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
3147,org.apache.derby.derby,10.1.1.0,2005-11-08,https://repo1.maven.org/maven2/org/apache/derby/derby/10.1.1.0/derby-10.1.1.0.jar,7,,,,,,,10.1.2.1
3148,org.apache.derby.derby,10.1.2.1,2006-01-31,https://repo1.maven.org/maven2/org/apache/derby/derby/10.1.2.1/derby-10.1.2.1.jar,7,0,0,0,0,0,0,10.1.3.1
3149,org.apache.derby.derby,10.1.3.1,2006-07-09,https://repo1.maven.org/maven2/org/apache/derby/derby/10.1.3.1/derby-10.1.3.1.jar,7,0,0,0,0,0,0,10.2.1.6
3150,org.apache.derby.derby,10.2.1.6,2006-10-07,https://repo1.maven.org/maven2/org/apache/derby/derby/10.2.1.6/derby-10.2.1.6.jar,7,0,0,0,0,0,0,10.2.2.0
3151,org.apache.derby.derby,10.2.2.0,2006-12-22,https://repo1.maven.org/maven2/org/apache/derby/derby/10.2.2.0/derby-10.2.2.0.jar,10,0,0,0,0,3,0,10.3.1.4
3152,org.apache.derby.derby,10.3.1.4,2007-08-16,https://repo1.maven.org/maven2/org/apache/derby/derby/10.3.1.4/derby-10.3.1.4.jar,10,0,0,0,0,0,0,10.3.2.1
3153,org.apache.derby.derby,10.3.2.1,2007-12-11,https://repo1.maven.org/maven2/org/apache/derby/derby/10.3.2.1/derby-10.3.2.1.jar,10,0,0,0,0,0,0,10.4.1.3
3155,org.apache.derby.derby,10.4.1.3,2008-04-25,https://repo1.maven.org/maven2/org/apache/derby/derby/10.4.1.3/derby-10.4.1.3.jar,11,0,0,0,0,1,0,10.4.2.0
3183,org.apache.derby.derby,10.4.2.0,2008-09-08,https://repo1.maven.org/maven2/org/apache/derby/derby/10.4.2.0/derby-10.4.2.0.jar,11,0,0,0,0,0,0,10.5.3.0
3184,org.apache.derby.derby,10.5.3.0,2009-10-07,https://repo1.maven.org/maven2/org/apache/derby/derby/10.5.3.0_1/derby-10.5.3.0_1.jar,11,0,0,0,0,0,0,10.6.1.0
