,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
26593,org.apache.geronimo.components.geronimo-transaction,2.0,2007-08-02,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/2.0/geronimo-transaction-2.0.jar,3,,,,,,,2.0.1
26594,org.apache.geronimo.components.geronimo-transaction,2.0.1,2007-08-06,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/2.0.1/geronimo-transaction-2.0.1.jar,3,0,0,0,0,0,0,2.0.2
26595,org.apache.geronimo.components.geronimo-transaction,2.0.2,2007-10-17,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/2.0.2/geronimo-transaction-2.0.2.jar,3,0,0,0,0,0,0,2.1
26596,org.apache.geronimo.components.geronimo-transaction,2.1,2008-01-28,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/2.1/geronimo-transaction-2.1.jar,3,0,0,0,0,0,0,2.1.1
26597,org.apache.geronimo.components.geronimo-transaction,2.1.1,2008-02-18,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/2.1.1/geronimo-transaction-2.1.1.jar,3,0,0,0,0,0,0,2.1.2
26598,org.apache.geronimo.components.geronimo-transaction,2.1.2,2009-03-03,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/2.1.2/geronimo-transaction-2.1.2.jar,3,0,0,0,0,0,0,2.1.3
26599,org.apache.geronimo.components.geronimo-transaction,2.1.3,2009-09-13,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/2.1.3/geronimo-transaction-2.1.3.jar,3,0,0,0,0,0,0,2.1.4
26601,org.apache.geronimo.components.geronimo-transaction,2.1.4,2010-03-03,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/2.1.4/geronimo-transaction-2.1.4.jar,3,0,0,0,0,0,0,2.2
26628,org.apache.geronimo.components.geronimo-transaction,2.2,2010-09-24,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/2.2/geronimo-transaction-2.2.jar,3,0,0,0,0,0,0,2.2.1
26629,org.apache.geronimo.components.geronimo-transaction,2.2.1,2010-11-11,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/2.2.1/geronimo-transaction-2.2.1.jar,3,0,0,0,0,0,0,2.2.2
26630,org.apache.geronimo.components.geronimo-transaction,2.2.2,2011-07-18,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/2.2.2/geronimo-transaction-2.2.2.jar,3,0,0,0,0,0,0,3.0
26655,org.apache.geronimo.components.geronimo-transaction,3.0,2010-05-08,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/3.0/geronimo-transaction-3.0.jar,3,0,0,0,0,0,0,3.1
26656,org.apache.geronimo.components.geronimo-transaction,3.1,2010-11-12,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/3.1/geronimo-transaction-3.1.jar,3,0,0,0,0,0,0,3.1.1
26657,org.apache.geronimo.components.geronimo-transaction,3.1.1,2011-08-31,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/3.1.1/geronimo-transaction-3.1.1.jar,3,0,0,0,0,0,0,3.1.2
26658,org.apache.geronimo.components.geronimo-transaction,3.1.2,2015-04-17,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/3.1.2/geronimo-transaction-3.1.2.jar,3,0,0,0,0,0,0,3.1.3
26659,org.apache.geronimo.components.geronimo-transaction,3.1.3,2015-06-09,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/3.1.3/geronimo-transaction-3.1.3.jar,3,0,0,0,0,0,0,3.1.4
26660,org.apache.geronimo.components.geronimo-transaction,3.1.4,2016-11-10,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/3.1.4/geronimo-transaction-3.1.4.jar,3,0,0,0,0,0,0,3.1.5
26661,org.apache.geronimo.components.geronimo-transaction,3.1.5,2022-03-08,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/3.1.5/geronimo-transaction-3.1.5.jar,3,0,0,0,0,0,0,4.0.0
26662,org.apache.geronimo.components.geronimo-transaction,4.0.0,2023-10-23,https://repo1.maven.org/maven2/org/apache/geronimo/components/geronimo-transaction/4.0.0/geronimo-transaction-4.0.0.jar,: 3,0,0,0,0,0,0,
