,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
87367,org.apache.hadoop.hadoop-common,0.22.0,2011-12-10,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/0.22.0/hadoop-common-0.22.0.jar,2,,,,,,,0.23.1
87366,org.apache.hadoop.hadoop-common,0.23.1,2012-02-18,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/0.23.1/hadoop-common-0.23.1.jar,2,0,0,0,0,0,0,0.23.3
87365,org.apache.hadoop.hadoop-common,0.23.3,2012-09-07,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/0.23.3/hadoop-common-0.23.3.jar,2,0,0,0,0,0,0,0.23.4
87364,org.apache.hadoop.hadoop-common,0.23.4,2012-10-08,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/0.23.4/hadoop-common-0.23.4.jar,2,0,0,0,0,0,0,0.23.5
87363,org.apache.hadoop.hadoop-common,0.23.5,2012-11-20,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/0.23.5/hadoop-common-0.23.5.jar,2,0,0,0,0,0,0,0.23.6
87362,org.apache.hadoop.hadoop-common,0.23.6,2013-01-29,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/0.23.6/hadoop-common-0.23.6.jar,2,0,0,0,0,0,0,0.23.7
87377,org.apache.hadoop.hadoop-common,0.23.7,2013-04-11,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/0.23.7/hadoop-common-0.23.7.jar,2,0,0,0,0,0,0,0.23.8
87416,org.apache.hadoop.hadoop-common,0.23.8,2013-05-28,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/0.23.8/hadoop-common-0.23.8.jar,2,0,0,0,0,0,0,0.23.9
87447,org.apache.hadoop.hadoop-common,0.23.9,2013-07-01,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/0.23.9/hadoop-common-0.23.9.jar,2,0,0,0,0,0,0,0.23.10
87417,org.apache.hadoop.hadoop-common,0.23.10,2013-12-03,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/0.23.10/hadoop-common-0.23.10.jar,2,0,0,0,0,0,0,0.23.11
87455,org.apache.hadoop.hadoop-common,0.23.11,2014-06-19,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/0.23.11/hadoop-common-0.23.11.jar,2,0,0,0,0,0,0,2.2.0
87454,org.apache.hadoop.hadoop-common,2.2.0,2013-10-07,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.2.0/hadoop-common-2.2.0.jar,3,0,0,0,0,1,0,2.3.0
87453,org.apache.hadoop.hadoop-common,2.3.0,2014-02-11,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.3.0/hadoop-common-2.3.0.jar,3,0,0,0,0,0,0,2.4.0
87452,org.apache.hadoop.hadoop-common,2.4.0,2014-03-31,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.4.0/hadoop-common-2.4.0.jar,3,0,0,0,0,0,0,2.4.1
87451,org.apache.hadoop.hadoop-common,2.4.1,2014-06-21,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.4.1/hadoop-common-2.4.1.jar,3,0,0,0,0,0,0,2.5.0
87450,org.apache.hadoop.hadoop-common,2.5.0,2014-08-06,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.5.0/hadoop-common-2.5.0.jar,3,0,0,0,0,0,0,2.5.1
87456,org.apache.hadoop.hadoop-common,2.5.1,2014-09-05,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.5.1/hadoop-common-2.5.1.jar,3,0,0,0,0,0,0,2.5.2
87458,org.apache.hadoop.hadoop-common,2.5.2,2014-11-14,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.5.2/hadoop-common-2.5.2.jar,3,0,0,0,0,0,0,2.6.0
87475,org.apache.hadoop.hadoop-common,2.6.0,2014-11-13,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.6.0/hadoop-common-2.6.0.jar,4,0,0,0,0,1,0,2.6.1
87459,org.apache.hadoop.hadoop-common,2.6.1,2015-09-16,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.6.1/hadoop-common-2.6.1.jar,4,0,0,0,0,0,0,2.6.2
87474,org.apache.hadoop.hadoop-common,2.6.2,2015-10-22,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.6.2/hadoop-common-2.6.2.jar,4,0,0,0,0,0,0,2.6.3
87473,org.apache.hadoop.hadoop-common,2.6.3,2015-12-11,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.6.3/hadoop-common-2.6.3.jar,4,0,0,0,0,0,0,2.6.4
87472,org.apache.hadoop.hadoop-common,2.6.4,2016-02-03,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.6.4/hadoop-common-2.6.4.jar,4,0,0,0,0,0,0,2.6.5
87471,org.apache.hadoop.hadoop-common,2.6.5,2016-10-02,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.6.5/hadoop-common-2.6.5.jar,4,0,0,0,0,0,0,2.7.0
87470,org.apache.hadoop.hadoop-common,2.7.0,2015-04-10,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.7.0/hadoop-common-2.7.0.jar,4,0,0,0,0,0,0,2.7.1
87469,org.apache.hadoop.hadoop-common,2.7.1,2015-06-29,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.7.1/hadoop-common-2.7.1.jar,4,0,0,0,0,0,0,2.7.2
87468,org.apache.hadoop.hadoop-common,2.7.2,2016-01-14,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.7.2/hadoop-common-2.7.2.jar,4,0,0,0,0,0,0,2.7.3
87467,org.apache.hadoop.hadoop-common,2.7.3,2016-08-18,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.7.3/hadoop-common-2.7.3.jar,4,0,0,0,0,0,0,2.7.4
87466,org.apache.hadoop.hadoop-common,2.7.4,2017-07-28,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.7.4/hadoop-common-2.7.4.jar,4,0,0,0,0,0,0,2.7.5
87465,org.apache.hadoop.hadoop-common,2.7.5,2017-12-16,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.7.5/hadoop-common-2.7.5.jar,4,0,0,0,0,0,0,2.7.6
87464,org.apache.hadoop.hadoop-common,2.7.6,2018-04-17,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.7.6/hadoop-common-2.7.6.jar,4,0,0,0,0,0,0,2.7.7
87463,org.apache.hadoop.hadoop-common,2.7.7,2018-07-19,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.7.7/hadoop-common-2.7.7.jar,4,0,0,0,0,0,0,2.8.0
87462,org.apache.hadoop.hadoop-common,2.8.0,2017-03-17,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.8.0/hadoop-common-2.8.0.jar,4,0,0,0,0,0,0,2.8.1
87461,org.apache.hadoop.hadoop-common,2.8.1,2017-06-07,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.8.1/hadoop-common-2.8.1.jar,4,0,0,0,0,0,0,2.8.2
87460,org.apache.hadoop.hadoop-common,2.8.2,2017-10-19,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.8.2/hadoop-common-2.8.2.jar,4,0,0,0,0,0,0,2.8.3
87449,org.apache.hadoop.hadoop-common,2.8.3,2017-12-05,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.8.3/hadoop-common-2.8.3.jar,4,0,0,0,0,0,0,2.8.4
87457,org.apache.hadoop.hadoop-common,2.8.4,2018-05-08,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.8.4/hadoop-common-2.8.4.jar,4,0,0,0,0,0,0,2.8.5
87448,org.apache.hadoop.hadoop-common,2.8.5,2018-09-18,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.8.5/hadoop-common-2.8.5.jar,4,0,0,0,0,0,0,2.9.0
87429,org.apache.hadoop.hadoop-common,2.9.0,2017-11-13,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.9.0/hadoop-common-2.9.0.jar,4,0,0,0,0,0,0,2.9.1
87427,org.apache.hadoop.hadoop-common,2.9.1,2018-04-19,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.9.1/hadoop-common-2.9.1.jar,4,0,0,0,0,0,0,2.9.2
87426,org.apache.hadoop.hadoop-common,2.9.2,2018-11-20,https://repo1.maven.org/maven2/org/apache/hadoop/hadoop-common/2.9.2/hadoop-common-2.9.2.jar,4,0,0,0,0,0,0,2.10.0
