,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
20859,org.apache.hbase.hbase-client,0.95.0,2013-04-07,https://repo1.maven.org/maven2/org/apache/hbase/hbase-client/0.95.0/hbase-client-0.95.0.jar,,,,,,,,0.99.0
20748,org.apache.hbase.hbase-client,0.99.0,2014-09-16,https://repo1.maven.org/maven2/org/apache/hbase/hbase-client/0.99.0/hbase-client-0.99.0.jar,1,,,,,,,0.99.1
20749,org.apache.hbase.hbase-client,0.99.1,2014-10-12,https://repo1.maven.org/maven2/org/apache/hbase/hbase-client/0.99.1/hbase-client-0.99.1.jar,1,0,0,0,0,0,0,0.99.2
20750,org.apache.hbase.hbase-client,0.99.2,2014-12-03,https://repo1.maven.org/maven2/org/apache/hbase/hbase-client/0.99.2/hbase-client-0.99.2.jar,1,0,0,0,0,0,0,1.0.0
20751,org.apache.hbase.hbase-client,1.0.0,2015-02-15,https://repo1.maven.org/maven2/org/apache/hbase/hbase-client/1.0.0/hbase-client-1.0.0.jar,1,0,0,0,0,0,0,1.0.1
20752,org.apache.hbase.hbase-client,1.0.1,2015-04-18,https://repo1.maven.org/maven2/org/apache/hbase/hbase-client/1.0.1/hbase-client-1.0.1.jar,1,0,0,0,0,0,0,1.0.1.1
20753,org.apache.hbase.hbase-client,1.0.1.1,2015-05-17,https://repo1.maven.org/maven2/org/apache/hbase/hbase-client/1.0.1.1/hbase-client-1.0.1.1.jar,1,0,0,0,0,0,0,1.0.2
20754,org.apache.hbase.hbase-client,1.0.2,2015-08-26,https://repo1.maven.org/maven2/org/apache/hbase/hbase-client/1.0.2/hbase-client-1.0.2.jar,1,0,0,0,0,0,0,1.0.3
20755,org.apache.hbase.hbase-client,1.0.3,2016-01-20,https://repo1.maven.org/maven2/org/apache/hbase/hbase-client/1.0.3/hbase-client-1.0.3.jar,1,0,0,0,0,0,0,1.1.0
20756,org.apache.hbase.hbase-client,1.1.0,2015-05-12,https://repo1.maven.org/maven2/org/apache/hbase/hbase-client/1.1.0/hbase-client-1.1.0.jar,1,0,0,0,0,0,0,1.1.0.1
20757,org.apache.hbase.hbase-client,1.1.0.1,2015-05-17,https://repo1.maven.org/maven2/org/apache/hbase/hbase-client/1.1.0.1/hbase-client-1.1.0.1.jar,1,0,0,0,0,0,0,1.1.1
20758,org.apache.hbase.hbase-client,1.1.1,2015-06-23,https://repo1.maven.org/maven2/org/apache/hbase/hbase-client/1.1.1/hbase-client-1.1.1.jar,1,0,0,0,0,0,0,1.1.2
20747,org.apache.hbase.hbase-client,1.1.2,2015-08-27,https://repo1.maven.org/maven2/org/apache/hbase/hbase-client/1.1.2/hbase-client-1.1.2.jar,1,0,0,0,0,0,0,1.1.3
