,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
110715,org.apache.httpcomponents.client5.httpclient5,1.0,2005-11-08,https://repo1.maven.org/maven2/commons-httpclient/commons-httpclient/1.0/commons-httpclient-1.0.jar,4,,,,,,,2.0
110643,org.apache.httpcomponents.client5.httpclient5,2.0,2006-07-19,https://repo1.maven.org/maven2/commons-httpclient/commons-httpclient/2.0/commons-httpclient-2.0.jar,8,0,0,0,0,4,0,2.0.1
110644,org.apache.httpcomponents.client5.httpclient5,2.0.1,2005-11-08,https://repo1.maven.org/maven2/commons-httpclient/commons-httpclient/2.0.1/commons-httpclient-2.0.1.jar,8,0,0,0,0,0,0,2.0.2
110645,org.apache.httpcomponents.client5.httpclient5,2.0.2,2005-11-24,https://repo1.maven.org/maven2/commons-httpclient/commons-httpclient/2.0.2/commons-httpclient-2.0.2.jar,8,0,0,0,0,0,0,3.0
110667,org.apache.httpcomponents.client5.httpclient5,3.0,2005-12-20,https://repo1.maven.org/maven2/commons-httpclient/commons-httpclient/3.0/commons-httpclient-3.0.jar,14,0,0,0,0,6,0,3.0.1
110768,org.apache.httpcomponents.client5.httpclient5,3.0.1,2006-05-07,https://repo1.maven.org/maven2/commons-httpclient/commons-httpclient/3.0.1/commons-httpclient-3.0.1.jar,14,0,0,0,0,0,0,3.1
110769,org.apache.httpcomponents.client5.httpclient5,3.1,2007-08-21,https://repo1.maven.org/maven2/commons-httpclient/commons-httpclient/3.1/commons-httpclient-3.1.jar,15,0,0,0,0,2,0,4.0
90726,org.apache.httpcomponents.client5.httpclient5,4.0,2009-08-11,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.0/httpclient-4.0.jar,2,0,0,0,0,2,17,4.0.1
90727,org.apache.httpcomponents.client5.httpclient5,4.0.1,2009-12-09,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.0.1/httpclient-4.0.1.jar,2,0,0,0,0,0,0,4.0.2
90728,org.apache.httpcomponents.client5.httpclient5,4.0.2,2010-09-02,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.0.2/httpclient-4.0.2.jar,5,2,0,1,0,0,0,4.0.3
90729,org.apache.httpcomponents.client5.httpclient5,4.0.3,2010-09-15,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.0.3/httpclient-4.0.3.jar,5,0,0,0,0,0,0,4.1
90731,org.apache.httpcomponents.client5.httpclient5,4.1,2011-01-17,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.1/httpclient-4.1.jar,9,4,0,0,0,0,0,4.1.1
90732,org.apache.httpcomponents.client5.httpclient5,4.1.1,2011-03-14,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.1.1/httpclient-4.1.1.jar,9,0,0,0,0,0,0,4.1.2
90733,org.apache.httpcomponents.client5.httpclient5,4.1.2,2011-07-29,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.1.2/httpclient-4.1.2.jar,9,0,0,0,0,0,0,4.1.3
90734,org.apache.httpcomponents.client5.httpclient5,4.1.3,2012-02-02,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.1.3/httpclient-4.1.3.jar,9,0,0,0,0,0,0,4.2
90725,org.apache.httpcomponents.client5.httpclient5,4.2,2012-05-17,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.2/httpclient-4.2.jar,9,0,0,0,0,0,0,4.2.1
90724,org.apache.httpcomponents.client5.httpclient5,4.2.1,2012-06-29,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.2.1/httpclient-4.2.1.jar,9,0,0,0,0,0,0,4.2.2
90723,org.apache.httpcomponents.client5.httpclient5,4.2.2,2012-10-21,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.2.2/httpclient-4.2.2.jar,9,0,0,0,0,0,0,4.2.3
90722,org.apache.httpcomponents.client5.httpclient5,4.2.3,2013-01-10,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.2.3/httpclient-4.2.3.jar,9,0,0,0,0,0,0,4.2.4
90712,org.apache.httpcomponents.client5.httpclient5,4.2.4,2013-04-05,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.2.4/httpclient-4.2.4.jar,9,0,0,0,0,0,0,4.2.5
90713,org.apache.httpcomponents.client5.httpclient5,4.2.5,2013-04-19,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.2.5/httpclient-4.2.5.jar,9,0,0,0,0,0,0,4.2.6
90714,org.apache.httpcomponents.client5.httpclient5,4.2.6,2013-09-04,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.2.6/httpclient-4.2.6.jar,9,0,0,0,0,0,0,4.3
90715,org.apache.httpcomponents.client5.httpclient5,4.3,2013-09-04,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.3/httpclient-4.3.jar,9,0,0,0,0,0,0,4.3.1
90716,org.apache.httpcomponents.client5.httpclient5,4.3.1,2013-10-03,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpclient/4.3.1/httpclient-4.3.1.jar,9,0,0,0,0,0,0,4.3.2
