,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
90925,org.apache.httpcomponents.core5.httpcore5,4.0,2009-02-24,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpcore/4.0/httpcore-4.0.jar,5,,,,,,,4.0.1
90926,org.apache.httpcomponents.core5.httpcore5,4.0.1,2009-06-21,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpcore/4.0.1/httpcore-4.0.1.jar,5,0,0,0,0,0,0,4.1
90927,org.apache.httpcomponents.core5.httpcore5,4.1,2010-11-13,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpcore/4.1/httpcore-4.1.jar,13,7,0,0,0,1,0,4.1.1
90928,org.apache.httpcomponents.core5.httpcore5,4.1.1,2011-05-13,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpcore/4.1.1/httpcore-4.1.1.jar,13,0,0,0,0,0,0,4.1.2
90929,org.apache.httpcomponents.core5.httpcore5,4.1.2,2011-07-10,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpcore/4.1.2/httpcore-4.1.2.jar,13,0,0,0,0,0,0,4.1.3
90930,org.apache.httpcomponents.core5.httpcore5,4.1.3,2011-07-27,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpcore/4.1.3/httpcore-4.1.3.jar,13,0,0,0,0,0,0,4.1.4
90931,org.apache.httpcomponents.core5.httpcore5,4.1.4,2011-12-18,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpcore/4.1.4/httpcore-4.1.4.jar,13,0,0,0,0,0,0,4.2
90945,org.apache.httpcomponents.core5.httpcore5,4.2,2012-05-01,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpcore/4.2/httpcore-4.2.jar,13,0,0,0,0,0,0,4.2.1
90772,org.apache.httpcomponents.core5.httpcore5,4.2.1,2012-06-10,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpcore/4.2.1/httpcore-4.2.1.jar,13,0,0,0,0,0,0,4.2.2
90709,org.apache.httpcomponents.core5.httpcore5,4.2.2,2012-09-18,https://repo1.maven.org/maven2/org/apache/httpcomponents/httpcore/4.2.2/httpcore-4.2.2.jar,14,1,0,0,0,0,0,4.2.3
