,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
10045,org.apache.johnzon.johnzon-core,0.9.4,2016-07-17,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/0.9.4/johnzon-core-0.9.4.jar,29,,,,,,,0.9.5
10046,org.apache.johnzon.johnzon-core,0.9.5,2016-08-19,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/0.9.5/johnzon-core-0.9.5.jar,29,0,0,0,0,0,0,1.0.0
10047,org.apache.johnzon.johnzon-core,1.0.0,2016-12-12,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.0.0/johnzon-core-1.0.0.jar,34,4,0,0,0,1,0,1.0.1
10048,org.apache.johnzon.johnzon-core,1.0.1,2018-05-05,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.0.1/johnzon-core-1.0.1.jar,34,0,0,0,0,0,0,1.0.2
10050,org.apache.johnzon.johnzon-core,1.0.2,2018-12-17,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.0.2/johnzon-core-1.0.2.jar,34,0,0,0,0,0,0,1.1.0
10073,org.apache.johnzon.johnzon-core,1.1.0,2017-04-24,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.0/johnzon-core-1.1.0.jar,34,0,0,0,0,0,0,1.1.1
10074,org.apache.johnzon.johnzon-core,1.1.1,2017-05-30,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.1/johnzon-core-1.1.1.jar,34,0,0,0,0,0,0,1.1.2
10075,org.apache.johnzon.johnzon-core,1.1.2,2017-07-30,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.2/johnzon-core-1.1.2.jar,34,0,0,0,0,0,0,1.1.3
10092,org.apache.johnzon.johnzon-core,1.1.3,2017-08-29,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.3/johnzon-core-1.1.3.jar,34,0,0,0,0,0,0,1.1.4
10093,org.apache.johnzon.johnzon-core,1.1.4,2017-10-05,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.4/johnzon-core-1.1.4.jar,34,0,0,0,0,0,0,1.1.5
10094,org.apache.johnzon.johnzon-core,1.1.5,2017-11-10,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.5/johnzon-core-1.1.5.jar,34,0,0,0,0,0,0,1.1.6
10095,org.apache.johnzon.johnzon-core,1.1.6,2018-02-14,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.6/johnzon-core-1.1.6.jar,34,0,0,0,0,0,0,1.1.7
10096,org.apache.johnzon.johnzon-core,1.1.7,2018-02-26,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.7/johnzon-core-1.1.7.jar,34,0,0,0,0,0,0,1.1.8
10097,org.apache.johnzon.johnzon-core,1.1.8,2018-06-27,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.8/johnzon-core-1.1.8.jar,34,0,0,0,0,0,0,1.1.9
10098,org.apache.johnzon.johnzon-core,1.1.9,2018-08-30,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.9/johnzon-core-1.1.9.jar,34,0,0,0,0,0,0,1.1.10
10099,org.apache.johnzon.johnzon-core,1.1.10,2018-09-17,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.10/johnzon-core-1.1.10.jar,34,0,0,0,0,0,0,1.1.11
10100,org.apache.johnzon.johnzon-core,1.1.11,2018-12-21,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.11/johnzon-core-1.1.11.jar,34,0,0,0,0,0,0,1.1.12
10101,org.apache.johnzon.johnzon-core,1.1.12,2019-05-29,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.12/johnzon-core-1.1.12.jar,39,3,0,2,0,0,0,1.1.13
10102,org.apache.johnzon.johnzon-core,1.1.13,2019-08-05,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.1.13/johnzon-core-1.1.13.jar,35,0,0,0,0,8,12,1.2.0
10104,org.apache.johnzon.johnzon-core,1.2.0,2019-09-12,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.0/johnzon-core-1.2.0.jar,35,0,0,0,0,0,0,1.2.1
10116,org.apache.johnzon.johnzon-core,1.2.1,2019-09-30,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.1/johnzon-core-1.2.1.jar,35,0,0,0,0,0,0,1.2.2
10105,org.apache.johnzon.johnzon-core,1.2.2,2019-11-19,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.2/johnzon-core-1.2.2.jar,35,0,0,0,0,0,0,1.2.3
10106,org.apache.johnzon.johnzon-core,1.2.3,2020-01-24,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.3/johnzon-core-1.2.3.jar,35,0,0,0,0,0,0,1.2.4
10107,org.apache.johnzon.johnzon-core,1.2.4,2020-03-30,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.4/johnzon-core-1.2.4.jar,35,0,0,0,0,0,0,1.2.5
10108,org.apache.johnzon.johnzon-core,1.2.5,2020-05-02,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.5/johnzon-core-1.2.5.jar,35,0,0,0,0,0,0,1.2.6
10109,org.apache.johnzon.johnzon-core,1.2.6,2020-05-13,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.6/johnzon-core-1.2.6.jar,35,0,0,0,0,0,0,1.2.7
10110,org.apache.johnzon.johnzon-core,1.2.7,2020-06-04,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.7/johnzon-core-1.2.7.jar,35,0,0,0,0,0,0,1.2.8
10111,org.apache.johnzon.johnzon-core,1.2.8,2020-07-06,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.8/johnzon-core-1.2.8.jar,35,0,0,0,0,0,0,1.2.9
10112,org.apache.johnzon.johnzon-core,1.2.9,2020-12-23,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.9/johnzon-core-1.2.9.jar,35,0,0,0,0,0,0,1.2.10
10113,org.apache.johnzon.johnzon-core,1.2.10,2021-01-24,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.10/johnzon-core-1.2.10.jar,35,0,0,0,0,0,0,1.2.11
10114,org.apache.johnzon.johnzon-core,1.2.11,2021-05-02,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.11/johnzon-core-1.2.11.jar,35,0,0,0,0,0,0,1.2.12
10115,org.apache.johnzon.johnzon-core,1.2.12,2021-05-23,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.12/johnzon-core-1.2.12.jar,35,0,0,0,0,0,0,1.2.13
10091,org.apache.johnzon.johnzon-core,1.2.13,2021-06-06,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.13/johnzon-core-1.2.13.jar,35,0,0,0,0,0,0,1.2.14
10090,org.apache.johnzon.johnzon-core,1.2.14,2021-07-05,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.14/johnzon-core-1.2.14.jar,35,0,0,0,0,0,0,1.2.15
10089,org.apache.johnzon.johnzon-core,1.2.15,2021-10-21,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.15/johnzon-core-1.2.15.jar,35,0,0,0,0,0,0,1.2.16
10088,org.apache.johnzon.johnzon-core,1.2.16,2022-02-08,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.16/johnzon-core-1.2.16.jar,35,0,0,0,0,0,0,1.2.17
10076,org.apache.johnzon.johnzon-core,1.2.17,2022-04-21,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.17/johnzon-core-1.2.17.jar,35,0,0,0,0,0,0,1.2.18
10077,org.apache.johnzon.johnzon-core,1.2.18,2022-05-05,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.18/johnzon-core-1.2.18.jar,35,0,0,0,0,0,0,1.2.19
10078,org.apache.johnzon.johnzon-core,1.2.19,2022-08-22,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.19/johnzon-core-1.2.19.jar,35,0,0,0,0,0,0,1.2.20
10079,org.apache.johnzon.johnzon-core,1.2.20,2023-04-20,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.20/johnzon-core-1.2.20.jar,35,0,0,0,0,0,0,1.2.21
10080,org.apache.johnzon.johnzon-core,1.2.21,2023-06-27,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/1.2.21/johnzon-core-1.2.21.jar,35,0,0,0,0,0,0,2.0.0
10081,org.apache.johnzon.johnzon-core,2.0.0,2023-11-07,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/2.0.0/johnzon-core-2.0.0.jar,35,0,0,0,0,0,0,2.0.1
10082,org.apache.johnzon.johnzon-core,2.0.1,2024-04-01,https://repo1.maven.org/maven2/org/apache/johnzon/johnzon-core/2.0.1/johnzon-core-2.0.1.jar,: 35,0,0,0,0,0,0,
