,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
70085,org.apache.logging.log4j.log4j-api,2.0,2014-07-12,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.0/log4j-api-2.0.jar,33,,,,,,,2.0.1
70084,org.apache.logging.log4j.log4j-api,2.0.1,2014-07-30,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.0.1/log4j-api-2.0.1.jar,33,0,0,0,0,0,0,2.0.2
70083,org.apache.logging.log4j.log4j-api,2.0.2,2014-08-17,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.0.2/log4j-api-2.0.2.jar,33,0,0,0,0,0,0,2.1
70071,org.apache.logging.log4j.log4j-api,2.1,2014-10-20,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.1/log4j-api-2.1.jar,33,0,0,0,0,0,0,2.2
70062,org.apache.logging.log4j.log4j-api,2.2,2015-02-22,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.2/log4j-api-2.2.jar,33,0,0,0,0,0,0,2.3
70063,org.apache.logging.log4j.log4j-api,2.3,2015-05-10,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.3/log4j-api-2.3.jar,33,0,0,0,0,0,0,2.3.1
70064,org.apache.logging.log4j.log4j-api,2.3.1,2021-12-22,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.3.1/log4j-api-2.3.1.jar,33,0,0,0,0,0,0,2.3.2
70065,org.apache.logging.log4j.log4j-api,2.3.2,2021-12-29,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.3.2/log4j-api-2.3.2.jar,33,0,0,0,0,0,0,2.4
70066,org.apache.logging.log4j.log4j-api,2.4,2015-09-20,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.4/log4j-api-2.4.jar,34,0,0,0,0,1,0,2.4.1
70067,org.apache.logging.log4j.log4j-api,2.4.1,2015-10-09,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.4.1/log4j-api-2.4.1.jar,34,0,0,0,0,0,0,2.5
70068,org.apache.logging.log4j.log4j-api,2.5,2015-12-07,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.5/log4j-api-2.5.jar,36,0,0,0,0,2,0,2.6
70069,org.apache.logging.log4j.log4j-api,2.6,2016-05-25,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.6/log4j-api-2.6.jar,49,0,0,0,0,15,0,2.6.1
70070,org.apache.logging.log4j.log4j-api,2.6.1,2016-06-06,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.6.1/log4j-api-2.6.1.jar,49,0,0,0,0,0,0,2.6.2
70072,org.apache.logging.log4j.log4j-api,2.6.2,2016-07-06,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.6.2/log4j-api-2.6.2.jar,49,0,0,0,0,0,0,2.7
70082,org.apache.logging.log4j.log4j-api,2.7,2016-10-02,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.7/log4j-api-2.7.jar,53,0,0,1,0,3,0,2.8
70073,org.apache.logging.log4j.log4j-api,2.8,2017-01-22,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.8/log4j-api-2.8.jar,55,0,0,0,0,3,0,2.8.1
70074,org.apache.logging.log4j.log4j-api,2.8.1,2017-02-26,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.8.1/log4j-api-2.8.1.jar,55,0,0,0,0,0,0,2.8.2
70075,org.apache.logging.log4j.log4j-api,2.8.2,2017-04-02,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.8.2/log4j-api-2.8.2.jar,55,0,0,0,0,0,0,2.9.0
70076,org.apache.logging.log4j.log4j-api,2.9.0,2017-08-26,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.9.0/log4j-api-2.9.0.jar,58,0,0,0,0,3,0,2.9.1
70077,org.apache.logging.log4j.log4j-api,2.9.1,2017-09-18,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.9.1/log4j-api-2.9.1.jar,58,0,0,0,0,0,0,2.10.0
70078,org.apache.logging.log4j.log4j-api,2.10.0,2017-11-19,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.10.0/log4j-api-2.10.0.jar,60,0,0,0,0,2,0,2.11.0
70079,org.apache.logging.log4j.log4j-api,2.11.0,2018-03-11,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.11.0/log4j-api-2.11.0.jar,60,0,0,0,0,0,0,2.11.1
70080,org.apache.logging.log4j.log4j-api,2.11.1,2018-07-23,https://repo1.maven.org/maven2/org/apache/logging/log4j/log4j-api/2.11.1/log4j-api-2.11.1.jar,60,0,0,0,0,0,0,2.11.2
