,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
177,org.apache.maven.plugins.maven-compiler-plugin,2.0,2006-05-07,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/2.0/maven-compiler-plugin-2.0.jar,,,,,,,,2.0.1
178,org.apache.maven.plugins.maven-compiler-plugin,2.0.1,2006-04-03,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/2.0.1/maven-compiler-plugin-2.0.1.jar,,,,,,,,2.0.2
179,org.apache.maven.plugins.maven-compiler-plugin,2.0.2,2007-02-13,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/2.0.2/maven-compiler-plugin-2.0.2.jar,,,,,,,,2.1
180,org.apache.maven.plugins.maven-compiler-plugin,2.1,2009-12-30,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/2.1/maven-compiler-plugin-2.1.jar,,,,,,,,2.2
181,org.apache.maven.plugins.maven-compiler-plugin,2.2,2010-03-30,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/2.2/maven-compiler-plugin-2.2.jar,,,,,,,,2.3
182,org.apache.maven.plugins.maven-compiler-plugin,2.3,2010-04-10,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/2.3/maven-compiler-plugin-2.3.jar,,,,,,,,2.3.1
183,org.apache.maven.plugins.maven-compiler-plugin,2.3.1,2010-05-17,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/2.3.1/maven-compiler-plugin-2.3.1.jar,,,,,,,,2.3.2
184,org.apache.maven.plugins.maven-compiler-plugin,2.3.2,2010-09-04,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/2.3.2/maven-compiler-plugin-2.3.2.jar,,,,,,,,2.4
185,org.apache.maven.plugins.maven-compiler-plugin,2.4,2012-04-27,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/2.4/maven-compiler-plugin-2.4.jar,,,,,,,,2.5
186,org.apache.maven.plugins.maven-compiler-plugin,2.5,2012-05-24,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/2.5/maven-compiler-plugin-2.5.jar,,,,,,,,2.5.1
188,org.apache.maven.plugins.maven-compiler-plugin,2.5.1,2012-05-31,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/2.5.1/maven-compiler-plugin-2.5.1.jar,,,,,,,,3.0
209,org.apache.maven.plugins.maven-compiler-plugin,3.0,2012-11-15,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.0/maven-compiler-plugin-3.0.jar,,,,,,,,3.1
235,org.apache.maven.plugins.maven-compiler-plugin,3.1,2013-04-03,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.1/maven-compiler-plugin-3.1.jar,,,,,,,,3.2
210,org.apache.maven.plugins.maven-compiler-plugin,3.2,2014-10-08,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.2/maven-compiler-plugin-3.2.jar,,,,,,,,3.3
238,org.apache.maven.plugins.maven-compiler-plugin,3.3,2015-03-23,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.3/maven-compiler-plugin-3.3.jar,,,,,,,,3.5
239,org.apache.maven.plugins.maven-compiler-plugin,3.5,2016-01-16,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.5/maven-compiler-plugin-3.5.jar,,,,,,,,3.5.1
240,org.apache.maven.plugins.maven-compiler-plugin,3.5.1,2016-02-06,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.5.1/maven-compiler-plugin-3.5.1.jar,,,,,,,,3.6.0
241,org.apache.maven.plugins.maven-compiler-plugin,3.6.0,2016-10-26,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.6.0/maven-compiler-plugin-3.6.0.jar,,,,,,,,3.6.1
242,org.apache.maven.plugins.maven-compiler-plugin,3.6.1,2017-01-13,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.6.1/maven-compiler-plugin-3.6.1.jar,,,,,,,,3.6.2
243,org.apache.maven.plugins.maven-compiler-plugin,3.6.2,2017-07-25,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.6.2/maven-compiler-plugin-3.6.2.jar,,,,,,,,3.7.0
244,org.apache.maven.plugins.maven-compiler-plugin,3.7.0,2017-09-01,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.7.0/maven-compiler-plugin-3.7.0.jar,,,,,,,,3.8.0
245,org.apache.maven.plugins.maven-compiler-plugin,3.8.0,2018-07-26,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.8.0/maven-compiler-plugin-3.8.0.jar,,,,,,,,3.8.1
246,org.apache.maven.plugins.maven-compiler-plugin,3.8.1,2019-05-02,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.8.1/maven-compiler-plugin-3.8.1.jar,,,,,,,,3.9.0
247,org.apache.maven.plugins.maven-compiler-plugin,3.9.0,2022-01-12,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.9.0/maven-compiler-plugin-3.9.0.jar,,,,,,,,3.10.0
248,org.apache.maven.plugins.maven-compiler-plugin,3.10.0,2022-02-14,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.10.0/maven-compiler-plugin-3.10.0.jar,,,,,,,,3.10.1
249,org.apache.maven.plugins.maven-compiler-plugin,3.10.1,2022-03-11,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.10.1/maven-compiler-plugin-3.10.1.jar,,,,,,,,3.11.0
250,org.apache.maven.plugins.maven-compiler-plugin,3.11.0,2023-02-27,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.11.0/maven-compiler-plugin-3.11.0.jar,,,,,,,,3.12.0
251,org.apache.maven.plugins.maven-compiler-plugin,3.12.0,2023-12-19,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.12.0/maven-compiler-plugin-3.12.0.jar,,,,,,,,3.12.1
252,org.apache.maven.plugins.maven-compiler-plugin,3.12.1,2023-12-24,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.12.1/maven-compiler-plugin-3.12.1.jar,,,,,,,,3.13.0
253,org.apache.maven.plugins.maven-compiler-plugin,3.13.0,2024-03-18,https://repo1.maven.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.13.0/maven-compiler-plugin-3.13.0.jar,,,,,,,,
