,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
2405,org.apache.openjpa.openjpa,1.0.0,2007-08-29,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/1.0.0/openjpa-1.0.0.jar,310,,,,,,,1.0.1
2406,org.apache.openjpa.openjpa,1.0.1,2007-11-12,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/1.0.1/openjpa-1.0.1.jar,310,0,0,0,0,0,0,1.0.2
2407,org.apache.openjpa.openjpa,1.0.2,2008-02-23,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/1.0.2/openjpa-1.0.2.jar,312,0,0,0,0,2,0,1.0.3
2408,org.apache.openjpa.openjpa,1.0.3,2008-07-23,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/1.0.3/openjpa-1.0.3.jar,312,0,0,0,0,0,0,1.0.4
2409,org.apache.openjpa.openjpa,1.0.4,2010-09-02,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/1.0.4/openjpa-1.0.4.jar,313,0,0,0,0,1,0,1.1.0
2410,org.apache.openjpa.openjpa,1.1.0,2008-06-05,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/1.1.0/openjpa-1.1.0.jar,474,19,0,164,1,35,23,1.2.0
2411,org.apache.openjpa.openjpa,1.2.0,2008-08-14,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/1.2.0/openjpa-1.2.0.jar,475,0,0,0,0,1,0,1.2.1
2412,org.apache.openjpa.openjpa,1.2.1,2009-03-19,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/1.2.1/openjpa-1.2.1.jar,475,0,0,0,0,0,0,1.2.2
2413,org.apache.openjpa.openjpa,1.2.2,2010-01-18,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/1.2.2/openjpa-1.2.2.jar,475,0,0,0,0,0,0,1.2.3
2414,org.apache.openjpa.openjpa,1.2.3,2013-04-12,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/1.2.3/openjpa-1.2.3.jar,475,0,0,0,0,0,0,2.0.0
2415,org.apache.openjpa.openjpa,2.0.0,2010-04-22,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/2.0.0/openjpa-2.0.0.jar,598,0,0,0,0,202,0,2.0.1
2416,org.apache.openjpa.openjpa,2.0.1,2010-08-26,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/2.0.1/openjpa-2.0.1.jar,599,1,0,0,0,0,0,2.1.0
2417,org.apache.openjpa.openjpa,2.1.0,2011-02-16,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/2.1.0/openjpa-2.1.0.jar,605,1,0,0,0,9,2,2.1.1
2418,org.apache.openjpa.openjpa,2.1.1,2011-07-20,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/2.1.1/openjpa-2.1.1.jar,605,0,0,0,0,0,0,2.2.0
2419,org.apache.openjpa.openjpa,2.2.0,2012-02-16,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/2.2.0/openjpa-2.2.0.jar,607,1,0,0,0,1,0,2.2.1
2420,org.apache.openjpa.openjpa,2.2.1,2012-10-10,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/2.2.1/openjpa-2.2.1.jar,607,0,0,0,0,0,0,2.2.2
2421,org.apache.openjpa.openjpa,2.2.2,2013-04-16,https://repo1.maven.org/maven2/org/apache/openjpa/openjpa/2.2.2/openjpa-2.2.2.jar,607,0,0,0,0,0,0,2.3.0
