,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
44860,org.apache.opennlp.opennlp-tools,1.5.3,2013-04-03,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.5.3/opennlp-tools-1.5.3.jar,,,,,,,,1.6.0
44861,org.apache.opennlp.opennlp-tools,1.6.0,2015-06-16,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.6.0/opennlp-tools-1.6.0.jar,,,,,,,,1.7.0
44862,org.apache.opennlp.opennlp-tools,1.7.0,2016-12-31,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.7.0/opennlp-tools-1.7.0.jar,9,,,,,,,1.7.1
44863,org.apache.opennlp.opennlp-tools,1.7.1,2017-01-20,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.7.1/opennlp-tools-1.7.1.jar,9,0,0,0,0,0,0,1.7.2
44864,org.apache.opennlp.opennlp-tools,1.7.2,2017-02-01,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.7.2/opennlp-tools-1.7.2.jar,9,0,0,0,0,0,0,1.8.0
44865,org.apache.opennlp.opennlp-tools,1.8.0,2017-05-17,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.8.0/opennlp-tools-1.8.0.jar,9,0,0,0,0,0,0,1.8.1
44866,org.apache.opennlp.opennlp-tools,1.8.1,2017-07-05,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.8.1/opennlp-tools-1.8.1.jar,10,0,0,0,0,1,0,1.8.2
44867,org.apache.opennlp.opennlp-tools,1.8.2,2017-09-11,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.8.2/opennlp-tools-1.8.2.jar,10,0,0,0,0,0,0,1.8.3
44868,org.apache.opennlp.opennlp-tools,1.8.3,2017-10-24,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.8.3/opennlp-tools-1.8.3.jar,22,11,0,1,0,0,0,1.8.4
44869,org.apache.opennlp.opennlp-tools,1.8.4,2017-12-21,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.8.4/opennlp-tools-1.8.4.jar,22,0,0,0,0,0,0,1.9.0
44870,org.apache.opennlp.opennlp-tools,1.9.0,2018-06-29,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.9.0/opennlp-tools-1.9.0.jar,22,0,0,0,0,0,0,1.9.1
44871,org.apache.opennlp.opennlp-tools,1.9.1,2018-12-31,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.9.1/opennlp-tools-1.9.1.jar,22,0,0,0,0,0,0,1.9.2
44872,org.apache.opennlp.opennlp-tools,1.9.2,2020-01-03,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.9.2/opennlp-tools-1.9.2.jar,22,0,0,0,0,0,0,1.9.3
44873,org.apache.opennlp.opennlp-tools,1.9.3,2020-08-02,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.9.3/opennlp-tools-1.9.3.jar,33,3,0,8,0,0,0,1.9.4
44874,org.apache.opennlp.opennlp-tools,1.9.4,2021-11-03,https://repo1.maven.org/maven2/org/apache/opennlp/opennlp-tools/1.9.4/opennlp-tools-1.9.4.jar,33,0,0,0,0,0,0,2.0.0
