,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
90901,org.apache.struts.struts2-core,1.0.2,2005-11-08,https://repo1.maven.org/maven2/struts/struts/1.0.2/struts-1.0.2.jar,22,,,,,,,1.1
90922,org.apache.struts.struts2-core,1.1,2005-12-18,https://repo1.maven.org/maven2/struts/struts/1.1/struts-1.1.jar,73,0,0,0,0,61,3,1.2.2
90923,org.apache.struts.struts2-core,1.2.2,2005-11-08,https://repo1.maven.org/maven2/struts/struts/1.2.2/struts-1.2.2.jar,69,1,0,0,0,6,9,1.2.4
90924,org.apache.struts.struts2-core,1.2.4,2005-11-28,https://repo1.maven.org/maven2/struts/struts/1.2.4/struts-1.2.4.jar,69,0,0,0,0,0,0,1.2.7
90935,org.apache.struts.struts2-core,1.2.7,2005-11-24,https://repo1.maven.org/maven2/struts/struts/1.2.7/struts-1.2.7.jar,72,1,0,0,0,4,0,1.2.8
90936,org.apache.struts.struts2-core,1.2.8,2005-12-20,https://repo1.maven.org/maven2/struts/struts/1.2.8/struts-1.2.8.jar,72,0,0,0,0,0,0,1.2.9
90937,org.apache.struts.struts2-core,1.2.9,2006-03-23,https://repo1.maven.org/maven2/struts/struts/1.2.9/struts-1.2.9.jar,72,0,0,0,0,0,0,2.0.5
31142,org.apache.struts.struts2-core,2.0.5,2007-02-10,https://repo1.maven.org/maven2/org/apache/struts/struts2-core/2.0.5/struts2-core-2.0.5.jar,9,0,0,0,0,9,85,2.0.6
31143,org.apache.struts.struts2-core,2.0.6,2007-02-23,https://repo1.maven.org/maven2/org/apache/struts/struts2-core/2.0.6/struts2-core-2.0.6.jar,9,0,0,0,0,0,0,2.0.8
31144,org.apache.struts.struts2-core,2.0.8,2007-06-11,https://repo1.maven.org/maven2/org/apache/struts/struts2-core/2.0.8/struts2-core-2.0.8.jar,9,0,1,0,0,1,0,2.0.9
31145,org.apache.struts.struts2-core,2.0.9,2007-07-24,https://repo1.maven.org/maven2/org/apache/struts/struts2-core/2.0.9/struts2-core-2.0.9.jar,9,0,0,0,0,0,0,2.0.11
31146,org.apache.struts.struts2-core,2.0.11,2007-10-23,https://repo1.maven.org/maven2/org/apache/struts/struts2-core/2.0.11/struts2-core-2.0.11.jar,9,0,0,0,0,0,0,2.0.11.1
31147,org.apache.struts.struts2-core,2.0.11.1,2008-03-04,https://repo1.maven.org/maven2/org/apache/struts/struts2-core/2.0.11.1/struts2-core-2.0.11.1.jar,9,0,0,0,0,0,0,2.0.11.2
31148,org.apache.struts.struts2-core,2.0.11.2,2008-06-29,https://repo1.maven.org/maven2/org/apache/struts/struts2-core/2.0.11.2/struts2-core-2.0.11.2.jar,9,0,0,0,0,0,0,2.0.12
31126,org.apache.struts.struts2-core,2.0.12,2008-10-20,https://repo1.maven.org/maven2/org/apache/struts/struts2-core/2.0.12/struts2-core-2.0.12.jar,9,0,0,0,0,0,0,2.0.14
31149,org.apache.struts.struts2-core,2.0.14,2008-11-22,https://repo1.maven.org/maven2/org/apache/struts/struts2-core/2.0.14/struts2-core-2.0.14.jar,9,0,0,0,0,0,0,2.1.2
31125,org.apache.struts.struts2-core,2.1.2,2008-05-25,https://repo1.maven.org/maven2/org/apache/struts/struts2-core/2.1.2/struts2-core-2.1.2.jar,7,0,0,0,0,0,2,2.1.6
31123,org.apache.struts.struts2-core,2.1.6,2009-01-13,https://repo1.maven.org/maven2/org/apache/struts/struts2-core/2.1.6/struts2-core-2.1.6.jar,7,0,0,0,0,0,0,2.1.8
