,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
104129,org.apache.taglibs.taglibs-standard-impl,1.0,2005-11-08,https://repo1.maven.org/maven2/taglibs/standard/1.0/standard-1.0.jar,,,,,,,,1.0.1
104125,org.apache.taglibs.taglibs-standard-impl,1.0.1,2005-11-08,https://repo1.maven.org/maven2/taglibs/standard/1.0.1/standard-1.0.1.jar,,,,,,,,1.0.2
104123,org.apache.taglibs.taglibs-standard-impl,1.0.2,2005-11-08,https://repo1.maven.org/maven2/taglibs/standard/1.0.2/standard-1.0.2.jar,,,,,,,,1.0.3
104122,org.apache.taglibs.taglibs-standard-impl,1.0.3,2005-11-08,https://repo1.maven.org/maven2/taglibs/standard/1.0.3/standard-1.0.3.jar,,,,,,,,1.0.4
104121,org.apache.taglibs.taglibs-standard-impl,1.0.4,2005-11-08,https://repo1.maven.org/maven2/taglibs/standard/1.0.4/standard-1.0.4.jar,,,,,,,,1.0.5
104120,org.apache.taglibs.taglibs-standard-impl,1.0.5,2005-11-08,https://repo1.maven.org/maven2/taglibs/standard/1.0.5/standard-1.0.5.jar,,,,,,,,1.0.6
104119,org.apache.taglibs.taglibs-standard-impl,1.0.6,2005-11-08,https://repo1.maven.org/maven2/taglibs/standard/1.0.6/standard-1.0.6.jar,,,,,,,,1.1.0
104118,org.apache.taglibs.taglibs-standard-impl,1.1.0,2005-11-08,https://repo1.maven.org/maven2/taglibs/standard/1.1.0/standard-1.1.0.jar,,,,,,,,1.1.1
104124,org.apache.taglibs.taglibs-standard-impl,1.1.1,2005-11-08,https://repo1.maven.org/maven2/taglibs/standard/1.1.1/standard-1.1.1.jar,,,,,,,,1.1.2
104130,org.apache.taglibs.taglibs-standard-impl,1.1.2,2005-11-08,https://repo1.maven.org/maven2/taglibs/standard/1.1.2/standard-1.1.2.jar,,,,,,,,1.2.1
11324,org.apache.taglibs.taglibs-standard-impl,1.2.1,2013-11-14,https://repo1.maven.org/maven2/org/apache/taglibs/taglibs-standard-impl/1.2.1/taglibs-standard-impl-1.2.1.jar,,,,,,,,1.2.3
11325,org.apache.taglibs.taglibs-standard-impl,1.2.3,2015-02-11,https://repo1.maven.org/maven2/org/apache/taglibs/taglibs-standard-impl/1.2.3/taglibs-standard-impl-1.2.3.jar,,,,,,,,1.2.5
11326,org.apache.taglibs.taglibs-standard-impl,1.2.5,2015-03-10,https://repo1.maven.org/maven2/org/apache/taglibs/taglibs-standard-impl/1.2.5/taglibs-standard-impl-1.2.5.jar,,,,,,,,
