,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
6545,org.apache.tiles.tiles-jsp,2.0.3,2007-04-24,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/2.0.3/tiles-jsp-2.0.3.jar,,,,,,,,2.0.4
6546,org.apache.tiles.tiles-jsp,2.0.4,2007-06-06,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/2.0.4/tiles-jsp-2.0.4.jar,,,,,,,,2.0.5
6547,org.apache.tiles.tiles-jsp,2.0.5,2007-10-30,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/2.0.5/tiles-jsp-2.0.5.jar,,,,,,,,2.0.6
6548,org.apache.tiles.tiles-jsp,2.0.6,2008-05-26,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/2.0.6/tiles-jsp-2.0.6.jar,,,,,,,,2.0.7
6549,org.apache.tiles.tiles-jsp,2.0.7,2009-01-07,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/2.0.7/tiles-jsp-2.0.7.jar,,,,,,,,2.1.0
6550,org.apache.tiles.tiles-jsp,2.1.0,2008-09-03,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/2.1.0/tiles-jsp-2.1.0.jar,,,,,,,,2.1.1
6551,org.apache.tiles.tiles-jsp,2.1.1,2009-01-07,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/2.1.1/tiles-jsp-2.1.1.jar,,,,,,,,2.1.2
6552,org.apache.tiles.tiles-jsp,2.1.2,2009-02-07,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/2.1.2/tiles-jsp-2.1.2.jar,,,,,,,,2.1.3
6553,org.apache.tiles.tiles-jsp,2.1.3,2009-07-08,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/2.1.3/tiles-jsp-2.1.3.jar,,,,,,,,2.1.4
6554,org.apache.tiles.tiles-jsp,2.1.4,2009-10-26,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/2.1.4/tiles-jsp-2.1.4.jar,,,,,,,,2.2.0
6555,org.apache.tiles.tiles-jsp,2.2.0,2009-08-11,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/2.2.0/tiles-jsp-2.2.0.jar,,,,,,,,2.2.1
6556,org.apache.tiles.tiles-jsp,2.2.1,2009-10-26,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/2.2.1/tiles-jsp-2.2.1.jar,,,,,,,,2.2.2
6557,org.apache.tiles.tiles-jsp,2.2.2,2010-06-15,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/2.2.2/tiles-jsp-2.2.2.jar,,,,,,,,3.0.0
6558,org.apache.tiles.tiles-jsp,3.0.0,2012-05-05,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/3.0.0/tiles-jsp-3.0.0.jar,,,,,,,,3.0.1
6560,org.apache.tiles.tiles-jsp,3.0.1,2012-07-12,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/3.0.1/tiles-jsp-3.0.1.jar,,,,,,,,3.0.3
6588,org.apache.tiles.tiles-jsp,3.0.3,2013-11-06,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/3.0.3/tiles-jsp-3.0.3.jar,,,,,,,,3.0.4
6614,org.apache.tiles.tiles-jsp,3.0.4,2014-05-03,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/3.0.4/tiles-jsp-3.0.4.jar,,,,,,,,3.0.5
6589,org.apache.tiles.tiles-jsp,3.0.5,2014-09-22,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/3.0.5/tiles-jsp-3.0.5.jar,,,,,,,,3.0.7
6617,org.apache.tiles.tiles-jsp,3.0.7,2016-08-11,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/3.0.7/tiles-jsp-3.0.7.jar,,,,,,,,3.0.8
6618,org.apache.tiles.tiles-jsp,3.0.8,2017-09-30,https://repo1.maven.org/maven2/org/apache/tiles/tiles-jsp/3.0.8/tiles-jsp-3.0.8.jar,,,,,,,,
