,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
30462,org.apache.tomcat.embed.tomcat-embed-core,7.0.0,2010-07-12,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.0/tomcat-embed-core-7.0.0.jar,104,,,,,,,7.0.2
30463,org.apache.tomcat.embed.tomcat-embed-core,7.0.2,2010-08-22,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.2/tomcat-embed-core-7.0.2.jar,104,0,0,0,0,2,2,7.0.4
30464,org.apache.tomcat.embed.tomcat-embed-core,7.0.4,2010-10-26,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.4/tomcat-embed-core-7.0.4.jar,104,0,0,0,0,0,0,7.0.5
30465,org.apache.tomcat.embed.tomcat-embed-core,7.0.5,2010-12-02,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.5/tomcat-embed-core-7.0.5.jar,104,0,0,0,0,0,0,7.0.6
30466,org.apache.tomcat.embed.tomcat-embed-core,7.0.6,2011-01-17,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.6/tomcat-embed-core-7.0.6.jar,104,0,0,0,0,0,0,7.0.8
30467,org.apache.tomcat.embed.tomcat-embed-core,7.0.8,2011-02-16,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.8/tomcat-embed-core-7.0.8.jar,108,4,0,0,0,0,0,7.0.11
30468,org.apache.tomcat.embed.tomcat-embed-core,7.0.11,2011-03-12,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.11/tomcat-embed-core-7.0.11.jar,108,0,0,0,0,0,0,7.0.12
30469,org.apache.tomcat.embed.tomcat-embed-core,7.0.12,2011-04-17,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.12/tomcat-embed-core-7.0.12.jar,109,1,0,0,0,0,0,7.0.14
30470,org.apache.tomcat.embed.tomcat-embed-core,7.0.14,2011-05-12,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.14/tomcat-embed-core-7.0.14.jar,109,0,0,0,0,0,0,7.0.16
30471,org.apache.tomcat.embed.tomcat-embed-core,7.0.16,2011-06-17,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.16/tomcat-embed-core-7.0.16.jar,109,0,0,0,0,0,0,7.0.19
30472,org.apache.tomcat.embed.tomcat-embed-core,7.0.19,2011-07-25,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.19/tomcat-embed-core-7.0.19.jar,109,0,0,0,0,0,0,7.0.20
30473,org.apache.tomcat.embed.tomcat-embed-core,7.0.20,2011-08-16,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.20/tomcat-embed-core-7.0.20.jar,109,0,0,0,0,0,0,7.0.21
30474,org.apache.tomcat.embed.tomcat-embed-core,7.0.21,2011-09-01,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.21/tomcat-embed-core-7.0.21.jar,109,0,0,0,0,0,0,7.0.22
30475,org.apache.tomcat.embed.tomcat-embed-core,7.0.22,2011-10-10,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.22/tomcat-embed-core-7.0.22.jar,109,0,0,0,0,0,0,7.0.23
30476,org.apache.tomcat.embed.tomcat-embed-core,7.0.23,2011-11-24,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.23/tomcat-embed-core-7.0.23.jar,109,0,0,0,0,0,0,7.0.25
30477,org.apache.tomcat.embed.tomcat-embed-core,7.0.25,2012-01-17,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.25/tomcat-embed-core-7.0.25.jar,109,0,0,0,0,0,0,7.0.26
30478,org.apache.tomcat.embed.tomcat-embed-core,7.0.26,2012-02-17,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.26/tomcat-embed-core-7.0.26.jar,109,0,0,0,0,0,0,7.0.27
30479,org.apache.tomcat.embed.tomcat-embed-core,7.0.27,2012-03-31,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.27/tomcat-embed-core-7.0.27.jar,111,0,0,0,0,2,0,7.0.28
30480,org.apache.tomcat.embed.tomcat-embed-core,7.0.28,2012-06-15,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.28/tomcat-embed-core-7.0.28.jar,111,0,0,0,0,0,0,7.0.29
30481,org.apache.tomcat.embed.tomcat-embed-core,7.0.29,2012-07-03,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.29/tomcat-embed-core-7.0.29.jar,111,0,0,0,0,0,0,7.0.30
30459,org.apache.tomcat.embed.tomcat-embed-core,7.0.30,2012-09-02,https://repo1.maven.org/maven2/org/apache/tomcat/embed/tomcat-embed-core/7.0.30/tomcat-embed-core-7.0.30.jar,114,0,0,0,0,3,0,7.0.32
