,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
91316,org.apache.tomcat.tomcat-catalina,6.0.13,5/22/2007,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.13/catalina-6.0.13.jar,27,,,,,,,6.0.14
91263,org.apache.tomcat.tomcat-catalina,6.0.14,10/18/2007,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.14/catalina-6.0.14.jar,27,0,0,0,0,0,0,6.0.16
91314,org.apache.tomcat.tomcat-catalina,6.0.16,2/18/2008,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.16/catalina-6.0.16.jar,27,0,0,0,0,0,0,6.0.18
91313,org.apache.tomcat.tomcat-catalina,6.0.18,8/5/2008,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.18/catalina-6.0.18.jar,27,0,0,0,0,0,0,6.0.20
91312,org.apache.tomcat.tomcat-catalina,6.0.20,6/15/2009,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.20/catalina-6.0.20.jar,27,0,0,0,0,0,0,6.0.24
91311,org.apache.tomcat.tomcat-catalina,6.0.24,1/28/2010,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.24/catalina-6.0.24.jar,27,0,0,0,0,0,0,6.0.26
91310,org.apache.tomcat.tomcat-catalina,6.0.26,3/11/2010,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.26/catalina-6.0.26.jar,27,0,0,0,0,0,0,6.0.28
91309,org.apache.tomcat.tomcat-catalina,6.0.28,7/9/2010,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.28/catalina-6.0.28.jar,28,1,0,0,0,0,0,6.0.29
91308,org.apache.tomcat.tomcat-catalina,6.0.29,7/22/2010,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.29/catalina-6.0.29.jar,28,0,0,0,0,0,0,6.0.30
91315,org.apache.tomcat.tomcat-catalina,6.0.30,1/13/2011,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.30/catalina-6.0.30.jar,28,0,0,0,0,0,0,6.0.32
91307,org.apache.tomcat.tomcat-catalina,6.0.32,2/3/2011,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.32/catalina-6.0.32.jar,28,0,0,0,0,0,0,6.0.33
91305,org.apache.tomcat.tomcat-catalina,6.0.33,8/18/2011,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.33/catalina-6.0.33.jar,28,0,0,0,0,0,0,6.0.35
91304,org.apache.tomcat.tomcat-catalina,6.0.35,12/6/2011,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.35/catalina-6.0.35.jar,28,0,0,0,0,0,0,6.0.36
91303,org.apache.tomcat.tomcat-catalina,6.0.36,10/19/2012,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.36/catalina-6.0.36.jar,29,1,0,0,0,0,0,6.0.37
91302,org.apache.tomcat.tomcat-catalina,6.0.37,4/29/2013,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.37/catalina-6.0.37.jar,29,0,0,0,0,0,0,6.0.39
91301,org.apache.tomcat.tomcat-catalina,6.0.39,1/27/2014,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.39/catalina-6.0.39.jar,29,0,0,0,0,0,0,6.0.41
91300,org.apache.tomcat.tomcat-catalina,6.0.41,5/19/2014,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.41/catalina-6.0.41.jar,29,0,0,0,0,0,0,6.0.43
91299,org.apache.tomcat.tomcat-catalina,6.0.43,11/14/2014,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.43/catalina-6.0.43.jar,29,0,0,0,0,0,0,6.0.44
91306,org.apache.tomcat.tomcat-catalina,6.0.44,5/8/2015,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.44/catalina-6.0.44.jar,29,0,0,0,0,0,0,6.0.45
91317,org.apache.tomcat.tomcat-catalina,6.0.45,2/1/2016,https://repo1.maven.org/maven2/org/apache/tomcat/catalina/6.0.45/catalina-6.0.45.jar,29,0,0,0,0,0,0,6.0.47
