,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
44311,org.apache.uima.uimaj-core,2.3.1,2010-12-06,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.3.1/uimaj-core-2.3.1.jar,203,,,,,,,2.4.0
44312,org.apache.uima.uimaj-core,2.4.0,2011-12-01,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.4.0/uimaj-core-2.4.0.jar,203,0,0,0,0,0,0,2.4.1
44313,org.apache.uima.uimaj-core,2.4.1,2013-07-26,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.4.1/uimaj-core-2.4.1.jar,203,0,0,0,0,0,0,2.4.2
44314,org.apache.uima.uimaj-core,2.4.2,2013-08-05,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.4.2/uimaj-core-2.4.2.jar,203,0,0,0,0,0,0,2.5.0
44315,org.apache.uima.uimaj-core,2.5.0,2014-01-08,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.5.0/uimaj-core-2.5.0.jar,203,0,0,0,0,0,0,2.6.0
44316,org.apache.uima.uimaj-core,2.6.0,2014-05-06,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.6.0/uimaj-core-2.6.0.jar,203,0,0,0,0,0,0,2.7.0
44317,org.apache.uima.uimaj-core,2.7.0,2015-03-02,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.7.0/uimaj-core-2.7.0.jar,203,0,0,0,0,0,0,2.8.0
44318,org.apache.uima.uimaj-core,2.8.0,2015-07-09,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.8.0/uimaj-core-2.8.0.jar,203,0,0,0,0,0,0,2.8.1
44320,org.apache.uima.uimaj-core,2.8.1,2015-08-04,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.8.1/uimaj-core-2.8.1.jar,203,0,0,0,0,0,0,2.9.0
44347,org.apache.uima.uimaj-core,2.9.0,2016-08-25,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.9.0/uimaj-core-2.9.0.jar,203,0,0,0,0,0,0,2.10.0
44373,org.apache.uima.uimaj-core,2.10.0,2017-03-27,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.10.0/uimaj-core-2.10.0.jar,203,0,0,0,0,0,0,2.10.1
44348,org.apache.uima.uimaj-core,2.10.1,2017-08-22,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.10.1/uimaj-core-2.10.1.jar,203,0,0,0,0,0,0,2.10.2
44376,org.apache.uima.uimaj-core,2.10.2,2017-10-30,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.10.2/uimaj-core-2.10.2.jar,203,0,0,0,0,0,0,2.10.3
44377,org.apache.uima.uimaj-core,2.10.3,2018-11-29,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.10.3/uimaj-core-2.10.3.jar,203,0,0,0,0,0,0,2.10.4
44378,org.apache.uima.uimaj-core,2.10.4,2019-08-06,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.10.4/uimaj-core-2.10.4.jar,203,0,0,0,0,0,0,2.11.0
44379,org.apache.uima.uimaj-core,2.11.0,2021-07-02,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/2.11.0/uimaj-core-2.11.0.jar,203,0,0,0,0,0,0,3.0.0
44380,org.apache.uima.uimaj-core,3.0.0,2018-02-05,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/3.0.0/uimaj-core-3.0.0.jar,203,0,0,0,0,0,0,3.0.1
44381,org.apache.uima.uimaj-core,3.0.1,2018-11-29,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/3.0.1/uimaj-core-3.0.1.jar,203,0,0,0,0,0,0,3.0.2
44382,org.apache.uima.uimaj-core,3.0.2,2019-04-10,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/3.0.2/uimaj-core-3.0.2.jar,203,0,0,0,0,0,0,3.1.0
44383,org.apache.uima.uimaj-core,3.1.0,2019-08-15,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/3.1.0/uimaj-core-3.1.0.jar,203,0,0,0,0,0,0,3.1.1
44384,org.apache.uima.uimaj-core,3.1.1,2019-11-04,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/3.1.1/uimaj-core-3.1.1.jar,203,0,0,0,0,0,0,3.2.0
44385,org.apache.uima.uimaj-core,3.2.0,2021-05-03,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/3.2.0/uimaj-core-3.2.0.jar,203,0,0,0,0,0,0,3.3.0
44386,org.apache.uima.uimaj-core,3.3.0,2022-05-09,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/3.3.0/uimaj-core-3.3.0.jar,203,0,0,0,0,0,0,3.3.1
44387,org.apache.uima.uimaj-core,3.3.1,2022-10-31,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/3.3.1/uimaj-core-3.3.1.jar,203,0,0,0,0,0,0,3.4.0
44388,org.apache.uima.uimaj-core,3.4.0,2023-02-02,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/3.4.0/uimaj-core-3.4.0.jar,203,0,0,0,0,0,0,3.4.1
44389,org.apache.uima.uimaj-core,3.4.1,2023-02-24,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/3.4.1/uimaj-core-3.4.1.jar,203,0,0,0,0,0,0,3.5.0
44390,org.apache.uima.uimaj-core,3.5.0,2023-11-06,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/3.5.0/uimaj-core-3.5.0.jar,203,0,0,0,0,0,0,3.6.0
44391,org.apache.uima.uimaj-core,3.6.0,2024-11-27,https://repo1.maven.org/maven2/org/apache/uima/uimaj-core/3.6.0/uimaj-core-3.6.0.jar,: 203,0,0,0,0,0,0,
