,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
84796,org.assertj.assertj-core,1.0.0,2013-03-26,https://repo1.maven.org/maven2/org/assertj/assertj-core/1.0.0/assertj-core-1.0.0.jar,,,,,,,,1.1.0
84795,org.assertj.assertj-core,1.1.0,2013-04-14,https://repo1.maven.org/maven2/org/assertj/assertj-core/1.1.0/assertj-core-1.1.0.jar,,,,,,,,1.2.0
84799,org.assertj.assertj-core,1.2.0,2013-05-12,https://repo1.maven.org/maven2/org/assertj/assertj-core/1.2.0/assertj-core-1.2.0.jar,,,,,,,,1.3.0
84794,org.assertj.assertj-core,1.3.0,2013-06-30,https://repo1.maven.org/maven2/org/assertj/assertj-core/1.3.0/assertj-core-1.3.0.jar,,,,,,,,1.4.0
84792,org.assertj.assertj-core,1.4.0,2013-09-15,https://repo1.maven.org/maven2/org/assertj/assertj-core/1.4.0/assertj-core-1.4.0.jar,,,,,,,,1.5.0
84791,org.assertj.assertj-core,1.5.0,2013-11-06,https://repo1.maven.org/maven2/org/assertj/assertj-core/1.5.0/assertj-core-1.5.0.jar,,,,,,,,1.6.0
84790,org.assertj.assertj-core,1.6.0,2014-03-15,https://repo1.maven.org/maven2/org/assertj/assertj-core/1.6.0/assertj-core-1.6.0.jar,,,,,,,,1.6.1
84789,org.assertj.assertj-core,1.6.1,2014-06-01,https://repo1.maven.org/maven2/org/assertj/assertj-core/1.6.1/assertj-core-1.6.1.jar,,,,,,,,1.7.0
84788,org.assertj.assertj-core,1.7.0,2014-10-04,https://repo1.maven.org/maven2/org/assertj/assertj-core/1.7.0/assertj-core-1.7.0.jar,,,,,,,,1.7.1
84787,org.assertj.assertj-core,1.7.1,2015-01-01,https://repo1.maven.org/maven2/org/assertj/assertj-core/1.7.1/assertj-core-1.7.1.jar,,,,,,,,2.0.0
84786,org.assertj.assertj-core,2.0.0,2015-03-07,https://repo1.maven.org/maven2/org/assertj/assertj-core/2.0.0/assertj-core-2.0.0.jar,,,,,,,,2.1.0
84770,org.assertj.assertj-core,2.1.0,2015-06-10,https://repo1.maven.org/maven2/org/assertj/assertj-core/2.1.0/assertj-core-2.1.0.jar,,,,,,,,2.2.0
84793,org.assertj.assertj-core,2.2.0,2015-09-02,https://repo1.maven.org/maven2/org/assertj/assertj-core/2.2.0/assertj-core-2.2.0.jar,,,,,,,,2.3.0
84769,org.assertj.assertj-core,2.3.0,2016-01-02,https://repo1.maven.org/maven2/org/assertj/assertj-core/2.3.0/assertj-core-2.3.0.jar,1,,,,,,,2.4.0
84759,org.assertj.assertj-core,2.4.0,2016-03-28,https://repo1.maven.org/maven2/org/assertj/assertj-core/2.4.0/assertj-core-2.4.0.jar,3,0,0,0,0,2,0,2.4.1
84747,org.assertj.assertj-core,2.4.1,2016-04-09,https://repo1.maven.org/maven2/org/assertj/assertj-core/2.4.1/assertj-core-2.4.1.jar,3,0,0,0,0,0,0,2.5.0
84746,org.assertj.assertj-core,2.5.0,2016-07-03,https://repo1.maven.org/maven2/org/assertj/assertj-core/2.5.0/assertj-core-2.5.0.jar,3,0,0,0,0,0,0,2.6.0
84745,org.assertj.assertj-core,2.6.0,2016-11-21,https://repo1.maven.org/maven2/org/assertj/assertj-core/2.6.0/assertj-core-2.6.0.jar,3,0,0,0,0,0,0,2.7.0
84744,org.assertj.assertj-core,2.7.0,2017-05-07,https://repo1.maven.org/maven2/org/assertj/assertj-core/2.7.0/assertj-core-2.7.0.jar,3,0,0,0,0,0,0,2.8.0
84743,org.assertj.assertj-core,2.8.0,2017-05-21,https://repo1.maven.org/maven2/org/assertj/assertj-core/2.8.0/assertj-core-2.8.0.jar,3,0,0,0,0,0,0,2.9.0
84742,org.assertj.assertj-core,2.9.0,2018-01-02,https://repo1.maven.org/maven2/org/assertj/assertj-core/2.9.0/assertj-core-2.9.0.jar,3,0,0,0,0,0,0,2.9.1
84741,org.assertj.assertj-core,2.9.1,2018-05-12,https://repo1.maven.org/maven2/org/assertj/assertj-core/2.9.1/assertj-core-2.9.1.jar,,0,0,0,0,0,0,3.0.0
84740,org.assertj.assertj-core,3.0.0,2015-04-06,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.0.0/assertj-core-3.0.0.jar,,,,,,,,3.1.0
84739,org.assertj.assertj-core,3.1.0,2015-06-25,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.1.0/assertj-core-3.1.0.jar,,,,,,,,3.2.0
84738,org.assertj.assertj-core,3.2.0,2015-09-21,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.2.0/assertj-core-3.2.0.jar,,,,,,,,3.3.0
84737,org.assertj.assertj-core,3.3.0,2016-01-10,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.3.0/assertj-core-3.3.0.jar,1,,,,,,,3.4.0
84736,org.assertj.assertj-core,3.4.0,2016-03-30,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.4.0/assertj-core-3.4.0.jar,3,0,0,0,0,2,0,3.4.1
84735,org.assertj.assertj-core,3.4.1,2016-04-09,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.4.1/assertj-core-3.4.1.jar,3,0,0,0,0,0,0,3.5.0
84734,org.assertj.assertj-core,3.5.0,2016-07-03,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.5.0/assertj-core-3.5.0.jar,3,0,0,0,0,0,0,3.5.1
84733,org.assertj.assertj-core,3.5.1,2016-07-03,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.5.1/assertj-core-3.5.1.jar,3,0,0,0,0,0,0,3.5.2
84748,org.assertj.assertj-core,3.5.2,2016-07-16,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.5.2/assertj-core-3.5.2.jar,3,0,0,0,0,0,0,3.6.0
84749,org.assertj.assertj-core,3.6.0,2016-11-21,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.6.0/assertj-core-3.6.0.jar,3,0,0,0,0,0,0,3.6.1
84750,org.assertj.assertj-core,3.6.1,2016-11-26,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.6.1/assertj-core-3.6.1.jar,3,0,0,0,0,0,0,3.6.2
84751,org.assertj.assertj-core,3.6.2,2017-01-21,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.6.2/assertj-core-3.6.2.jar,3,0,0,0,0,0,0,3.7.0
84767,org.assertj.assertj-core,3.7.0,2017-05-07,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.7.0/assertj-core-3.7.0.jar,3,0,0,0,0,0,0,3.8.0
84766,org.assertj.assertj-core,3.8.0,2017-05-21,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.8.0/assertj-core-3.8.0.jar,3,0,0,0,0,0,0,3.9.0
84765,org.assertj.assertj-core,3.9.0,2018-01-02,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.9.0/assertj-core-3.9.0.jar,3,0,0,0,0,0,0,3.9.1
84764,org.assertj.assertj-core,3.9.1,2018-02-21,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.9.1/assertj-core-3.9.1.jar,4,0,0,0,0,3,2,3.10.0
84763,org.assertj.assertj-core,3.10.0,2018-05-12,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.10.0/assertj-core-3.10.0.jar,4,0,0,0,0,0,0,3.11.0
84762,org.assertj.assertj-core,3.11.0,2018-08-15,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.11.0/assertj-core-3.11.0.jar,4,0,0,0,0,0,0,3.11.1
84761,org.assertj.assertj-core,3.11.1,2018-08-28,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.11.1/assertj-core-3.11.1.jar,4,0,0,0,0,0,0,3.12.0
84768,org.assertj.assertj-core,3.12.0,2019-02-14,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.12.0/assertj-core-3.12.0.jar,4,0,0,0,0,0,0,3.12.1
84760,org.assertj.assertj-core,3.12.1,2019-02-28,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.12.1/assertj-core-3.12.1.jar,4,0,0,0,0,0,0,3.12.2
84758,org.assertj.assertj-core,3.12.2,2019-03-17,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.12.2/assertj-core-3.12.2.jar,4,0,0,0,0,0,0,3.13.0
84757,org.assertj.assertj-core,3.13.0,2019-07-28,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.13.0/assertj-core-3.13.0.jar,4,0,0,0,0,0,0,3.13.1
84756,org.assertj.assertj-core,3.13.1,2019-07-29,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.13.1/assertj-core-3.13.1.jar,4,0,0,0,0,0,0,3.13.2
84755,org.assertj.assertj-core,3.13.2,2019-08-04,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.13.2/assertj-core-3.13.2.jar,4,0,0,0,0,0,0,3.14.0
84754,org.assertj.assertj-core,3.14.0,2019-10-27,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.14.0/assertj-core-3.14.0.jar,4,0,0,0,0,0,0,3.15.0
84753,org.assertj.assertj-core,3.15.0,2020-01-28,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.15.0/assertj-core-3.15.0.jar,4,0,0,0,0,0,0,3.16.0
84752,org.assertj.assertj-core,3.16.0,2020-05-05,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.16.0/assertj-core-3.16.0.jar,4,0,0,0,0,0,0,3.16.1
84671,org.assertj.assertj-core,3.16.1,2020-05-09,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.16.1/assertj-core-3.16.1.jar,4,0,0,0,0,0,0,3.17.0
84732,org.assertj.assertj-core,3.17.0,2020-08-23,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.17.0/assertj-core-3.17.0.jar,4,0,0,0,0,0,0,3.17.1
84670,org.assertj.assertj-core,3.17.1,2020-08-30,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.17.1/assertj-core-3.17.1.jar,4,0,0,0,0,0,0,3.17.2
84662,org.assertj.assertj-core,3.17.2,2020-09-05,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.17.2/assertj-core-3.17.2.jar,4,0,0,0,0,0,0,3.18.0
84648,org.assertj.assertj-core,3.18.0,2020-10-25,https://repo1.maven.org/maven2/org/assertj/assertj-core/3.18.0/assertj-core-3.18.0.jar,4,0,0,0,0,0,0,3.18.1
