,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
107629,org.asynchttpclient.async-http-client,1.0.0,2010-06-23,https://repo1.maven.org/maven2/com/ning/async-http-client/1.0.0/async-http-client-1.0.0.jar,,,,,,,,1.1.0
107628,org.asynchttpclient.async-http-client,1.1.0,2010-09-04,https://repo1.maven.org/maven2/com/ning/async-http-client/1.1.0/async-http-client-1.1.0.jar,,,,,,,,1.2.0
107627,org.asynchttpclient.async-http-client,1.2.0,2010-10-07,https://repo1.maven.org/maven2/com/ning/async-http-client/1.2.0/async-http-client-1.2.0.jar,,,,,,,,1.3.0
107626,org.asynchttpclient.async-http-client,1.3.0,2010-10-21,https://repo1.maven.org/maven2/com/ning/async-http-client/1.3.0/async-http-client-1.3.0.jar,,,,,,,,1.3.1
107608,org.asynchttpclient.async-http-client,1.3.1,2010-10-22,https://repo1.maven.org/maven2/com/ning/async-http-client/1.3.1/async-http-client-1.3.1.jar,,,,,,,,1.3.2
107632,org.asynchttpclient.async-http-client,1.3.2,2010-10-28,https://repo1.maven.org/maven2/com/ning/async-http-client/1.3.2/async-http-client-1.3.2.jar,,,,,,,,1.3.3
107607,org.asynchttpclient.async-http-client,1.3.3,2010-11-01,https://repo1.maven.org/maven2/com/ning/async-http-client/1.3.3/async-http-client-1.3.3.jar,,,,,,,,1.3.4
107597,org.asynchttpclient.async-http-client,1.3.4,2010-11-12,https://repo1.maven.org/maven2/com/ning/async-http-client/1.3.4/async-http-client-1.3.4.jar,,,,,,,,1.4.0
107574,org.asynchttpclient.async-http-client,1.4.0,2010-11-16,https://repo1.maven.org/maven2/com/ning/async-http-client/1.4.0/async-http-client-1.4.0.jar,,,,,,,,1.4.1
107575,org.asynchttpclient.async-http-client,1.4.1,2010-12-01,https://repo1.maven.org/maven2/com/ning/async-http-client/1.4.1/async-http-client-1.4.1.jar,,,,,,,,1.5.0
107576,org.asynchttpclient.async-http-client,1.5.0,2011-01-31,https://repo1.maven.org/maven2/com/ning/async-http-client/1.5.0/async-http-client-1.5.0.jar,,,,,,,,1.6.0
107577,org.asynchttpclient.async-http-client,1.6.0,2011-02-09,https://repo1.maven.org/maven2/com/ning/async-http-client/1.6.0/async-http-client-1.6.0.jar,,,,,,,,1.6.1
107578,org.asynchttpclient.async-http-client,1.6.1,2011-02-22,https://repo1.maven.org/maven2/com/ning/async-http-client/1.6.1/async-http-client-1.6.1.jar,,,,,,,,1.6.2
107579,org.asynchttpclient.async-http-client,1.6.2,2011-03-11,https://repo1.maven.org/maven2/com/ning/async-http-client/1.6.2/async-http-client-1.6.2.jar,,,,,,,,1.6.3
107580,org.asynchttpclient.async-http-client,1.6.3,2011-03-29,https://repo1.maven.org/maven2/com/ning/async-http-client/1.6.3/async-http-client-1.6.3.jar,,,,,,,,1.6.4
