,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
5723,org.ballerinalang.ballerina-lang,0.95.0,2017-11-06,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.95.0/ballerina-lang-0.95.0.jar,,,,,,,,0.95.1
5724,org.ballerinalang.ballerina-lang,0.95.1,2017-11-23,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.95.1/ballerina-lang-0.95.1.jar,,,,,,,,0.95.3
5725,org.ballerinalang.ballerina-lang,0.95.3,2017-12-04,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.95.3/ballerina-lang-0.95.3.jar,,,,,,,,0.95.4
5726,org.ballerinalang.ballerina-lang,0.95.4,2017-12-12,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.95.4/ballerina-lang-0.95.4.jar,,,,,,,,0.95.5
5727,org.ballerinalang.ballerina-lang,0.95.5,2017-12-18,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.95.5/ballerina-lang-0.95.5.jar,,,,,,,,0.95.6
5728,org.ballerinalang.ballerina-lang,0.95.6,2017-12-24,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.95.6/ballerina-lang-0.95.6.jar,,,,,,,,0.95.8
5729,org.ballerinalang.ballerina-lang,0.95.8,2018-01-23,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.95.8/ballerina-lang-0.95.8.jar,,,,,,,,0.96.0
5730,org.ballerinalang.ballerina-lang,0.96.0,2018-02-01,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.96.0/ballerina-lang-0.96.0.jar,,,,,,,,0.961.0
5731,org.ballerinalang.ballerina-lang,0.961.0,2018-02-08,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.961.0/ballerina-lang-0.961.0.jar,,,,,,,,0.963.0
5732,org.ballerinalang.ballerina-lang,0.963.0,2018-02-23,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.963.0/ballerina-lang-0.963.0.jar,,,,,,,,0.964.0
5733,org.ballerinalang.ballerina-lang,0.964.0,2018-03-05,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.964.0/ballerina-lang-0.964.0.jar,,,,,,,,0.970.0
5734,org.ballerinalang.ballerina-lang,0.970.0,2018-04-27,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.970.0/ballerina-lang-0.970.0.jar,,,,,,,,0.970.1
5735,org.ballerinalang.ballerina-lang,0.970.1,2018-05-11,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.970.1/ballerina-lang-0.970.1.jar,,,,,,,,0.971.0
5736,org.ballerinalang.ballerina-lang,0.971.0,2018-05-18,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.971.0/ballerina-lang-0.971.0.jar,,,,,,,,0.972.0
5765,org.ballerinalang.ballerina-lang,0.972.0,2018-05-25,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.972.0/ballerina-lang-0.972.0.jar,,,,,,,,0.973.0
5856,org.ballerinalang.ballerina-lang,0.973.0,2018-06-01,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.973.0/ballerina-lang-0.973.0.jar,,,,,,,,0.974.0
5857,org.ballerinalang.ballerina-lang,0.974.0,2018-06-08,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.974.0/ballerina-lang-0.974.0.jar,,,,,,,,0.975.0
5858,org.ballerinalang.ballerina-lang,0.975.0,2018-06-15,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.975.0/ballerina-lang-0.975.0.jar,,,,,,,,0.976.0
5992,org.ballerinalang.ballerina-lang,0.976.0,2018-06-22,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.976.0/ballerina-lang-0.976.0.jar,,,,,,,,0.980.0
5993,org.ballerinalang.ballerina-lang,0.980.0,2018-07-16,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.980.0/ballerina-lang-0.980.0.jar,,,,,,,,0.980.1
5994,org.ballerinalang.ballerina-lang,0.980.1,2018-07-18,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.980.1/ballerina-lang-0.980.1.jar,,,,,,,,0.981.0
5995,org.ballerinalang.ballerina-lang,0.981.0,2018-08-09,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.981.0/ballerina-lang-0.981.0.jar,,,,,,,,0.981.1
5996,org.ballerinalang.ballerina-lang,0.981.1,2018-08-20,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.981.1/ballerina-lang-0.981.1.jar,,,,,,,,0.982.0
5997,org.ballerinalang.ballerina-lang,0.982.0,2018-09-29,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.982.0/ballerina-lang-0.982.0.jar,,,,,,,,0.983.0
5998,org.ballerinalang.ballerina-lang,0.983.0,2018-11-06,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.983.0/ballerina-lang-0.983.0.jar,,,,,,,,0.990.0
5999,org.ballerinalang.ballerina-lang,0.990.0,2018-12-09,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.990.0/ballerina-lang-0.990.0.jar,,,,,,,,0.990.1
6000,org.ballerinalang.ballerina-lang,0.990.1,2018-12-21,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.990.1/ballerina-lang-0.990.1.jar,,,,,,,,0.990.2
6001,org.ballerinalang.ballerina-lang,0.990.2,2018-12-30,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.990.2/ballerina-lang-0.990.2.jar,,,,,,,,0.990.3
6002,org.ballerinalang.ballerina-lang,0.990.3,2019-02-11,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.990.3/ballerina-lang-0.990.3.jar,,,,,,,,0.990.4
6003,org.ballerinalang.ballerina-lang,0.990.4,2019-04-06,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.990.4/ballerina-lang-0.990.4.jar,,,,,,,,0.990.5
6004,org.ballerinalang.ballerina-lang,0.990.5,2019-06-05,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.990.5/ballerina-lang-0.990.5.jar,,,,,,,,0.990.6
6005,org.ballerinalang.ballerina-lang,0.990.6,2019-11-11,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.990.6/ballerina-lang-0.990.6.jar,,,,,,,,0.990.7
6006,org.ballerinalang.ballerina-lang,0.990.7,2019-12-09,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.990.7/ballerina-lang-0.990.7.jar,,,,,,,,0.991.0
6007,org.ballerinalang.ballerina-lang,0.991.0,2019-04-18,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/0.991.0/ballerina-lang-0.991.0.jar,,,,,,,,1.0.0
6008,org.ballerinalang.ballerina-lang,1.0.0,2019-09-09,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/1.0.0/ballerina-lang-1.0.0.jar,,,,,,,,1.0.1
6009,org.ballerinalang.ballerina-lang,1.0.1,2019-09-26,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/1.0.1/ballerina-lang-1.0.1.jar,,,,,,,,1.0.2
6010,org.ballerinalang.ballerina-lang,1.0.2,2019-10-25,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/1.0.2/ballerina-lang-1.0.2.jar,,,,,,,,1.0.3
6011,org.ballerinalang.ballerina-lang,1.0.3,2019-11-01,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/1.0.3/ballerina-lang-1.0.3.jar,,,,,,,,1.0.4
5991,org.ballerinalang.ballerina-lang,1.0.4,2019-11-19,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/1.0.4/ballerina-lang-1.0.4.jar,,,,,,,,1.0.5
6012,org.ballerinalang.ballerina-lang,1.0.5,2019-11-29,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/1.0.5/ballerina-lang-1.0.5.jar,,,,,,,,1.1.0
5990,org.ballerinalang.ballerina-lang,1.1.0,2019-12-19,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/1.1.0/ballerina-lang-1.1.0.jar,,,,,,,,1.1.1
5988,org.ballerinalang.ballerina-lang,1.1.1,2020-01-31,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/1.1.1/ballerina-lang-1.1.1.jar,,,,,,,,1.1.2
5965,org.ballerinalang.ballerina-lang,1.1.2,2020-02-14,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/1.1.2/ballerina-lang-1.1.2.jar,,,,,,,,1.1.3
5966,org.ballerinalang.ballerina-lang,1.1.3,2020-02-19,https://maven.wso2.org/nexus/content/repositories/releases/org/ballerinalang/ballerina-lang/1.1.3/ballerina-lang-1.1.3.jar,,,,,,,,1.1.4
