,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
44512,org.bytedeco.javacpp,0.8,2014-04-27,https://repo1.maven.org/maven2/org/bytedeco/javacpp/0.8/javacpp-0.8.jar,,,,,,,,0.9
44513,org.bytedeco.javacpp,0.9,2014-07-27,https://repo1.maven.org/maven2/org/bytedeco/javacpp/0.9/javacpp-0.9.jar,,,,,,,,0.10
44514,org.bytedeco.javacpp,0.10,2014-12-23,https://repo1.maven.org/maven2/org/bytedeco/javacpp/0.10/javacpp-0.10.jar,,,,,,,,0.11
44515,org.bytedeco.javacpp,0.11,2015-04-04,https://repo1.maven.org/maven2/org/bytedeco/javacpp/0.11/javacpp-0.11.jar,,,,,,,,1.0
44516,org.bytedeco.javacpp,1.0,2015-07-11,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.0/javacpp-1.0.jar,,,,,,,,1.1
44517,org.bytedeco.javacpp,1.1,2015-10-25,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.1/javacpp-1.1.jar,,,,,,,,1.2
44518,org.bytedeco.javacpp,1.2,2016-05-15,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.2/javacpp-1.2.jar,,,,,,,,1.2.1
44519,org.bytedeco.javacpp,1.2.1,2016-05-26,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.2.1/javacpp-1.2.1.jar,,,,,,,,1.2.2
44520,org.bytedeco.javacpp,1.2.2,2016-07-08,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.2.2/javacpp-1.2.2.jar,,,,,,,,1.2.3
44521,org.bytedeco.javacpp,1.2.3,2016-08-01,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.2.3/javacpp-1.2.3.jar,,,,,,,,1.2.4
44522,org.bytedeco.javacpp,1.2.4,2016-09-16,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.2.4/javacpp-1.2.4.jar,,,,,,,,1.2.5
44523,org.bytedeco.javacpp,1.2.5,2016-11-14,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.2.5/javacpp-1.2.5.jar,,,,,,,,1.2.6
44524,org.bytedeco.javacpp,1.2.6,2016-11-28,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.2.6/javacpp-1.2.6.jar,,,,,,,,1.2.7
44525,org.bytedeco.javacpp,1.2.7,2016-11-29,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.2.7/javacpp-1.2.7.jar,,,,,,,,1.3
44526,org.bytedeco.javacpp,1.3,2016-12-07,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.3/javacpp-1.3.jar,,,,,,,,1.3.1
44527,org.bytedeco.javacpp,1.3.1,2016-12-24,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.3.1/javacpp-1.3.1.jar,,,,,,,,1.3.2
44528,org.bytedeco.javacpp,1.3.2,2017-03-10,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.3.2/javacpp-1.3.2.jar,,,,,,,,1.3.3
44529,org.bytedeco.javacpp,1.3.3,2017-07-25,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.3.3/javacpp-1.3.3.jar,,,,,,,,1.4
44531,org.bytedeco.javacpp,1.4,2018-01-15,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.4/javacpp-1.4.jar,,,,,,,,1.4.1
44558,org.bytedeco.javacpp,1.4.1,2018-03-28,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.4.1/javacpp-1.4.1.jar,,,,,,,,1.4.2
44559,org.bytedeco.javacpp,1.4.2,2018-07-16,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.4.2/javacpp-1.4.2.jar,,,,,,,,1.4.3
44560,org.bytedeco.javacpp,1.4.3,2018-10-15,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.4.3/javacpp-1.4.3.jar,,,,,,,,1.4.4
44586,org.bytedeco.javacpp,1.4.4,2019-01-11,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.4.4/javacpp-1.4.4.jar,,,,,,,,1.5
44587,org.bytedeco.javacpp,1.5,2019-04-10,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.5/javacpp-1.5.jar,,,,,,,,1.5.1
44588,org.bytedeco.javacpp,1.5.1,2019-07-10,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.5.1/javacpp-1.5.1.jar,,,,,,,,1.5.1.1
44589,org.bytedeco.javacpp,1.5.1.1,2019-09-05,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.5.1-1/javacpp-1.5.1-1.jar,,,,,,,,1.5.2
44590,org.bytedeco.javacpp,1.5.2,2019-10-31,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.5.2/javacpp-1.5.2.jar,,,,,,,,1.5.3
44591,org.bytedeco.javacpp,1.5.3,2020-04-14,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.5.3/javacpp-1.5.3.jar,,,,,,,,1.5.4
44592,org.bytedeco.javacpp,1.5.4,2020-09-09,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.5.4/javacpp-1.5.4.jar,,,,,,,,1.5.5
44593,org.bytedeco.javacpp,1.5.5,2021-03-08,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.5.5/javacpp-1.5.5.jar,,,,,,,,1.5.6
44594,org.bytedeco.javacpp,1.5.6,2021-08-02,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.5.6/javacpp-1.5.6.jar,,,,,,,,1.5.7
44595,org.bytedeco.javacpp,1.5.7,2022-02-10,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.5.7/javacpp-1.5.7.jar,,,,,,,,1.5.8
44596,org.bytedeco.javacpp,1.5.8,2022-11-02,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.5.8/javacpp-1.5.8.jar,,,,,,,,1.5.9
44598,org.bytedeco.javacpp,1.5.9,2023-06-05,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.5.9/javacpp-1.5.9.jar,,,,,,,,1.5.10
44609,org.bytedeco.javacpp,1.5.10,2024-01-29,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.5.10/javacpp-1.5.10.jar,,,,,,,,1.5.11
44599,org.bytedeco.javacpp,1.5.11,2024-11-17,https://repo1.maven.org/maven2/org/bytedeco/javacpp/1.5.11/javacpp-1.5.11.jar,,,,,,,,
